comparison_group,interval_ms,interval_s,n_control,n_telemetry,n_pairs,control_mean_latency_ms,telemetry_mean_latency_ms,paired_delta_latency_ms,paired_std_delta_latency_ms,control_mean_power_mW,control_std_power_mW,telemetry_mean_power_mW,telemetry_std_power_mW,delta_mean_power_mW,paired_delta_mean_power_mW,paired_std_delta_mean_power_mW,paired_ci95_delta_mean_power_mW_low,paired_ci95_delta_mean_power_mW_high,paired_t_p_delta_mean_power_mW_two_sided,paired_t_p_delta_mean_power_mW_greater,wilcoxon_p_delta_mean_power_mW_two_sided,wilcoxon_p_delta_mean_power_mW_greater,delta_total_per_event_mJ,paired_delta_total_per_event_mJ,paired_std_delta_total_per_event_mJ,paired_ci95_delta_total_per_event_mJ_low,paired_ci95_delta_total_per_event_mJ_high,paired_t_p_delta_total_per_event_mJ_two_sided,paired_t_p_delta_total_per_event_mJ_greater,wilcoxon_p_delta_total_per_event_mJ_two_sided,wilcoxon_p_delta_total_per_event_mJ_greater,snr_vs_control_std,detectable_abs_snr_ge_1,paired_snr,paired_energy_snr,paired_ci_crosses_zero,paired_energy_ci_crosses_zero,interpretation_label,control_jitter_ms,telemetry_jitter_ms,paired_delta_jitter_ms,control_reliability_rate,telemetry_reliability_rate,paired_delta_reliability_rate
W2_0.5s,500,0.5,10,10,10,,,,,374.1439553369338,3.318898534363119,375.48630787848407,2.481141768795252,1.3423525415502695,1.3423525415502582,2.5460626427101416,-0.47899095299136474,3.1636960360918813,0.12981546134531927,0.06490773067265963,0.130859375,0.0654296875,0.7005270823329113,0.7005270823329084,1.3948928077677292,-0.29731912081720246,1.6983732854830191,0.14672111102276372,0.07336055551138186,0.193359375,0.0966796875,0.4044572401511698,False,0.5272268321416471,0.502208541353062,True,True,below_noise_floor,0.49349520857022666,0.490535169977798,-0.0029600385924286763,1.0,1.0,0.0
W2_1s,1000,1.0,10,10,10,,,,,374.6062263178501,3.462061442454482,380.572533723588,6.314276379737915,5.9663074057378935,5.96630740573803,5.95040013302978,1.709647577181241,10.22296723429482,0.011352623688057546,0.005676311844028773,0.005859375,0.0029296875,6.068862391623043,6.068862391623123,6.135640200043268,1.6796898018624917,10.458034981383754,0.012163553429879887,0.006081776714939944,0.009765625,0.0048828125,1.7233395492565224,True,1.002673311433285,0.9891164073767438,False,False,formal_positive_signal,0.6662386160137167,0.6610492139886268,-0.005189402025089729,1.0,1.0,0.0
W2_2s,2000,2.0,10,10,10,,,,,375.26637686832885,2.388771657876941,380.91531750608726,6.83252549941044,5.648940637758415,5.64894063775846,7.969611593783277,-0.05217605389914759,11.350057329416067,0.051720276395222815,0.025860138197611408,0.083984375,0.0419921875,11.25953565496468,11.259535654964646,17.326167279328622,-1.1348577626122882,23.65392907254158,0.07004144804144363,0.035020724020721816,0.083984375,0.0419921875,2.364788873449294,True,0.7088100306123997,0.6498572634928955,True,True,below_noise_floor,0.9422139184917571,0.9416895290806767,-0.0005243894110802727,1.0,1.0,0.0
W2_3s,3000,3.0,10,10,10,,,,,374.9660995154797,5.171616042160186,377.44741398812096,4.109699981127911,2.481314472641259,2.4813144726412135,4.567827989978541,-0.7863128253567733,5.748941770639201,0.11995883830866909,0.059979419154334544,0.10546875,0.052734375,8.528905663313026,8.528905663313116,15.133951442732018,-2.297271016137433,19.355082342763666,0.1084097874031318,0.0542048937015659,0.083984375,0.0419921875,0.47979479768277866,False,0.5432153921043051,0.5635610564489466,True,True,below_noise_floor,1.142238057954073,1.1481590774430406,0.005921019488967327,1.0,1.0,0.0
W2_4s,4000,4.0,10,10,10,,,,,373.30242346585953,1.853266501712262,379.96275439326047,5.686996842939962,6.660330927400935,6.660330927400878,4.833539511102863,3.2026250577659408,10.118036797035815,0.0018303072519430916,0.0009151536259715458,0.00390625,0.001953125,32.1954208239772,32.19542082397736,17.507809925983135,19.671088084694116,44.719753563260596,0.0002545938156526003,0.00012729690782630016,0.001953125,0.0009765625,3.593833332252728,True,1.3779407227564378,1.8389176578960063,False,False,formal_positive_signal,1.3070180589995597,1.307914491346417,0.0008964323468573232,1.0,1.0,0.0
W2_5s,5000,5.0,10,10,10,,,,,373.3245124379293,2.245567253412741,376.0531139252282,2.810324966576758,2.7286014872989313,2.7286014872989313,3.1808044869381056,0.4531910309690592,5.004011943628804,0.023891311083714444,0.011945655541857222,0.037109375,0.0185546875,22.572202247603173,22.572202247603535,25.11419091963781,4.606592334930973,40.5378121602761,0.01933361655769102,0.00966680827884551,0.02734375,0.013671875,1.2151056634585717,True,0.8578337645409724,0.8987827766314148,False,False,formal_positive_signal,1.4845711053119497,1.4715272271309003,-0.01304387818104955,1.0,1.0,0.0
W2_6s,6000,6.0,10,10,10,,,,,375.5472624250083,4.578918171654267,378.982161203607,7.32473330011168,3.434898778598722,3.4348987785987672,6.725376829556257,-1.3761459817982677,8.245943538995803,0.14074736136141563,0.07037368068070782,0.130859375,0.0654296875,24.829278234159574,24.829278234159347,59.89236664211623,-18.01513985926418,67.67369632758287,0.22232939279184172,0.11116469639592086,0.232421875,0.1162109375,0.7501550911877871,False,0.5107369989296797,0.41456498759725807,True,True,below_noise_floor,1.6124302411688922,1.5982022288299293,-0.014228012338963269,1.0,1.0,0.0
W2_7s,7000,7.0,10,10,10,,,,,373.0159532643704,4.108487342987343,378.10985490932006,4.552907696091169,5.0939016449496535,5.09390164494967,5.401447673748812,1.229938749198804,8.957864540700538,0.015393899585362355,0.0076969497926811774,0.01953125,0.009765625,35.39111882090401,35.391118820904424,37.263405408748625,8.734484421112839,62.04775322069601,0.014874377439894549,0.0074371887199472745,0.01953125,0.009765625,1.2398484453516172,True,0.9430622960037501,0.9497553546889563,False,False,formal_positive_signal,1.8706732357616054,1.7522891033019365,-0.11838413245966879,1.0,1.0,0.0
W2_8s,8000,8.0,10,10,10,,,,,372.7291725579661,2.2840849815070823,377.7365322156099,4.5406919708685525,5.0073596576438035,5.007359657643787,4.425239722048541,1.841733861822441,8.172985453465133,0.005946902613779037,0.0029734513068895184,0.001953125,0.0009765625,39.74796634834456,39.74796634834438,34.84162850242218,14.823766783256488,64.67216591343227,0.005680677701110076,0.002840338850555038,0.001953125,0.0009765625,2.192282554364441,True,1.1315454014151733,1.1408182698917506,False,False,formal_positive_signal,1.9863069428951945,1.8583986794522478,-0.1279082634429463,1.0,1.0,0.0
W2_9s,9000,9.0,10,10,10,,,,,373.32181862612407,3.1620906019708905,377.69852703352825,4.159353510919919,4.37670840740418,4.376708407404283,5.230099019296899,0.6353209549474022,8.118095859861164,0.026637626127938876,0.013318813063969438,0.048828125,0.0244140625,38.68195913536056,38.68195913536056,45.979702084066716,5.79006171423697,71.57385655648415,0.02602993729097366,0.01301496864548683,0.048828125,0.0244140625,1.3841185969422363,True,0.8368308881449551,0.8412833790144317,False,False,formal_positive_signal,1.9869497912967222,1.9777295783020115,-0.00922021299471094,1.0,1.0,0.0
W2_10s,10000,10.0,10,10,10,,,,,373.2651663076335,3.2937596095289963,378.38254746936923,5.894938563436336,5.11738116173575,5.117381161735755,5.31966934537757,1.3119189579454393,8.922843365526072,0.013971984440080439,0.0069859922200402194,0.01953125,0.009765625,38.31652792006116,38.31652792006135,99.5374247452337,-32.88825627573624,109.52131211585893,0.25444209573426574,0.12722104786713287,0.431640625,0.2158203125,1.5536595770167725,True,0.9619735418672987,0.38494594388123465,False,True,below_noise_floor,1.8659655462527518,2.083892649808071,0.2179271035553194,1.0,1.0,0.0
