pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,mqtt_retain
1774613707006612000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,1,button,38272893.0,-31.0,,,,,0
1774613709772595000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,2,button,41042261.0,-39.0,,,,,0
1774613712532186000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,3,button,43803769.0,-39.0,,,,,0
1774613715099023000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,4,button,46366180.0,-37.0,,,,,0
1774613717969931000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,5,button,49242350.0,-38.0,,,,,0
1774613720468420000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,6,button,51741029.0,-39.0,,,,,0
1774613722888516000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,7,button,54156122.0,-39.0,,,,,0
1774613725452423000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,8,button,56724875.0,-39.0,,,,,0
1774613728670379000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,9,button,59942539.0,-36.0,,,,,0
1774613731839416000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,10,button,63103364.0,-37.0,,,,,0
1774613734842826000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,11,button,66111189.0,-38.0,,,,,0
1774613738055146000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,12,button,69267241.0,-39.0,,,,,0
1774613741207338000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,13,button,72474890.0,-39.0,,,,,0
1774613744381969000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,14,button,75634093.0,-36.0,,,,,0
1774613747437136000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,15,button,78709665.0,-37.0,,,,,0
1774613750697838000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,16,button,81967277.0,-39.0,,,,,0
1774613754045027000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,17,button,85315856.0,-36.0,,,,,0
1774613757282226000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,18,button,88552284.0,-39.0,,,,,0
1774613760693538000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,19,button,91952499.0,-37.0,,,,,0
1774613764101694000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,20,button,95353261.0,-38.0,,,,,0
1774613767366164000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,21,button,98635338.0,-38.0,,,,,0
1774613770831539000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,22,button,102097450.0,-39.0,,,,,0
1774613774334630000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,23,button,105604048.0,-38.0,,,,,0
1774613777624156000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,24,button,108865447.0,-38.0,,,,,0
1774613780835188000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,25,button,112108272.0,-38.0,,,,,0
1774613784013856000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,26,button,115286864.0,-39.0,,,,,0
1774613787286301000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,27,button,118551769.0,-38.0,,,,,0
1774613790715896000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,28,button,121962270.0,-37.0,,,,,0
1774613794123620000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,29,button,125395031.0,-31.0,,,,,0
1774613797310562000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,30,button,128582239.0,-39.0,,,,,0
1774613800509578000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,31,button,131779785.0,-38.0,,,,,0
1774613803851286000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,32,button,135123390.0,-39.0,,,,,0
1774613807171914000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,33,button,138440256.0,-38.0,,,,,0
1774613810461330000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,34,button,141732945.0,-36.0,,,,,0
1774613813805590000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,35,button,145048045.0,-38.0,,,,,0
1774613817060542000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,36,button,148317640.0,-38.0,,,,,0
1774613820175682000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,37,button,151447088.0,-37.0,,,,,0
1774613823465047000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,38,button,154735405.0,-36.0,,,,,0
1774613826850598000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,39,button,158122086.0,-39.0,,,,,0
1774613830195027000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,40,button,161465239.0,-38.0,,,,,0
1774613833492807000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,41,button,164711546.0,-38.0,,,,,0
1774613836698194000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,42,button,167970125.0,-39.0,,,,,0
