pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,mqtt_retain
1774613707022816000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,1,,,,20699.0,,,,0
1774613709791652000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,2,,,,15284.0,,,,0
1774613712544487000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,3,,,,13777.0,,,,0
1774613715116833000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,4,,,,18384.0,,,,0
1774613717991241000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,5,,,,22196.0,,,,0
1774613720480110000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,6,,,,12516.0,,,,0
1774613722906631000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,7,,,,19425.0,,,,0
1774613725490075000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,8,,,,18670.0,,,,0
1774613728684336000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,9,,,,15007.0,,,,0
1774613731850885000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,10,,,,21201.0,,,,0
1774613734905771000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,11,,,,66375.0,,,,0
1774613738086273000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,12,,,,92485.0,,,,0
1774613741219005000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,13,,,,17674.0,,,,0
1774613744395904000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,14,,,,33472.0,,,,0
1774613747449929000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,15,,,,11899.0,,,,0
1774613750710663000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,16,,,,16288.0,,,,0
1774613754089308000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,17,,,,17708.0,,,,0
1774613757294297000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,18,,,,15281.0,,,,0
1774613760709686000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,19,,,,26065.0,,,,0
1774613764114748000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,20,,,,34647.0,,,,0
