pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774801669067323000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,1,,,,19283.0,,,,,,0,0.1.1,19.283
1774801679122513000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,2,,,,18456.0,,,,,,0,0.1.1,18.456
1774801682871020000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,3,,,,18583.0,,,,,,0,0.1.1,18.583
1774801687414896000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,4,,,,29124.0,,,,,,0,0.1.1,29.124
1774801691096931000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,5,,,,14463.0,,,,,,0,0.1.1,14.463
1774801725389471000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,6,,,,49630.0,,,,,,0,0.1.1,49.63
1774801729328443000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,7,,,,12488.0,,,,,,0,0.1.1,12.488
1774801732599145000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,8,,,,12477.0,,,,,,0,0.1.1,12.477
1774801732805287000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,9,,,,34627.0,,,,,,0,0.1.1,34.627
1774801735950049000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,10,,,,195608.0,,,,,,0,0.1.1,195.608
1774801738262274000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,11,,,,12803.0,,,,,,0,0.1.1,12.803
1774801740509864000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,12,,,,15725.0,,,,,,0,0.1.1,15.725
1774801742451169000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,13,,,,1786036.0,,,,,,0,0.1.1,1786.036
1774801742724537000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,14,,,,12822.0,,,,,,0,0.1.1,12.822
1774801744725936000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,15,,,,12678.0,,,,,,0,0.1.1,12.678
1774801746758576000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,16,,,,12288.0,,,,,,0,0.1.1,12.288
1774801748930638000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,17,,,,18666.0,,,,,,0,0.1.1,18.666
1774801751834358000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,18,,,,21802.0,,,,,,0,0.1.1,21.802
1774801754857766000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,19,,,,12759.0,,,,,,0,0.1.1,12.759
1774801756012764000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,20,,,,972264.0,,,,,,0,0.1.1,972.264
1774801757061561000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,21,,,,12572.0,,,,,,0,0.1.1,12.572
1774801759163738000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,22,,,,14528.0,,,,,,0,0.1.1,14.528
1774801761314065000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,23,,,,12216.0,,,,,,0,0.1.1,12.216
1774801764506139000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,24,,,,1404324.0,,,,,,0,0.1.1,1404.324
1774801767186700000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,25,,,,17781.0,,,,,,0,0.1.1,17.781
1774801769436542000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,26,,,,46438.0,,,,,,0,0.1.1,46.438
1774801771562023000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,27,,,,107105.0,,,,,,0,0.1.1,107.105
1774801773995518000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,28,,,,12960.0,,,,,,0,0.1.1,12.96
1774801776172301000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,29,,,,318362.0,,,,,,0,0.1.1,318.362
1774801777978952000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,30,,,,26042.0,,,,,,0,0.1.1,26.042
1774801780499097000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,31,,,,799530.0,,,,,,0,0.1.1,799.53
1774801781535735000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,32,,,,11987.0,,,,,,0,0.1.1,11.987
1774801783572596000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,33,,,,27265.0,,,,,,0,0.1.1,27.265
1774801785388257000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,34,,,,260705.0,,,,,,0,0.1.1,260.705
1774801787239099000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,35,,,,552686.0,,,,,,0,0.1.1,552.686
1774801788762236000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,36,,,,30498.0,,,,,,0,0.1.1,30.498
