pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774807296656383000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,1,,,,17396.0,,,,,,0,0.1.1,17.396
1774807303287092000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,2,,,,18437.0,,,,,,0,0.1.1,18.437
1774807308180769000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,3,,,,13883.0,,,,,,0,0.1.1,13.883
1774807313014747000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,4,,,,20246.0,,,,,,0,0.1.1,20.246
1774807317597955000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,5,,,,18434.0,,,,,,0,0.1.1,18.434
1774807321886891000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,6,,,,35755.0,,,,,,0,0.1.1,35.755
1774807327614849000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,7,,,,11986.0,,,,,,0,0.1.1,11.986
1774807336308623000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,8,,,,31670.0,,,,,,0,0.1.1,31.67
1774807356897535000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,11,,,,13142.0,,,,,,0,0.1.1,13.142
1774807362793121000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,12,,,,16421.0,,,,,,0,0.1.1,16.421
1774807367764193000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,13,,,,22748.0,,,,,,0,0.1.1,22.748
1774807367968719000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,14,,,,12205.0,,,,,,0,0.1.1,12.205
1774807372874046000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,15,,,,14587.0,,,,,,0,0.1.1,14.587
1774807378710414000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,17,,,,13387.0,,,,,,0,0.1.1,13.387
1774807383545459000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,18,,,,16913.0,,,,,,0,0.1.1,16.913
1774807388224569000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,19,,,,23689.0,,,,,,0,0.1.1,23.689
1774807397471756000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,21,,,,35619.0,,,,,,0,0.1.1,35.619
1774807401998637000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,22,,,,11850.0,,,,,,0,0.1.1,11.85
1774807406604184000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,23,,,,96436.0,,,,,,0,0.1.1,96.436
1774807411214375000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,24,,,,12621.0,,,,,,0,0.1.1,12.621
1774807416076730000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,25,,,,12480.0,,,,,,0,0.1.1,12.48
1774807421882847000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,26,,,,14527.0,,,,,,0,0.1.1,14.527
