pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774808479853280000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,1,button,170857881.0,-44.0,,,,,,,0,0.1.1
1774808486155768000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,2,button,177167088.0,-47.0,,,,,,,0,0.1.1
1774808492365119000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,3,button,183350736.0,-47.0,,,,,,,0,0.1.1
1774808498844324000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,4,button,189856099.0,-50.0,,,,,,,0,0.1.1
1774808504410374000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,5,button,195382425.0,-47.0,,,,,,,0,0.1.1
1774808509453275000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,6,button,200464015.0,-49.0,,,,,,,0,0.1.1
1774808513294642000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,7,button,204306145.0,-48.0,,,,,,,0,0.1.1
1774808518963502000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,8,button,209958823.0,-47.0,,,,,,,0,0.1.1
1774808525414627000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,9,button,216279702.0,-44.0,,,,,,,0,0.1.1
1774808531839712000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,10,button,222849841.0,-47.0,,,,,,,0,0.1.1
1774808539422720000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,11,button,230387191.0,-47.0,,,,,,,0,0.1.1
1774808547499602000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,12,button,238504648.0,-46.0,,,,,,,0,0.1.1
1774808553467632000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,13,button,244426206.0,-43.0,,,,,,,0,0.1.1
1774808560611407000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,14,button,251620833.0,-44.0,,,,,,,0,0.1.1
1774808564030372000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,15,button,255035276.0,-44.0,,,,,,,0,0.1.1
1774808568418448000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,16,button,259393685.0,-45.0,,,,,,,0,0.1.1
1774808575074360000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,17,button,266031630.0,-39.0,,,,,,,0,0.1.1
1774808579477114000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,18,button,270353548.0,-45.0,,,,,,,0,0.1.1
1774808584119050000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,19,button,275114683.0,-55.0,,,,,,,0,0.1.1
1774808591264460000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,20,button,282171221.0,-47.0,,,,,,,0,0.1.1
1774808599483869000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,21,button,290482682.0,-43.0,,,,,,,0,0.1.1
1774808607023742000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,22,button,297967473.0,-42.0,,,,,,,0,0.1.1
