pi_rx_time_ns,address,name,rssi,payload_version,exp_code,exp,node_num,seq,t_local_us,raw_hex
1774625551966753000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-70,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625551968723000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-70,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625552266937000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",127,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625552268602000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-61,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625553731613000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-70,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625555524565000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-69,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625556453006000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-70,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625556454339000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-69,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625556764592000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-69,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625563147095000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-69,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625563757473000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-69,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625566167970000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-75,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625566169264000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-75,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625568258699000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-64,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625569193937000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-66,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625569195107000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-66,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625571593746000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-68,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625573056312000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-72,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625573058087000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-71,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
