pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774801669050813000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,1,button,105469950,-49,,,,,,,0,0.1.0
1774801669067323000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,1,,,,19283,,,,,,0,0.1.0
1774801679103484000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,2,button,115525728,-48,,,,,,,0,0.1.0
1774801679122513000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,2,,,,18456,,,,,,0,0.1.0
1774801682852279000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,3,button,119271600,-57,,,,,,,0,0.1.0
1774801682871020000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,3,,,,18583,,,,,,0,0.1.0
1774801687400282000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,4,button,123809060,-57,,,,,,,0,0.1.0
1774801687414896000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,4,,,,29124,,,,,,0,0.1.0
1774801691083745000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,5,button,127506786,-58,,,,,,,0,0.1.0
1774801691096931000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,5,,,,14463,,,,,,0,0.1.0
1774801725372569000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,6,button,161763550,-57,,,,,,,0,0.1.0
1774801725389471000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,6,,,,49630,,,,,,0,0.1.0
1774801729316639000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,7,button,165738696,-56,,,,,,,0,0.1.0
1774801729328443000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,7,,,,12488,,,,,,0,0.1.0
1774801732587766000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,8,button,169009815,-56,,,,,,,0,0.1.0
1774801732599145000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,8,,,,12477,,,,,,0,0.1.0
1774801732794718000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,9,button,169194557,-58,,,,,,,0,0.1.0
1774801732805287000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,9,,,,34627,,,,,,0,0.1.0
1774801735756991000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,10,button,172176762,-54,,,,,,,0,0.1.0
1774801735950049000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,10,,,,195608,,,,,,0,0.1.0
1774801738251103000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,11,button,174672411,-53,,,,,,,0,0.1.0
1774801738262274000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,11,,,,12803,,,,,,0,0.1.0
1774801740495138000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,12,button,176916478,-56,,,,,,,0,0.1.0
1774801740509864000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,12,,,,15725,,,,,,0,0.1.0
1774801742440683000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,13,button,177088166,-56,,,,,,,0,0.1.0
1774801742451169000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,13,,,,1786036,,,,,,0,0.1.0
1774801742687928000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,14,button,179109563,-56,,,,,,,0,0.1.0
1774801742724537000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,14,,,,12822,,,,,,0,0.1.0
1774801744712124000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,15,button,181133803,-54,,,,,,,0,0.1.0
1774801744725936000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,15,,,,12678,,,,,,0,0.1.0
1774801746748350000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,16,button,183169992,-54,,,,,,,0,0.1.0
1774801746758576000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,16,,,,12288,,,,,,0,0.1.0
1774801748913865000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,17,button,185335538,-53,,,,,,,0,0.1.0
1774801748930638000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,17,,,,18666,,,,,,0,0.1.0
1774801751821351000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,18,button,188235474,-55,,,,,,,0,0.1.0
1774801751834358000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,18,,,,21802,,,,,,0,0.1.0
1774801754843900000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,19,button,191266445,-58,,,,,,,0,0.1.0
1774801754857766000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,19,,,,12759,,,,,,0,0.1.0
1774801756000236000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,20,button,191460939,-57,,,,,,,0,0.1.0
1774801756012764000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,20,,,,972264,,,,,,0,0.1.0
1774801757049916000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,21,button,193471630,-55,,,,,,,0,0.1.0
1774801757061561000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,21,,,,12572,,,,,,0,0.1.0
1774801759146766000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,22,button,195566675,-55,,,,,,,0,0.1.0
1774801759163738000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,22,,,,14528,,,,,,0,0.1.0
1774801761300228000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,23,button,197721988,-57,,,,,,,0,0.1.0
1774801761314065000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,23,,,,12216,,,,,,0,0.1.0
1774801764192097000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,24,button,199515974,-56,,,,,,,0,0.1.0
1774801764506139000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,24,,,,1404324,,,,,,0,0.1.0
1774801767170352000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,25,button,203591423,-54,,,,,,,0,0.1.0
1774801767186700000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,25,,,,17781,,,,,,0,0.1.0
1774801769414441000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,26,button,205802765,-55,,,,,,,0,0.1.0
1774801769436542000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,26,,,,46438,,,,,,0,0.1.0
1774801771509555000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,27,button,207878099,-53,,,,,,,0,0.1.0
1774801771562023000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,27,,,,107105,,,,,,0,0.1.0
1774801773984635000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,28,button,210405243,-54,,,,,,,0,0.1.0
1774801773995518000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,28,,,,12960,,,,,,0,0.1.0
1774801775958879000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,29,button,212275842,-54,,,,,,,0,0.1.0
1774801776172301000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,29,,,,318362,,,,,,0,0.1.0
1774801777959902000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,30,button,214369409,-55,,,,,,,0,0.1.0
1774801777978952000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,30,,,,26042,,,,,,0,0.1.0
1774801780147837000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,31,button,216110675,-55,,,,,,,0,0.1.0
1774801780499097000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,31,,,,799530,,,,,,0,0.1.0
1774801781524941000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,32,button,217947216,-56,,,,,,,0,0.1.0
1774801781535735000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,32,,,,11987,,,,,,0,0.1.0
1774801783535427000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,33,button,219941939,-56,,,,,,,0,0.1.0
1774801783572596000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,33,,,,27265,,,,,,0,0.1.0
1774801785226682000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,34,button,221548498,-57,,,,,,,0,0.1.0
1774801785388257000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,34,,,,260705,,,,,,0,0.1.0
1774801786821565000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,35,button,223108630,-56,,,,,,,0,0.1.0
1774801787239099000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,35,,,,552686,,,,,,0,0.1.0
1774801788736025000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,36,button,225141705,-55,,,,,,,0,0.1.0
1774801788762236000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,36,,,,30498,,,,,,0,0.1.0
1774801791428802000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,37,button,227820308,-54,,,,,,,0,0.1.0
1774801791452631000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,37,,,,45896,,,,,,0,0.1.0
1774801793016080000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,38,button,229435518,-56,,,,,,,0,0.1.0
1774801793029633000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,38,,,,14685,,,,,,0,0.1.0
1774801794584558000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,39,button,230873803,-57,,,,,,,0,0.1.0
1774801795213458000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,39,,,,758928,,,,,,0,0.1.0
1774801796346507000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,40,button,232700675,-56,,,,,,,0,0.1.0
1774801796751974000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,40,,,,467541,,,,,,0,0.1.0
1774801798046000000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,41,button,234465746,-57,,,,,,,0,0.1.0
1774801798060419000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,41,,,,15458,,,,,,0,0.1.0
1774801800158922000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,42,button,236578373,-55,,,,,,,0,0.1.0
1774801800169292000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,42,,,,13831,,,,,,0,0.1.0
1774801802238628000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,43,button,238657444,-55,,,,,,,0,0.1.0
1774801802253632000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,43,,,,15760,,,,,,0,0.1.0
1774801804477279000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,44,button,240895845,-55,,,,,,,0,0.1.0
1774801804489628000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,44,,,,16358,,,,,,0,0.1.0
1774801806361180000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,45,button,242781427,-56,,,,,,,0,0.1.0
1774801806376431000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,45,,,,14007,,,,,,0,0.1.0
1774801808450425000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,46,button,244871371,-55,,,,,,,0,0.1.0
