pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774871838308088000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,2,,,,15496.0,,,,,,0,0.1.1,15.496
1774871842202150000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,3,,,,17239.0,,,,,,0,0.1.1,17.239
1774871848031140000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,4,,,,18456.0,,,,,,0,0.1.1,18.456
1774871853609170000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,5,,,,14763.0,,,,,,0,0.1.1,14.763
1774871859614040000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,7,,,,16654.0,,,,,,0,0.1.1,16.654
1774871864874577000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,8,,,,12898.0,,,,,,0,0.1.1,12.898
1774871869863169000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,9,,,,12717.0,,,,,,0,0.1.1,12.717
1774871875258538000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,10,,,,35435.0,,,,,,0,0.1.1,35.435
1774871879622899000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,11,,,,12615.0,,,,,,0,0.1.1,12.615
1774871883636184000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,12,,,,19552.0,,,,,,0,0.1.1,19.552
1774871887715192000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,13,,,,53580.0,,,,,,0,0.1.1,53.58
1774871891372125000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,14,,,,69707.0,,,,,,0,0.1.1,69.707
1774871894598385000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,15,,,,11622.0,,,,,,0,0.1.1,11.622
1774871898263899000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,16,,,,13734.0,,,,,,0,0.1.1,13.734
1774871906373622000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,18,,,,13886.0,,,,,,0,0.1.1,13.886
1774871910172392000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,19,,,,12989.0,,,,,,0,0.1.1,12.989
1774871914398807000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,20,,,,13295.0,,,,,,0,0.1.1,13.295
1774871918193074000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,21,,,,37083.0,,,,,,0,0.1.1,37.083
