pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774940784887562000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,1,button,988174984.0,-36.0,,,,,,,0,0.1.1
1774940789929460000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,2,button,993219682.0,-36.0,,,,,,,0,0.1.1
1774940794802069000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,3,button,998089860.0,-40.0,,,,,,,0,0.1.1
1774940798082852000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,4,button,1001365825.0,-38.0,,,,,,,0,0.1.1
1774940801529267000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,5,button,1004819878.0,-40.0,,,,,,,0,0.1.1
1774940804643789000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,6,button,1007933262.0,-40.0,,,,,,,0,0.1.1
1774940809387433000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,7,button,1012675843.0,-45.0,,,,,,,0,0.1.1
1774940812988464000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,8,button,1016278030.0,-39.0,,,,,,,0,0.1.1
1774940816557792000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,9,button,1019847260.0,-45.0,,,,,,,0,0.1.1
1774940819530599000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,10,button,1022820154.0,-45.0,,,,,,,0,0.1.1
1774940822592344000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,11,button,1025881820.0,-46.0,,,,,,,0,0.1.1
1774940825678909000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,12,button,1028968208.0,-39.0,,,,,,,0,0.1.1
1774940828436279000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,13,button,1031725856.0,-45.0,,,,,,,0,0.1.1
1774940831029328000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,14,button,1034318894.0,-39.0,,,,,,,0,0.1.1
1774940833803455000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,15,button,1037092965.0,-45.0,,,,,,,0,0.1.1
1774940836637394000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,16,button,1039926965.0,-45.0,,,,,,,0,0.1.1
1774940839083852000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,17,button,1042371538.0,-45.0,,,,,,,0,0.1.1
1774940841663553000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,18,button,1044952752.0,-45.0,,,,,,,0,0.1.1
1774940844075556000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,19,button,1047364613.0,-39.0,,,,,,,0,0.1.1
1774940847103822000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,20,button,1050391704.0,-39.0,,,,,,,0,0.1.1
1774940850046899000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,21,button,1053336104.0,-39.0,,,,,,,0,0.1.1
1774940852943656000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,22,button,1056232773.0,-39.0,,,,,,,0,0.1.1
1774940855996127000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,23,button,1059285052.0,-39.0,,,,,,,0,0.1.1
1774940858929259000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,24,button,1062218313.0,-40.0,,,,,,,0,0.1.1
1774940861780602000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,25,button,1065068891.0,-39.0,,,,,,,0,0.1.1
1774940864571188000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,26,button,1067860104.0,-39.0,,,,,,,0,0.1.1
1774940867516669000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,27,button,1070800686.0,-45.0,,,,,,,0,0.1.1
