pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774940784899972000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,1,,,,15243.0,,,,,,0,0.1.1,15.243
1774940789938637000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,2,,,,10496.0,,,,,,0,0.1.1,10.496
1774940794811764000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,3,,,,13375.0,,,,,,0,0.1.1,13.375
1774940798091788000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,4,,,,17353.0,,,,,,0,0.1.1,17.353
1774940801537210000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,5,,,,9299.0,,,,,,0,0.1.1,9.299
1774940804651754000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,6,,,,9916.0,,,,,,0,0.1.1,9.916
1774940809399257000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,7,,,,12337.0,,,,,,0,0.1.1,12.337
1774940812997011000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,8,,,,10148.0,,,,,,0,0.1.1,10.148
1774940816567074000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,9,,,,10917.0,,,,,,0,0.1.1,10.917
1774940819539282000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,10,,,,10045.0,,,,,,0,0.1.1,10.045
1774940822601426000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,11,,,,10380.0,,,,,,0,0.1.1,10.38
1774940825687271000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,12,,,,9991.0,,,,,,0,0.1.1,9.991
1774940828445045000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,13,,,,9713.0,,,,,,0,0.1.1,9.713
1774940831038320000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,14,,,,10304.0,,,,,,0,0.1.1,10.304
1774940833815876000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,15,,,,11235.0,,,,,,0,0.1.1,11.235
1774940836645217000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,16,,,,9234.0,,,,,,0,0.1.1,9.234
1774940839092615000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,17,,,,11662.0,,,,,,0,0.1.1,11.662
1774940841672595000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,18,,,,10447.0,,,,,,0,0.1.1,10.447
1774940844083587000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,19,,,,9710.0,,,,,,0,0.1.1,9.71
