pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain
1774617370668381000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:16:10.696332+02:00,01KMQQ08096SDAXXC1M40601FE,01KMQQ08096SDAXXC1M40601FE,0
1774617633844238000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:20:33.837540+02:00,01KMQQ88ZF4PY6AVN79S26RQE3,01KMQQ88ZF4PY6AVN79S26RQE3,0
1774617636565441000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:20:36.598103+02:00,01KMQQ8BNW88DHZK6WV8Y31BYN,01KMQQ8BNW88DHZK6WV8Y31BYN,0
1774617640640003000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:20:40.673218+02:00,01KMQQ8FN714CPRM7DDD4MA4MN,01KMQQ8FN714CPRM7DDD4MA4MN,0
1774617645064608000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:20:45.064928+02:00,01KMQQ8KYGSD9DCZBNEEQN7CDG,01KMQQ8KYGSD9DCZBNEEQN7CDG,0
1774617650184394000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:20:50.206740+02:00,01KMQQ8RZ404BSJ0EN3Z182KWT,01KMQQ8RZ404BSJ0EN3Z182KWT,0
1774617654855948000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:20:54.878676+02:00,01KMQQ8XH3QXRWT4G6P5XFFGKQ,01KMQQ8XH3QXRWT4G6P5XFFGKQ,0
1774617658973616000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:20:58.997654+02:00,01KMQQ91HWVD43JARE60WA2VKN,01KMQQ91HWVD43JARE60WA2VKN,0
1774617662936990000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:21:02.969817+02:00,01KMQQ95DNCCV6HRT26PQ4SY3T,01KMQQ95DNCCV6HRT26PQ4SY3T,0
1774617666723074000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:21:06.757927+02:00,01KMQQ99420C8KBQY39WDBK5G0,01KMQQ99420C8KBQY39WDBK5G0,0
