pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,pi_time_s,ha_time_s,raw_delay_ms,norm_delay_ms
1774879671372464000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:07:51.389079+03:00,01KMZH510N6E36EVT33B18EH8H,01KMZH510N6E36EVT33B18EH8H,0,0.1.1,1774879671.3724642,1774879671.389079,-16.614913940429688,8.201003074645996
1774879685477968000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:05.499606+03:00,01KMZH5ESV0CZQNWEFH6T2M106,01KMZH5ESV0CZQNWEFH6T2M106,0,0.1.1,1774879685.477968,1774879685.499606,-21.637916564941406,3.1780004501342773
1774879690587730000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:10.614088+03:00,01KMZH5KSPYXEE07TCFJTJC5BE,01KMZH5KSPYXEE07TCFJTJC5BE,0,0.1.1,1774879690.58773,1774879690.614088,-26.35812759399414,-1.542210578918457
1774879697208639000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:17.238230+03:00,01KMZH5T8PXWEZ6GGND0Y09W0Q,01KMZH5T8PXWEZ6GGND0Y09W0Q,0,0.1.1,1774879697.208639,1774879697.23823,-29.591083526611328,-4.7751665115356445
1774879701555692000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:21.579268+03:00,01KMZH5YGE83HMMK4PP114F5TW,01KMZH5YGE83HMMK4PP114F5TW,0,0.1.1,1774879701.555692,1774879701.579268,-23.576021194458008,1.2398958206176758
1774879706623532000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:26.645081+03:00,01KMZH63ERCP9R0A3620KDABHM,01KMZH63ERCP9R0A3620KDABHM,0,0.1.1,1774879706.623532,1774879706.645081,-21.548986434936523,3.26693058013916
1774879710983634000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:30.965448+03:00,01KMZH67NNB59SG1M13T26JMBH,01KMZH67NNB59SG1M13T26JMBH,0,0.1.1,1774879710.983634,1774879710.965448,18.186092376708984,43.00200939178467
1774879714820472000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:34.840755+03:00,01KMZH6BERY3AG9AXVSWH4MZ8S,01KMZH6BERY3AG9AXVSWH4MZ8S,0,0.1.1,1774879714.820472,1774879714.840755,-20.282983779907227,4.532933235168457
1774879718913190000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:38.946896+03:00,01KMZH6FF5QDHDBMJM3K4PAYTG,01KMZH6FF5QDHDBMJM3K4PAYTG,0,0.1.1,1774879718.91319,1774879718.946896,-33.7061882019043,-8.890271186828613
1774879723241437000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:08:43.271455+03:00,01KMZH6KPATDF7P969XNFKZ4BC,01KMZH6KPATDF7P969XNFKZ4BC,0,0.1.1,1774879723.241437,1774879723.271455,-30.018091201782227,-5.202174186706543
1774879727062949000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,on,off,2026-03-30T17:08:47.094322+03:00,01KMZH6QDQ949VTNC9SVTESDRS,01KMZH6QDQ949VTNC9SVTESDRS,0,0.1.1,1774879727.0629492,1774879727.094322,-31.372785568237305,-6.556868553161621
1774879740329858000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v2,0,state_changed,0,,,off,on,2026-03-30T17:09:00.334713+03:00,01KMZH74BE3MD6J85QV3W6E9KN,01KMZH74BE3MD6J85QV3W6E9KN,0,0.1.1,1774879740.329858,1774879740.334713,-4.854917526245117,19.960999488830566
