pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774942636599781000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:37:16.625361+03:00,01KN1D6JG8PAN9P72E9M49WCVK,01KN1D6JG8PAN9P72E9M49WCVK,0,0.1.1
1774942648148678000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:37:28.175482+03:00,01KN1D6XSFGDTTBGR6ZM5E32SB,01KN1D6XSFGDTTBGR6ZM5E32SB,0,0.1.1
1774942654501194000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:37:34.521885+03:00,01KN1D73ZTMTWZVMGZ3Z13YHTA,01KN1D73ZTMTWZVMGZ3Z13YHTA,0,0.1.1
1774942665581489000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:37:45.612304+03:00,01KN1D7ETET1CE4W6CZS7HTP0J,01KN1D7ETET1CE4W6CZS7HTP0J,0,0.1.1
1774942670536811000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:37:50.563895+03:00,01KN1D7KN44M1TQV90KT1T5YZ6,01KN1D7KN44M1TQV90KT1T5YZ6,0,0.1.1
1774942674629776000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:37:54.659742+03:00,01KN1D7QMPPBQSB6PWSDA5R6N8,01KN1D7QMPPBQSB6PWSDA5R6N8,0,0.1.1
1774942678569811000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:37:58.595407+03:00,01KN1D7VG44DEA05CV7W3AVGV4,01KN1D7VG44DEA05CV7W3AVGV4,0,0.1.1
1774942682263388000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:02.282651+03:00,01KN1D7Z39P5W0E0ZS5Q445R57,01KN1D7Z39P5W0E0ZS5Q445R57,0,0.1.1
1774942685886929000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:05.905400+03:00,01KN1D82MHQMSN2NQ5Q5749E9C,01KN1D82MHQMSN2NQ5Q5749E9C,0,0.1.1
1774942689624663000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:09.655212+03:00,01KN1D869SDAC9QKM1JW3Q3DK5,01KN1D869SDAC9QKM1JW3Q3DK5,0,0.1.1
1774942694138107000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:14.168547+03:00,01KN1D8APR4KKQBNT3D6FAZNBY,01KN1D8APR4KKQBNT3D6FAZNBY,0,0.1.1
1774942697259341000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:17.289707+03:00,01KN1D8DRDW90A4FNX78J40ZP7,01KN1D8DRDW90A4FNX78J40ZP7,0,0.1.1
1774942700064897000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:20.091407+03:00,01KN1D8GFXQGVZPC62B5RR7MM9,01KN1D8GFXQGVZPC62B5RR7MM9,0,0.1.1
1774942702736192000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:22.766495+03:00,01KN1D8K3GN0VSGMV5CK4W3MVG,01KN1D8K3GN0VSGMV5CK4W3MVG,0,0.1.1
1774942707736424000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:27.766381+03:00,01KN1D8QZQ5MVDXPTVMKXP1CWV,01KN1D8QZQ5MVDXPTVMKXP1CWV,0,0.1.1
1774942711143847000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:31.162656+03:00,01KN1D8V9W9KSWERXMKNC4T0RJ,01KN1D8V9W9KSWERXMKNC4T0RJ,0,0.1.1
1774942714855137000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:34.885538+03:00,01KN1D8YY5S4PBX6203Y1FCF3G,01KN1D8YY5S4PBX6203Y1FCF3G,0,0.1.1
1774942718444348000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:38.471752+03:00,01KN1D92E85044XJPMDVB3ZPKX,01KN1D92E85044XJPMDVB3ZPKX,0,0.1.1
1774942722007772000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:42.028313+03:00,01KN1D95XE5KBVMY9S2PRSYEB0,01KN1D95XE5KBVMY9S2PRSYEB0,0,0.1.1
1774942724930366000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:44.960694+03:00,01KN1D98S3EQDNKK4MCKSX7WNB,01KN1D98S3EQDNKK4MCKSX7WNB,0,0.1.1
1774942728608295000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:48.627147+03:00,01KN1D9CBQCHRYV2GMBT0Q3TKC,01KN1D9CBQCHRYV2GMBT0Q3TKC,0,0.1.1
1774942731900099000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:51.931252+03:00,01KN1D9FJWEJG6B1A4NB56KG92,01KN1D9FJWEJG6B1A4NB56KG92,0,0.1.1
1774942735261418000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:55.281768+03:00,01KN1D9JVGDBBYR3GXGF98KTG0,01KN1D9JVGDBBYR3GXGF98KTG0,0,0.1.1
1774942737884626000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:57.916499+03:00,01KN1D9NDYG5TZC34M4ZSBKERX,01KN1D9NDYG5TZC34M4ZSBKERX,0,0.1.1
1774942741055868000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:39:01.087456+03:00,01KN1D9RH0JNH9W6KKC9XMXB4S,01KN1D9RH0JNH9W6KKC9XMXB4S,0,0.1.1
1774942744289454000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:39:04.321462+03:00,01KN1D9VP2TGXGPBQGHY2JCJE1,01KN1D9VP2TGXGPBQGHY2JCJE1,0,0.1.1
1774942747796432000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:39:07.827850+03:00,01KN1D9Z3P9M6HG6979KRE6F0V,01KN1D9Z3P9M6HG6979KRE6F0V,0,0.1.1
1774942751373845000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:39:11.405664+03:00,01KN1DA2KF3DR9RR6M8QHGTK0X,01KN1DA2KF3DR9RR6M8QHGTK0X,0,0.1.1
