pi_rx_time_ns,address,name,rssi,company_id,version,node_num,exp_code,seq,t_local_us,raw_hex,pipeline_version,pi_time_us,raw_delay_ms,norm_delay_ms
1774882558980681000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-52,4660,2,1,W1BL,2,1776057456,02015731424c02000000707cdc69,0.1.1,1774882558980681.0,1774880782923.225,-97.833984375
1774882568543982000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-52,4660,2,1,W1BL,3,1785618702,02015731424c030000000e616e6a,0.1.1,1774882568543982.0,1774880782925.28,-95.779052734375
1774882572807763000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,4,1789603409,02015731424c04000000512eab6a,0.1.1,1774882572807763.0,1774880783204.354,183.294921875
1774882575756562000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-51,4660,2,1,W1BL,5,1792831170,02015731424c05000000c26edc6a,0.1.1,1774882575756562.0,1774880782925.392,-95.6669921875
1774882579047938000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,6,1795760381,02015731424c06000000fd20096b,0.1.1,1774882579047938.0,1774880783287.557,266.497802734375
1774882581476469000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-51,4660,2,1,W1BL,7,1798548774,02015731424c0700000026ad336b,0.1.1,1774882581476469.0,1774880782927.695,-93.364013671875
1774882584500911000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,8,1801446030,02015731424c080000008ee25f6b,0.1.1,1774882584500911.0,1774880783054.881,33.822021484375
1774882587153811000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,9,1804182665,02015731424c0900000089a4896b,0.1.1,1774882587153811.0,1774880782971.146,-49.9130859375
1774882589895669000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,10,1806971623,02015731424c0a000000e732b46b,0.1.1,1774882589895669.0,1774880782924.046,-97.01318359375
1774882592546674000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,11,1809486818,02015731424c0b000000e293da6b,0.1.1,1774882592546674.0,1774880783059.856,38.796875
1774882595277793000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,12,1812312310,02015731424c0c000000f6b0056c,0.1.1,1774882595277793.0,1774880782965.483,-55.576171875
1774882598569923000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-51,4660,2,1,W1BL,13,1815466400,02015731424c0d000000a0d1356c,0.1.1,1774882598569923.0,1774880783103.523,82.4638671875
1774882601277204000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-50,4660,2,1,W1BL,14,1818308105,02015731424c0e000000092e616c,0.1.1,1774882601277204.0,1774880782969.099,-51.9599609375
1774882604211121000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,15,1821107500,02015731424c0f0000002ce58b6c,0.1.1,1774882604211121.0,1774880783103.621,82.56201171875
1774882607223424000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-50,4660,2,1,W1BL,16,1824076289,02015731424c100000000132b96c,0.1.1,1774882607223424.0,1774880783147.135,126.075927734375
1774882609934250000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-53,4660,2,1,W1BL,17,1826738558,02015731424c110000007ed1e16c,0.1.1,1774882609934250.0,1774880783195.692,174.6328125
1774882612584564000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-60,4660,2,1,W1BL,18,1829488023,02015731424c1200000097c50b6d,0.1.1,1774882612584564.0,1774880783096.541,75.48193359375
1774882615326997000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,19,1832137531,02015731424c130000003b33346d,0.1.1,1774882615326997.0,1774880783189.466,168.406982421875
1774882618318301000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,20,1835306352,02015731424c14000000708d646d,0.1.1,1774882618318301.0,1774880783011.949,-9.110107421875
1774882621386508000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,21,1838365449,02015731424c15000000093b936d,0.1.1,1774882621386508.0,1774880783021.059,0.0
1774882624383886000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,22,1841321028,02015731424c160000004454c06d,0.1.1,1774882624383886.0,1774880783062.858,41.798828125
1774882627098202000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-53,4660,2,1,W1BL,23,1844175609,02015731424c17000000f9e2eb6d,0.1.1,1774882627098202.0,1774880782922.593,-98.466064453125
1774882630360885000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,24,1847435198,02015731424c18000000be9f1d6e,0.1.1,1774882630360885.0,1774880782925.687,-95.3720703125
1774882633664863000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,25,1850512282,02015731424c190000009a934c6e,0.1.1,1774882633664863.0,1774880783152.581,131.52197265625
1774882636662133000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,26,1853557833,02015731424c1a000000490c7b6e,0.1.1,1774882636662133.0,1774880783104.3,83.240966796875
1774882639972312000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,27,1856816297,02015731424c1b000000a9c4ac6e,0.1.1,1774882639972312.0,1774880783156.015,134.955810546875
1774882643272264000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,28,1860345582,02015731424c1c000000ee9ee26e,0.1.1,1774882643272264.0,1774880782926.682,-94.377197265625
1774882646555911000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,29,1863631631,02015731424c1d0000000fc3146f,0.1.1,1774882646555911.0,1774880782924.28,-96.779052734375
1774882649581339000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,30,1866522811,02015731424c1e000000bbe0406f,0.1.1,1774882649581339.0,1774880783058.528,37.468994140625
1774882653172398000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,31,1870204341,02015731424c1f000000b50d796f,0.1.1,1774882653172398.0,1774880782968.057,-53.002197265625
1774882657083077000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,32,1873935621,02015731424c2000000005fdb16f,0.1.1,1774882657083077.0,1774880783147.456,126.39697265625
1774882660658964000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,33,1877503082,02015731424c210000006a6ce86f,0.1.1,1774882660658964.0,1774880783155.882,134.822998046875
1774882663980827000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-61,4660,2,1,W1BL,34,1881055605,02015731424c2200000075a11e70,0.1.1,1774882663980827.0,1774880782925.222,-95.837158203125
1774882667303031000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,35,1884377409,02015731424c2300000041515170,0.1.1,1774882667303031.0,1774880782925.622,-95.43701171875
1774882670879816000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,36,1887955568,02015731424c2400000070ea8770,0.1.1,1774882670879816.0,1774880782924.248,-96.81103515625
1774882674484546000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,37,1891560622,02015731424c25000000aeecbe70,0.1.1,1774882674484546.0,1774880782923.924,-97.135009765625
1774882677786808000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,38,1894859892,02015731424c260000007444f170,0.1.1,1774882677786808.0,1774880782926.916,-94.14306640625
1774882681093288000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,39,1897910580,02015731424c2700000034d11f71,0.1.1,1774882681093288.0,1774880783182.708,161.64892578125
1774882684393160000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,40,1901241774,02015731424c28000000aea55271,0.1.1,1774882684393160.0,1774880783151.386,130.326904296875
1774882688609206000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-48,4660,2,1,W1BL,41,1905682918,02015731424c29000000e6699671,0.1.1,1774882688609206.0,1774880782926.288,-94.77099609375
1774882691867665000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,42,1908899173,02015731424c2a000000657dc771,0.1.1,1774882691867665.0,1774880782968.492,-52.567138671875
1774882695453876000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-53,4660,2,1,W1BL,43,1912211788,02015731424c2b0000004c09fa71,0.1.1,1774882695453876.0,1774880783242.088,221.02880859375
1774882698766937000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,44,1915799069,02015731424c2c0000001dc63072,0.1.1,1774882698766937.0,1774880782967.868,-53.191162109375
1774882702391912000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,45,1919334685,02015731424c2d0000001db96672,0.1.1,1774882702391912.0,1774880783057.227,36.16796875
1774882706587585000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,46,1923614908,02015731424c2e000000bc08a872,0.1.1,1774882706587585.0,1774880782972.677,-48.382080078125
1774882710479393000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,47,1927460580,02015731424c2f000000e4b6e272,0.1.1,1774882710479393.0,1774880783018.813,-2.24609375
1774882714373185000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,48,1931445957,02015731424c30000000c5861f73,0.1.1,1774882714373185.0,1774880782927.228,-93.8310546875
1774882717997353000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,49,1934981015,02015731424c3100000097775573,0.1.1,1774882717997353.0,1774880783016.338,-4.72119140625
1774882721856088000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,50,1938658692,02015731424c3200000084958d73,0.1.1,1774882721856088.0,1774880783197.396,176.3369140625
1774882725186842000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,51,1942044379,02015731424c33000000db3ec173,0.1.1,1774882725186842.0,1774880783142.463,121.40380859375
1774882729393636000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-53,4660,2,1,W1BL,52,1946073200,02015731424c3400000070b8fe73,0.1.1,1774882729393636.0,1774880783320.436,299.376953125
1774882732980097000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,53,1950055589,02015731424c35000000a57c3b74,0.1.1,1774882732980097.0,1774880782924.508,-96.551025390625
1774882735952771000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,54,1953027564,02015731424c36000000ecd56874,0.1.1,1774882735952771.0,1774880782925.207,-95.85205078125
1774882739570761000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,55,1956463221,02015731424c3700000075429d74,0.1.1,1774882739570761.0,1774880783107.54,86.48095703125
1774882743182433000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,56,1960071908,02015731424c38000000e452d474,0.1.1,1774882743182433.0,1774880783110.525,89.4658203125
1774882746161899000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-56,4660,2,1,W1BL,57,1963235861,02015731424c39000000159a0475,0.1.1,1774882746161899.0,1774880782926.038,-95.02099609375
1774882749454699000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,58,1966348119,02015731424c3a00000057173475,0.1.1,1774882749454699.0,1774880783106.58,85.52099609375
1774882752774718000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,59,1969708196,02015731424c3b000000a45c6775,0.1.1,1774882752774718.0,1774880783066.522,45.462890625
1774882756086404000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,60,1972933806,02015731424c3c000000ae949875,0.1.1,1774882756086404.0,1774880783152.598,131.538818359375
1774882759355788000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,61,1976214898,02015731424c3d00000072a5ca75,0.1.1,1774882759355788.0,1774880783140.89,119.830810546875
1774882762651350000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,62,1979632391,02015731424c3e00000007cbfe75,0.1.1,1774882762651350.0,1774880783018.959,-2.10009765625
1774882765375832000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,63,1982403396,02015731424c3f00000044132976,0.1.1,1774882765375832.0,1774880782972.436,-48.623046875
1774882768163321000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,64,1985187127,02015731424c40000000378d5376,0.1.1,1774882768163321.0,1774880782976.194,-44.864990234375
1774882771450348000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,65,1988525204,02015731424c41000000947c8676,0.1.1,1774882771450348.0,1774880782925.144,-95.9150390625
1774882775055315000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,66,1992130341,02015731424c42000000257fbd76,0.1.1,1774882775055315.0,1774880782924.974,-96.0849609375
1774882778069932000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,67,1994930317,02015731424c430000008d38e876,0.1.1,1774882778069932.0,1774880783139.615,118.555908203125
1774882781065517000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,68,1997909073,02015731424c4400000051ac1577,0.1.1,1774882781065517.0,1774880783156.444,135.385009765625
1774882783760591000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,69,2000791413,02015731424c4500000075a74177,0.1.1,1774882783760591.0,1774880782969.178,-51.881103515625
