pi_rx_time_ns,address,name,rssi,company_id,version,node_num,exp_code,seq,t_local_us,raw_hex,pipeline_version,pi_time_us,raw_delay_ms,norm_delay_ms
1775552679057075000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-68,4660,2,1,W1BL,1,17865047,02015731424c0100000057991001,0.1.1,1775552679057075.0,1775552661192.028,-134.93994140625
1775552684167483000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-77,4660,2,1,W1BL,2,22877127,02015731424c02000000c7135d01,0.1.1,1775552684167483.0,1775552661290.356,-36.612060546875
1775552688359100000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W1BL,3,27034561,02015731424c03000000c1839c01,0.1.1,1775552688359100.0,1775552661324.539,-2.428955078125
1775552691955837000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-71,4660,2,1,W1BL,4,30719924,02015731424c04000000b4bfd401,0.1.1,1775552691955837.0,1775552661235.913,-91.054931640625
1775552699800304000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-71,4660,2,1,W1BL,6,38609573,02015731424c06000000a5224d02,0.1.1,1775552699800304.2,1775552661190.7312,-136.23681640625
1775552703988389000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W1BL,7,42522987,02015731424c070000006bd98802,0.1.1,1775552703988389.0,1775552661465.402,138.43408203125
1775552708502660000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W1BL,8,47093344,02015731424c080000006096ce02,0.1.1,1775552708502660.0,1775552661409.316,82.347900390625
1775552713277094000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W1BL,9,51855963,02015731424c090000005b421703,0.1.1,1775552713277094.0,1775552661421.131,94.1630859375
1775552716879413000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W1BL,10,55683428,02015731424c0a00000064a95103,0.1.1,1775552716879413.0,1775552661195.985,-130.98291015625
1775552721066077000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W1BL,11,59824651,02015731424c0b0000000bda9003,0.1.1,1775552721066077.0,1775552661241.426,-85.5419921875
1775552724948214000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W1BL,12,63528294,02015731424c0c000000665dc903,0.1.1,1775552724948214.0,1775552661419.92,92.951904296875
1775552728876412000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W1BL,13,67420455,02015731424c0d00000027c10404,0.1.1,1775552728876412.0,1775552661455.957,128.989013671875
