pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776100472840395000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,2309297,5.0875,43.87175,224.7328,-28,0,0.2.1
1776100472938215000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,2408458,4.86875,146.9557,715.7252,-27,0,0.2.1
1776100473039925000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,2508493,5.04625,64.09771,324.8855,-27,0,0.2.1
1776100473138438000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,2608495,5.045,64.09771,307.7863,-28,0,0.2.1
1776100473238231000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,2708521,4.87625,147.3466,720.6107,-27,0,0.2.1
1776100473338519000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,2808544,5.045,64.09771,324.8855,-27,0,0.2.1
1776100473438362000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,2908522,5.04625,64.19542,324.8855,-27,0,0.2.1
1776100473538425000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3008515,5.045,64.19542,324.8855,-28,0,0.2.1
1776100473638506000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3108487,5.04375,64.19542,324.8855,-28,0,0.2.1
1776100473738637000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3208468,5.045,64.19542,324.8855,-27,0,0.2.1
1776100473838894000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3308518,5.045,64.19542,320,-27,0,0.2.1
1776100473942811000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3408495,5.04375,64.29312,324.8855,-27,0,0.2.1
1776100474038374000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3508472,5.045,64.19542,324.8855,-27,0,0.2.1
1776100474138481000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3608523,5.04625,64.19542,300.458,-28,0,0.2.1
1776100474240643000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3708540,4.8775,138.7481,681.5267,-27,0,0.2.1
1776100474343483000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3808528,5.04875,64.19542,324.8855,-33,0,0.2.1
1776100474438585000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,3908511,5.04625,64.19542,324.8855,-28,0,0.2.1
1776100474538963000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,4008521,5.045,64.29312,324.8855,-28,0,0.2.1
1776100474638612000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,4108461,5.045,64.29312,324.8855,-27,0,0.2.1
1776100474738430000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,4208510,5.04625,64.29312,324.8855,-28,0,0.2.1
1776100474837657000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,4308490,5.04625,64.09771,307.7863,-27,0,0.2.1
