pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1776142524246899000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,1,periodic,1876243,-28,,,,,,,0,0.2.1
1776142525246542000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2,periodic,2875199,-28,,,,,,,0,0.2.1
1776142526241376000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,3,periodic,3875148,-27,,,,,,,0,0.2.1
1776142527243862000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,4,periodic,4876256,-27,,,,,,,0,0.2.1
1776142528244126000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,5,periodic,5875911,-27,,,,,,,0,0.2.1
1776142529242481000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,6,periodic,6875935,-28,,,,,,,0,0.2.1
1776142530243127000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,7,periodic,7876730,-27,,,,,,,0,0.2.1
1776142531244962000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,8,periodic,8876786,-27,,,,,,,0,0.2.1
1776142532242592000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,9,periodic,9875923,-28,,,,,,,0,0.2.1
1776142533241056000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,10,periodic,10875185,-28,,,,,,,0,0.2.1
1776142534242532000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,11,periodic,11875951,-27,,,,,,,0,0.2.1
1776142535242610000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,12,periodic,12875922,-27,,,,,,,0,0.2.1
1776142536242692000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,13,periodic,13875984,-28,,,,,,,0,0.2.1
1776142537250996000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,14,periodic,14875894,-27,,,,,,,0,0.2.1
1776142538242507000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,15,periodic,15875844,-27,,,,,,,0,0.2.1
1776142539244470000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,16,periodic,16875878,-27,,,,,,,0,0.2.1
1776142540242809000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,17,periodic,17875880,-28,,,,,,,0,0.2.1
1776142541244844000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,18,periodic,18875868,-27,,,,,,,0,0.2.1
1776142542242611000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,19,periodic,19875859,-27,,,,,,,0,0.2.1
1776142543246182000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,20,periodic,20875898,-27,,,,,,,0,0.2.1
1776142544242764000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,21,periodic,21875854,-27,,,,,,,0,0.2.1
1776142545242635000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,22,periodic,22875854,-27,,,,,,,0,0.2.1
1776142546242785000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,23,periodic,23875876,-27,,,,,,,0,0.2.1
1776142547242583000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,24,periodic,24875915,-27,,,,,,,0,0.2.1
1776142548242749000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,25,periodic,25875848,-27,,,,,,,0,0.2.1
1776142549245392000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,26,periodic,26876759,-28,,,,,,,0,0.2.1
1776142550245294000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,27,periodic,27876768,-28,,,,,,,0,0.2.1
1776142551245524000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,28,periodic,28876770,-27,,,,,,,0,0.2.1
1776142552243672000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,29,periodic,29876772,-27,,,,,,,0,0.2.1
1776142553242987000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,30,periodic,30875945,-27,,,,,,,0,0.2.1
1776142554297173000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,31,periodic,31876794,-28,,,,,,,0,0.2.1
1776142555244570000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,32,periodic,32875925,-28,,,,,,,0,0.2.1
1776142556242885000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,33,periodic,33875923,-28,,,,,,,0,0.2.1
1776142557242951000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,34,periodic,34875926,-27,,,,,,,0,0.2.1
1776142558242948000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,35,periodic,35875874,-27,,,,,,,0,0.2.1
1776142559245740000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,36,periodic,36876992,-27,,,,,,,0,0.2.1
1776142560244806000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,37,periodic,37875901,-28,,,,,,,0,0.2.1
1776142561242787000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,38,periodic,38875856,-28,,,,,,,0,0.2.1
1776142562242949000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,39,periodic,39875855,-28,,,,,,,0,0.2.1
