pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776142524441320000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2063472,4.8675,153.8931,747.481,-28,0,0.2.1
1776142524640429000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2263460,4.875,147.2489,720.6107,-29,0,0.2.1
1776142524840988000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2463504,5.045,64.09771,312.6718,-36,0,0.2.1
1776142525350130000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2963492,5.05,64.48855,324.8855,-28,0,0.2.1
1776142529941006000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,7563490,4.87,147.2489,683.9694,-28,0,0.2.1
1776142530041068000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,7663551,5.05,64.68397,327.3282,-27,0,0.2.1
1776142530240972000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,7863465,5.04375,64.68397,320,-27,0,0.2.1
1776142531242797000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,8863538,5.04375,64.68397,320,-27,0,0.2.1
1776142534943553000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,12563497,5.0425,64.68397,320,-28,0,0.2.1
1776142537541160000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,15163452,4.96,64.87939,320,-28,0,0.2.1
1776142539641041000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,17263520,5.0425,64.58626,320,-27,0,0.2.1
1776142544044307000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,21663503,5.04375,64,327.3282,-27,0,0.2.1
