type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,1,W2_wifi_idle_quiet_ctrl_v1,2281279,5.087500,4.950000,43.969463,224.732819,-23
power_sample,2,W2_wifi_idle_quiet_ctrl_v1,2380447,4.887500,12.940000,146.955719,715.725159,-24
power_sample,3,W2_wifi_idle_quiet_ctrl_v1,2480499,5.052500,5.627500,63.706867,320.000000,-25
power_sample,4,W2_wifi_idle_quiet_ctrl_v1,2580446,5.051250,6.397500,63.609161,324.885498,-25
power_sample,5,W2_wifi_idle_quiet_ctrl_v1,2680485,5.051250,5.165000,63.804573,324.885498,-25
power_sample,6,W2_wifi_idle_quiet_ctrl_v1,2780429,5.050000,5.365000,63.706867,320.000000,-24
power_sample,7,W2_wifi_idle_quiet_ctrl_v1,2880499,5.051250,6.252500,63.706867,315.114502,-24
power_sample,8,W2_wifi_idle_quiet_ctrl_v1,2980426,5.051250,4.945000,64.293121,324.885498,-25
power_sample,9,W2_wifi_idle_quiet_ctrl_v1,3080429,4.880000,13.182500,147.444260,720.610657,-24
power_sample,10,W2_wifi_idle_quiet_ctrl_v1,3180446,5.052500,5.790000,63.706867,320.000000,-24
power_sample,11,W2_wifi_idle_quiet_ctrl_v1,3280461,5.051250,5.030000,63.706867,324.885498,-24
power_sample,12,W2_wifi_idle_quiet_ctrl_v1,3380433,4.895000,12.547500,142.070221,696.183228,-23
power_sample,13,W2_wifi_idle_quiet_ctrl_v1,3480498,5.048750,5.710000,63.804573,320.000000,-24
power_sample,14,W2_wifi_idle_quiet_ctrl_v1,3580445,5.050000,6.407500,63.706867,324.885498,-24
power_sample,15,W2_wifi_idle_quiet_ctrl_v1,3680499,5.051250,5.122500,64.097710,324.885498,-24
power_sample,16,W2_wifi_idle_quiet_ctrl_v1,3780502,5.048750,5.367500,63.902290,324.885498,-24
power_sample,17,W2_wifi_idle_quiet_ctrl_v1,3880423,5.051250,6.075000,63.804573,307.786255,-24
power_sample,18,W2_wifi_idle_quiet_ctrl_v1,3980445,5.051250,5.082500,64.293121,324.885498,-24
power_sample,19,W2_wifi_idle_quiet_ctrl_v1,4080478,4.880000,13.217500,147.346558,720.610657,-23
power_sample,20,W2_wifi_idle_quiet_ctrl_v1,4180422,5.050000,5.712500,63.902290,324.885498,-25
power_sample,21,W2_wifi_idle_quiet_ctrl_v1,4280442,5.051250,5.147500,63.804573,327.328247,-25
power_sample,22,W2_wifi_idle_quiet_ctrl_v1,4380509,4.905000,5.367500,138.943512,681.526733,-25
power_sample,23,W2_wifi_idle_quiet_ctrl_v1,4480461,5.050000,5.537500,64.195419,324.885498,-25
power_sample,24,W2_wifi_idle_quiet_ctrl_v1,4580464,5.050000,6.420000,63.804573,324.885498,-25
power_sample,25,W2_wifi_idle_quiet_ctrl_v1,4680496,5.051250,5.705000,64.390839,324.885498,-24
power_sample,26,W2_wifi_idle_quiet_ctrl_v1,4780503,5.050000,5.250000,64.097710,324.885498,-24
power_sample,27,W2_wifi_idle_quiet_ctrl_v1,4880419,5.050000,5.965000,63.902290,324.885498,-23
power_sample,28,W2_wifi_idle_quiet_ctrl_v1,4980449,5.050000,5.120000,64.586258,327.328247,-24
power_sample,29,W2_wifi_idle_quiet_ctrl_v1,5080485,5.051250,5.052500,63.999996,324.885498,-23
power_sample,30,W2_wifi_idle_quiet_ctrl_v1,5180489,5.050000,5.702500,63.999996,324.885498,-24
power_sample,31,W2_wifi_idle_quiet_ctrl_v1,5280429,5.050000,6.477500,63.902290,327.328247,-24
power_sample,32,W2_wifi_idle_quiet_ctrl_v1,5380427,4.900000,5.167500,142.558762,713.282410,-23
power_sample,33,W2_wifi_idle_quiet_ctrl_v1,5480485,5.048750,5.452500,64.097710,324.885498,-24
power_sample,34,W2_wifi_idle_quiet_ctrl_v1,5580426,5.050000,6.220000,63.902290,315.114502,-24
power_sample,35,W2_wifi_idle_quiet_ctrl_v1,5680485,5.051250,13.215000,64.879387,324.885498,-24
power_sample,36,W2_wifi_idle_quiet_ctrl_v1,5780422,5.048750,4.965000,64.293121,324.885498,-24
power_sample,37,W2_wifi_idle_quiet_ctrl_v1,5880411,5.050000,5.820000,63.999996,324.885498,-24
power_sample,38,W2_wifi_idle_quiet_ctrl_v1,5980422,5.051250,5.065000,64.097710,327.328247,-24
power_sample,39,W2_wifi_idle_quiet_ctrl_v1,6080499,5.051250,5.165000,64.488548,324.885498,-24
power_sample,40,W2_wifi_idle_quiet_ctrl_v1,6180415,5.048750,5.667500,64.195419,324.885498,-23
power_sample,41,W2_wifi_idle_quiet_ctrl_v1,6280443,5.050000,6.485000,63.999996,327.328247,-24
power_sample,42,W2_wifi_idle_quiet_ctrl_v1,6380446,5.028750,5.092500,64.683968,327.328247,-24
power_sample,43,W2_wifi_idle_quiet_ctrl_v1,6480499,5.050000,5.422500,64.293121,324.885498,-24
power_sample,44,W2_wifi_idle_quiet_ctrl_v1,6580445,5.051250,6.177500,63.804573,312.671753,-24
power_sample,45,W2_wifi_idle_quiet_ctrl_v1,6680484,5.040000,12.934999,146.369461,715.725159,-24
power_sample,46,W2_wifi_idle_quiet_ctrl_v1,6780433,5.048750,4.935000,64.488548,324.885498,-24
power_sample,47,W2_wifi_idle_quiet_ctrl_v1,6880450,5.050000,5.800000,64.195419,324.885498,-23
power_sample,48,W2_wifi_idle_quiet_ctrl_v1,6980415,5.050000,5.157500,63.999996,327.328247,-24
power_sample,49,W2_wifi_idle_quiet_ctrl_v1,7080447,4.883750,13.372499,147.932816,725.496155,-23
power_sample,50,W2_wifi_idle_quiet_ctrl_v1,7180476,5.048750,5.630000,64.488548,324.885498,-24
power_sample,51,W2_wifi_idle_quiet_ctrl_v1,7280473,5.050000,6.482500,64.097710,327.328247,-24
