type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,1,W2_wifi_periodic_1s_quiet_ctrl_v1,2281324,5.091250,5.035000,43.871754,224.732819,-24
power_sample,2,W2_wifi_periodic_1s_quiet_ctrl_v1,2380490,5.050000,13.264999,125.361832,615.572510,-23
power_sample,3,W2_wifi_periodic_1s_quiet_ctrl_v1,2480473,5.052500,5.085000,63.804573,324.885498,-25
power_sample,4,W2_wifi_periodic_1s_quiet_ctrl_v1,2580492,5.050000,5.622500,63.902290,324.885498,-25
power_sample,5,W2_wifi_periodic_1s_quiet_ctrl_v1,2680450,5.050000,6.402500,63.902290,324.885498,-26
power_sample,6,W2_wifi_periodic_1s_quiet_ctrl_v1,2780492,5.050000,5.135000,63.999996,324.885498,-25
power_sample,7,W2_wifi_periodic_1s_quiet_ctrl_v1,2880413,5.051250,5.227500,63.902290,324.885498,-25
power_sample,8,W2_wifi_periodic_1s_quiet_ctrl_v1,2980476,5.051250,6.097500,63.706867,307.786255,-24
power_sample,9,W2_wifi_periodic_1s_quiet_ctrl_v1,3080411,4.881250,13.450000,147.346558,720.610657,-24
power_sample,10,W2_wifi_periodic_1s_quiet_ctrl_v1,3180492,5.048750,4.882500,64.097710,324.885498,-25
power_sample,11,W2_wifi_periodic_1s_quiet_ctrl_v1,3280430,5.050000,5.647500,63.902290,324.885498,-25
power_sample,12,W2_wifi_periodic_1s_quiet_ctrl_v1,3380481,4.888750,12.652500,96.244270,725.496155,-25
power_sample,13,W2_wifi_periodic_1s_quiet_ctrl_v1,3480430,5.050000,5.147500,64.097710,324.885498,-25
power_sample,14,W2_wifi_periodic_1s_quiet_ctrl_v1,3580435,5.050000,5.390000,63.999996,324.885498,-26
power_sample,15,W2_wifi_periodic_1s_quiet_ctrl_v1,3680430,5.051250,6.155000,63.999996,312.671753,-24
power_sample,16,W2_wifi_periodic_1s_quiet_ctrl_v1,3780439,5.050000,4.927500,64.488548,327.328247,-24
power_sample,17,W2_wifi_periodic_1s_quiet_ctrl_v1,3880450,5.050000,4.945000,64.097710,324.885498,-25
power_sample,18,W2_wifi_periodic_1s_quiet_ctrl_v1,3980417,5.050000,5.735000,63.999996,324.885498,-25
power_sample,19,W2_wifi_periodic_1s_quiet_ctrl_v1,4080420,4.880000,13.472500,147.346558,725.496155,-24
