type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_idle_quiet_ctrl_v2,1855294,5.063750,4.847500,43.480915,219.847321,-27,0,0,-1
power_sample,2,W2_wifi_idle_quiet_ctrl_v2,1954480,5.025000,5.005000,63.804573,320.000000,-28,0,0,-1
power_sample,3,W2_wifi_idle_quiet_ctrl_v2,2054521,4.797500,13.902500,146.760300,703.511414,-30,0,0,-1
power_sample,4,W2_wifi_idle_quiet_ctrl_v2,2154493,4.812500,8.022500,139.041214,403.053436,-30,0,0,-1
power_sample,5,W2_wifi_idle_quiet_ctrl_v2,2254504,5.017500,5.042500,63.804573,320.000000,-37,0,0,-1
power_sample,6,W2_wifi_idle_quiet_ctrl_v2,2354532,5.017500,5.297500,64.195419,320.000000,-37,0,0,-1
power_sample,7,W2_wifi_idle_quiet_ctrl_v2,2454518,5.018750,6.067500,64.293121,295.572510,-37,0,0,-1
power_sample,8,W2_wifi_idle_quiet_ctrl_v2,2554518,5.016250,4.832500,63.999996,324.885498,-29,0,0,-1
power_sample,9,W2_wifi_idle_quiet_ctrl_v2,2654453,5.018750,4.852500,64.195419,324.885498,-29,0,0,-1
power_sample,10,W2_wifi_idle_quiet_ctrl_v2,2754485,5.017500,5.697500,64.488548,324.885498,-28,0,0,-1
power_sample,11,W2_wifi_idle_quiet_ctrl_v2,2854533,5.015000,4.957500,64.879387,324.885498,-28,0,0,-1
power_sample,12,W2_wifi_idle_quiet_ctrl_v2,2954500,5.023750,4.972500,64.390839,324.885498,-29,0,0,-1
power_sample,13,W2_wifi_idle_quiet_ctrl_v2,3054524,4.797500,13.900000,145.196945,696.183228,-28,0,0,-1
power_sample,14,W2_wifi_idle_quiet_ctrl_v2,3154472,5.003750,6.340000,119.108391,320.000000,-29,0,0,-1
power_sample,15,W2_wifi_idle_quiet_ctrl_v2,3254475,5.015000,4.990000,64.586258,324.885498,-29,0,0,-1
power_sample,16,W2_wifi_idle_quiet_ctrl_v2,3354483,5.016250,5.067500,64.781670,324.885498,-28,0,0,-1
power_sample,17,W2_wifi_idle_quiet_ctrl_v2,3454459,4.957500,14.215000,64.977097,688.854919,-29,0,0,-1
power_sample,18,W2_wifi_idle_quiet_ctrl_v2,3554479,5.015000,5.065000,64.488548,324.885498,-29,0,0,-1
power_sample,19,W2_wifi_idle_quiet_ctrl_v2,3654459,5.020000,5.045000,64.683968,324.885498,-29,0,0,-1
power_sample,20,W2_wifi_idle_quiet_ctrl_v2,3754493,5.016250,5.625000,65.074806,327.328247,-29,0,0,-1
power_sample,21,W2_wifi_idle_quiet_ctrl_v2,3854508,5.013750,5.092500,65.172516,324.885498,-35,0,0,-1
power_sample,22,W2_wifi_idle_quiet_ctrl_v2,3954540,5.013750,5.025000,64.879387,324.885498,-29,0,0,-1
power_sample,23,W2_wifi_idle_quiet_ctrl_v2,4054521,4.796250,13.719999,147.932816,708.396912,-29,0,0,-1
power_sample,24,W2_wifi_idle_quiet_ctrl_v2,4154454,5.011250,6.242500,65.270226,315.114502,-29,0,0,-1
power_sample,25,W2_wifi_idle_quiet_ctrl_v2,4254478,5.013750,4.922500,65.172516,327.328247,-28,0,0,-1
power_sample,26,W2_wifi_idle_quiet_ctrl_v2,4354483,5.015000,5.020000,65.172516,327.328247,-29,0,0,-1
power_sample,27,W2_wifi_idle_quiet_ctrl_v2,4454482,4.800000,14.102500,134.448837,644.885498,-28,0,0,-1
power_sample,28,W2_wifi_idle_quiet_ctrl_v2,4554454,5.012500,5.005000,65.367935,327.328247,-28,0,0,-1
power_sample,29,W2_wifi_idle_quiet_ctrl_v2,4654504,5.018750,5.137500,65.270226,327.328247,-29,0,0,-1
power_sample,30,W2_wifi_idle_quiet_ctrl_v2,4754533,5.015000,5.680000,65.367935,327.328247,-29,0,0,-1
power_sample,31,W2_wifi_idle_quiet_ctrl_v2,4854533,5.013750,6.507500,65.172516,327.328247,-29,0,0,-1
power_sample,32,W2_wifi_idle_quiet_ctrl_v2,4954504,5.012500,5.190000,65.270226,327.328247,-28,0,0,-1
power_sample,33,W2_wifi_idle_quiet_ctrl_v2,5054461,5.013750,5.345000,65.270226,327.328247,-29,0,0,-1
power_sample,34,W2_wifi_idle_quiet_ctrl_v2,5154472,5.013750,6.195000,64.977097,312.671753,-29,0,0,-1
power_sample,35,W2_wifi_idle_quiet_ctrl_v2,5254484,5.013750,4.907500,65.367935,327.328247,-28,0,0,-1
power_sample,36,W2_wifi_idle_quiet_ctrl_v2,5354500,5.013750,4.970000,65.172516,327.328247,-29,0,0,-1
power_sample,37,W2_wifi_idle_quiet_ctrl_v2,5454518,4.807500,13.299999,148.030533,713.282410,-28,0,0,-1
power_sample,38,W2_wifi_idle_quiet_ctrl_v2,5554510,5.015000,5.030000,65.367935,327.328247,-29,0,0,-1
power_sample,39,W2_wifi_idle_quiet_ctrl_v2,5654514,5.020000,5.137500,65.172516,327.328247,-29,0,0,-1
power_sample,40,W2_wifi_idle_quiet_ctrl_v2,5754462,5.013750,5.662500,65.367935,327.328247,-29,0,0,-1
power_sample,41,W2_wifi_idle_quiet_ctrl_v2,5854482,5.012500,6.512500,65.367935,327.328247,-28,0,0,-1
power_sample,42,W2_wifi_idle_quiet_ctrl_v2,5954504,5.015000,5.132500,65.172516,327.328247,-29,0,0,-1
power_sample,43,W2_wifi_idle_quiet_ctrl_v2,6054515,5.012500,5.357500,65.172516,327.328247,-29,0,0,-1
power_sample,44,W2_wifi_idle_quiet_ctrl_v2,6154476,5.013750,6.150000,65.270226,312.671753,-28,0,0,-1
power_sample,45,W2_wifi_idle_quiet_ctrl_v2,6254482,5.013750,5.120000,65.172516,327.328247,-28,0,0,-1
power_sample,46,W2_wifi_idle_quiet_ctrl_v2,6354500,5.015000,4.980000,65.270226,327.328247,-29,0,0,-1
power_sample,47,W2_wifi_idle_quiet_ctrl_v2,6454471,4.818750,9.397500,139.920609,671.755737,-28,0,0,-1
power_sample,48,W2_wifi_idle_quiet_ctrl_v2,6554497,5.012500,5.175000,64.977097,327.328247,-28,0,0,-1
power_sample,49,W2_wifi_idle_quiet_ctrl_v2,6654484,5.013750,5.145000,65.367935,327.328247,-28,0,0,-1
power_sample,50,W2_wifi_idle_quiet_ctrl_v2,6754557,5.015000,5.635000,65.367935,327.328247,-29,0,0,-1
power_sample,51,W2_wifi_idle_quiet_ctrl_v2,6854532,4.793750,14.775000,148.030533,713.282410,-29,0,0,-1
power_sample,52,W2_wifi_idle_quiet_ctrl_v2,6954522,5.013750,5.150000,65.367935,327.328247,-28,0,0,-1
power_sample,53,W2_wifi_idle_quiet_ctrl_v2,7054478,5.012500,5.130000,65.270226,327.328247,-28,0,0,-1
power_sample,54,W2_wifi_idle_quiet_ctrl_v2,7154504,5.013750,6.057500,64.977097,305.343506,-28,0,0,-1
power_sample,55,W2_wifi_idle_quiet_ctrl_v2,7254515,5.013750,5.210000,65.367935,327.328247,-29,0,0,-1
power_sample,56,W2_wifi_idle_quiet_ctrl_v2,7354533,5.016250,5.085000,65.172516,327.328247,-28,0,0,-1
power_sample,57,W2_wifi_idle_quiet_ctrl_v2,7454533,4.991250,5.730000,134.155716,669.312927,-28,0,0,-1
power_sample,58,W2_wifi_idle_quiet_ctrl_v2,7554476,5.016250,6.535000,64.683968,327.328247,-28,0,0,-1
power_sample,59,W2_wifi_idle_quiet_ctrl_v2,7654533,5.015000,5.192500,65.074806,327.328247,-29,0,0,-1
power_sample,60,W2_wifi_idle_quiet_ctrl_v2,7754532,5.000000,13.750000,64.977097,324.885498,-28,0,0,-1
power_sample,61,W2_wifi_idle_quiet_ctrl_v2,7854475,5.015000,6.275000,64.586258,315.114502,-28,0,0,-1
power_sample,62,W2_wifi_idle_quiet_ctrl_v2,7954515,5.015000,5.032500,65.367935,327.328247,-29,0,0,-1
power_sample,63,W2_wifi_idle_quiet_ctrl_v2,8054532,5.013750,5.132500,64.879387,324.885498,-29,0,0,-1
power_sample,64,W2_wifi_idle_quiet_ctrl_v2,8154472,5.015000,5.862500,64.586258,324.885498,-29,0,0,-1
power_sample,65,W2_wifi_idle_quiet_ctrl_v2,8254482,5.015000,5.110000,64.195419,327.328247,-35,0,0,-1
power_sample,66,W2_wifi_idle_quiet_ctrl_v2,8354500,5.020000,5.200000,64.879387,324.885498,-28,0,0,-1
power_sample,67,W2_wifi_idle_quiet_ctrl_v2,8454532,5.011250,5.757500,64.488548,324.885498,-29,0,0,-1
power_sample,68,W2_wifi_idle_quiet_ctrl_v2,8554518,5.015000,6.485000,64.195419,327.328247,-29,0,0,-1
power_sample,69,W2_wifi_idle_quiet_ctrl_v2,8654461,5.016250,5.150000,64.781670,324.885498,-29,0,0,-1
power_sample,70,W2_wifi_idle_quiet_ctrl_v2,8754543,4.800000,13.735000,115.688545,556.946594,-29,0,0,-1
power_sample,71,W2_wifi_idle_quiet_ctrl_v2,8854459,5.015000,6.142500,64.097710,312.671753,-29,0,0,-1
power_sample,72,W2_wifi_idle_quiet_ctrl_v2,8954532,5.016250,4.982500,64.781670,324.885498,-28,0,0,-1
power_sample,73,W2_wifi_idle_quiet_ctrl_v2,9054498,5.015000,4.955000,64.390839,324.885498,-28,0,0,-1
power_sample,74,W2_wifi_idle_quiet_ctrl_v2,9154459,5.015000,5.752500,64.097710,320.000000,-29,0,0,-1
power_sample,75,W2_wifi_idle_quiet_ctrl_v2,9254475,5.017500,5.165000,63.804573,324.885498,-28,0,0,-1
power_sample,76,W2_wifi_idle_quiet_ctrl_v2,9354485,5.022500,5.095000,64.390839,324.885498,-28,0,0,-1
power_sample,77,W2_wifi_idle_quiet_ctrl_v2,9454508,5.015000,5.647500,64.293121,324.885498,-29,0,0,-1
power_sample,78,W2_wifi_idle_quiet_ctrl_v2,9554518,5.017500,6.457500,63.902290,324.885498,-28,0,0,-1
power_sample,79,W2_wifi_idle_quiet_ctrl_v2,9654531,5.016250,5.125000,64.293121,324.885498,-28,0,0,-1
power_sample,80,W2_wifi_idle_quiet_ctrl_v2,9754565,4.807500,12.770000,146.858002,703.511414,-29,0,0,-1
power_sample,81,W2_wifi_idle_quiet_ctrl_v2,9854496,5.017500,6.025000,63.804573,305.343506,-29,0,0,-1
power_sample,82,W2_wifi_idle_quiet_ctrl_v2,9954459,5.016250,5.187500,64.293121,324.885498,-29,0,0,-1
power_sample,83,W2_wifi_idle_quiet_ctrl_v2,10054508,5.017500,5.005000,63.804573,320.000000,-28,0,0,-1
power_sample,84,W2_wifi_idle_quiet_ctrl_v2,10154459,5.017500,5.675000,63.804573,320.000000,-28,0,0,-1
power_sample,85,W2_wifi_idle_quiet_ctrl_v2,10254475,5.017500,6.420000,63.804573,324.885498,-28,0,0,-1
power_sample,86,W2_wifi_idle_quiet_ctrl_v2,10354485,5.017500,5.145000,63.999996,320.000000,-28,0,0,-1
power_sample,87,W2_wifi_idle_quiet_ctrl_v2,10454520,5.016250,5.432500,63.902290,320.000000,-29,0,0,-1
power_sample,88,W2_wifi_idle_quiet_ctrl_v2,10554540,5.017500,6.322500,63.804573,320.000000,-29,0,0,-1
power_sample,89,W2_wifi_idle_quiet_ctrl_v2,10654533,5.017500,5.075000,64.097710,324.885498,-28,0,0,-1
power_sample,90,W2_wifi_idle_quiet_ctrl_v2,10754540,4.820000,10.122499,139.041214,669.312927,-29,0,0,-1
power_sample,91,W2_wifi_idle_quiet_ctrl_v2,10854454,5.017500,5.790000,63.804573,320.000000,-29,0,0,-1
power_sample,92,W2_wifi_idle_quiet_ctrl_v2,10954485,5.016250,5.120000,63.902290,320.000000,-28,0,0,-1
power_sample,93,W2_wifi_idle_quiet_ctrl_v2,11054500,5.021250,5.130000,63.902290,320.000000,-29,0,0,-1
power_sample,94,W2_wifi_idle_quiet_ctrl_v2,11154515,5.016250,5.652500,63.804573,320.000000,-28,0,0,-1
