type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,5000054,-39
event,2,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,10000088,-39
event,3,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,15000088,-39
event,4,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,20000088,-41
event,5,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,25000053,-39
event,6,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,30000073,-28
event,7,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,35000083,-24
event,8,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,40000037,-29
event,9,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,45000037,-29
event,10,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,50000037,-31
event,11,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,55000088,-26
event,12,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,60000016,-27
event,13,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,65000053,-28
event,14,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,70000016,-27
event,15,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,75000031,-28
event,16,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,80000037,-27
event,17,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,85000053,-25
event,18,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,90000043,-27
event,19,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,95000088,-27
event,20,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,100000071,-26
event,21,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,105000088,-26
event,22,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,110000053,-26
event,23,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,115000071,-26
event,24,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,120000053,-27
event,25,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,125000030,-27
event,26,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,130000043,-27
event,27,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,135000013,-27
event,28,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,140000037,-27
event,29,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,145000016,-33
event,30,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,150000088,-27
event,31,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,155000071,-27
event,32,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,160000088,-26
event,33,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,165000016,-26
event,34,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,170000053,-26
event,35,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,175000083,-26
event,36,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,180000053,-26
event,37,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,185000037,-25
event,38,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,190000037,-27
event,39,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,195000071,-27
event,40,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,200000071,-27
event,41,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,205000016,-27
event,42,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,210000019,-27
event,43,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,215000056,-27
event,44,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,220000063,-27
event,45,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,225000063,-27
event,46,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,230000053,-27
event,47,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,235000037,-26
event,48,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,240000088,-26
event,49,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,245000088,-26
event,50,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,250000053,-26
event,51,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,255000053,-25
event,52,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,260000016,-25
event,53,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,265000019,-26
event,54,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,270000030,-26
event,55,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,275000021,-26
event,56,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,280000013,-26
event,57,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,285000013,-26
event,58,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,290000076,-26
event,59,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,295000001,-25
event,60,W2_wifi_periodic_5s_quiet_ctrl_v2,periodic,300000038,-26
