type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_5s_quiet_ctrl_v2,2286285,5.080000,5.087500,44.067173,224.732819,-29,0,0,-1
power_sample,2,W2_wifi_periodic_5s_quiet_ctrl_v2,2385500,5.042500,5.095000,64.293121,324.885498,-36,0,0,-1
power_sample,3,W2_wifi_periodic_5s_quiet_ctrl_v2,2485439,5.046250,5.372500,64.293121,324.885498,-29,0,0,-1
power_sample,4,W2_wifi_periodic_5s_quiet_ctrl_v2,2585413,5.045000,6.112500,64.293121,312.671753,-28,0,0,-1
power_sample,5,W2_wifi_periodic_5s_quiet_ctrl_v2,2685464,4.878750,12.422500,144.122131,703.511414,-28,0,0,-1
power_sample,6,W2_wifi_periodic_5s_quiet_ctrl_v2,2785416,5.045000,4.892500,64.293121,324.885498,-28,0,0,-1
power_sample,7,W2_wifi_periodic_5s_quiet_ctrl_v2,2885449,5.043750,5.737500,64.293121,324.885498,-36,0,0,-1
power_sample,8,W2_wifi_periodic_5s_quiet_ctrl_v2,2985476,5.043750,10.635000,64.293121,324.885498,-29,0,0,-1
power_sample,9,W2_wifi_periodic_5s_quiet_ctrl_v2,3085415,4.868750,13.410000,147.541992,720.610657,-36,0,0,-1
power_sample,10,W2_wifi_periodic_5s_quiet_ctrl_v2,3185477,5.045000,5.520000,64.586258,324.885498,-36,0,0,-1
power_sample,11,W2_wifi_periodic_5s_quiet_ctrl_v2,3285438,5.045000,6.265000,64.293121,315.114502,-28,0,0,-1
power_sample,12,W2_wifi_periodic_5s_quiet_ctrl_v2,3385470,5.043750,5.017500,64.293121,324.885498,-36,0,0,-1
power_sample,13,W2_wifi_periodic_5s_quiet_ctrl_v2,3485476,5.045000,5.032500,64.293121,324.885498,-29,0,0,-1
power_sample,14,W2_wifi_periodic_5s_quiet_ctrl_v2,3585477,5.045000,5.867500,64.293121,324.885498,-29,0,0,-1
power_sample,15,W2_wifi_periodic_5s_quiet_ctrl_v2,3685422,4.903750,5.047500,143.047318,327.328247,-36,0,0,-1
power_sample,16,W2_wifi_periodic_5s_quiet_ctrl_v2,3785488,5.048750,5.085000,64.293121,324.885498,-36,0,0,-1
power_sample,17,W2_wifi_periodic_5s_quiet_ctrl_v2,3885431,5.045000,5.590000,64.293121,324.885498,-35,0,0,-1
power_sample,18,W2_wifi_periodic_5s_quiet_ctrl_v2,3985458,5.045000,8.724999,64.293121,427.480896,-35,0,0,-1
power_sample,19,W2_wifi_periodic_5s_quiet_ctrl_v2,4085429,4.870000,13.349999,147.639694,720.610657,-29,0,0,-1
power_sample,20,W2_wifi_periodic_5s_quiet_ctrl_v2,4185413,5.045000,5.075000,64.390839,324.885498,-28,0,0,-1
power_sample,21,W2_wifi_periodic_5s_quiet_ctrl_v2,4285457,5.045000,6.000000,64.390839,305.343506,-29,0,0,-1
power_sample,22,W2_wifi_periodic_5s_quiet_ctrl_v2,4385416,5.043750,5.060000,64.390839,324.885498,-29,0,0,-1
power_sample,23,W2_wifi_periodic_5s_quiet_ctrl_v2,4485488,5.046250,5.057500,64.195419,324.885498,-36,0,0,-1
power_sample,24,W2_wifi_periodic_5s_quiet_ctrl_v2,4585413,5.043750,5.680000,64.390839,324.885498,-35,0,0,-1
power_sample,25,W2_wifi_periodic_5s_quiet_ctrl_v2,4685474,5.038750,6.440000,72.305336,327.328247,-29,0,0,-1
power_sample,26,W2_wifi_periodic_5s_quiet_ctrl_v2,4785488,5.045000,5.157500,64.390839,324.885498,-36,0,0,-1
power_sample,27,W2_wifi_periodic_5s_quiet_ctrl_v2,4885429,5.043750,5.287500,64.390839,324.885498,-35,0,0,-1
power_sample,28,W2_wifi_periodic_5s_quiet_ctrl_v2,4985458,4.903750,14.452499,65.661064,708.396912,-29,0,0,-1
power_sample,29,W2_wifi_periodic_5s_quiet_ctrl_v2,5085458,5.045000,5.055000,64.390839,324.885498,-28,1,5000013,85445
power_sample,30,W2_wifi_periodic_5s_quiet_ctrl_v2,5185452,5.045000,4.925000,64.390839,324.885498,-35,1,5000013,185439
power_sample,31,W2_wifi_periodic_5s_quiet_ctrl_v2,5285496,5.045000,5.757500,64.390839,324.885498,-28,1,5000013,285483
power_sample,32,W2_wifi_periodic_5s_quiet_ctrl_v2,5385488,5.043750,5.155000,64.390839,327.328247,-28,1,5000013,385475
power_sample,33,W2_wifi_periodic_5s_quiet_ctrl_v2,5485470,5.045000,5.122500,64.390839,324.885498,-36,1,5000013,485457
power_sample,34,W2_wifi_periodic_5s_quiet_ctrl_v2,5585420,5.045000,5.395000,64.390839,324.885498,-35,1,5000013,585407
power_sample,35,W2_wifi_periodic_5s_quiet_ctrl_v2,5685433,5.042500,6.177500,64.390839,312.671753,-28,1,5000013,685420
power_sample,36,W2_wifi_periodic_5s_quiet_ctrl_v2,5785457,5.045000,4.887500,64.586258,327.328247,-34,1,5000013,785444
power_sample,37,W2_wifi_periodic_5s_quiet_ctrl_v2,5885488,5.043750,5.020000,64.390839,324.885498,-28,1,5000013,885475
power_sample,38,W2_wifi_periodic_5s_quiet_ctrl_v2,5985502,4.872500,13.422500,147.444260,720.610657,-29,1,5000013,985489
power_sample,39,W2_wifi_periodic_5s_quiet_ctrl_v2,6085470,5.043750,5.067500,64.390839,327.328247,-35,1,5000013,1085457
power_sample,40,W2_wifi_periodic_5s_quiet_ctrl_v2,6185476,5.048750,5.022500,64.390839,324.885498,-29,1,5000013,1185463
power_sample,41,W2_wifi_periodic_5s_quiet_ctrl_v2,6285496,5.045000,5.632500,64.586258,324.885498,-28,1,5000013,1285483
power_sample,42,W2_wifi_periodic_5s_quiet_ctrl_v2,6385417,5.045000,6.282500,64.390839,320.000000,-35,1,5000013,1385404
power_sample,43,W2_wifi_periodic_5s_quiet_ctrl_v2,6485422,5.043750,4.982500,64.390839,324.885498,-35,1,5000013,1485409
power_sample,44,W2_wifi_periodic_5s_quiet_ctrl_v2,6585412,5.045000,5.025000,64.390839,324.885498,-29,1,5000013,1585399
power_sample,45,W2_wifi_periodic_5s_quiet_ctrl_v2,6685450,5.042500,5.877500,64.390839,324.885498,-28,1,5000013,1685437
power_sample,46,W2_wifi_periodic_5s_quiet_ctrl_v2,6785488,5.043750,5.122500,64.488548,327.328247,-28,1,5000013,1785475
power_sample,47,W2_wifi_periodic_5s_quiet_ctrl_v2,6885496,5.046250,5.152500,64.390839,324.885498,-36,1,5000013,1885483
power_sample,48,W2_wifi_periodic_5s_quiet_ctrl_v2,6985415,4.870000,13.860000,148.128235,720.610657,-28,1,5000013,1985402
power_sample,49,W2_wifi_periodic_5s_quiet_ctrl_v2,7085422,5.043750,6.415000,64.390839,324.885498,-36,1,5000013,2085409
power_sample,50,W2_wifi_periodic_5s_quiet_ctrl_v2,7185494,5.045000,5.105000,64.488548,324.885498,-28,1,5000013,2185481
power_sample,51,W2_wifi_periodic_5s_quiet_ctrl_v2,7285470,5.045000,5.210000,64.390839,324.885498,-35,1,5000013,2285457
power_sample,52,W2_wifi_periodic_5s_quiet_ctrl_v2,7385488,5.043750,6.110000,64.390839,307.786255,-35,1,5000013,2385475
power_sample,53,W2_wifi_periodic_5s_quiet_ctrl_v2,7485488,5.045000,5.162500,64.488548,327.328247,-35,1,5000013,2485475
power_sample,54,W2_wifi_periodic_5s_quiet_ctrl_v2,7585429,5.045000,5.155000,64.195419,324.885498,-28,1,5000013,2585416
power_sample,55,W2_wifi_periodic_5s_quiet_ctrl_v2,7685488,5.043750,5.662500,64.390839,324.885498,-36,1,5000013,2685475
power_sample,56,W2_wifi_periodic_5s_quiet_ctrl_v2,7785429,5.043750,6.452500,64.390839,327.328247,-28,1,5000013,2785416
power_sample,57,W2_wifi_periodic_5s_quiet_ctrl_v2,7885458,5.045000,5.182500,64.390839,324.885498,-29,1,5000013,2885445
power_sample,58,W2_wifi_periodic_5s_quiet_ctrl_v2,7985412,4.946250,5.325000,142.851898,708.396912,-35,1,5000013,2985399
power_sample,59,W2_wifi_periodic_5s_quiet_ctrl_v2,8085452,5.045000,6.150000,64.195419,312.671753,-29,1,5000013,3085439
power_sample,60,W2_wifi_periodic_5s_quiet_ctrl_v2,8185438,5.043750,5.100000,64.488548,327.328247,-28,1,5000013,3185425
power_sample,61,W2_wifi_periodic_5s_quiet_ctrl_v2,8285503,5.045000,9.862500,64.390839,324.885498,-29,1,5000013,3285490
power_sample,62,W2_wifi_periodic_5s_quiet_ctrl_v2,8385415,5.043750,5.690000,64.488548,324.885498,-36,1,5000013,3385402
power_sample,63,W2_wifi_periodic_5s_quiet_ctrl_v2,8485496,5.045000,5.180000,64.390839,327.328247,-35,1,5000013,3485483
