type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,1869984,-25
event,2,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,2368986,-25
event,3,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,2868988,-26
event,4,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,3368994,-25
event,5,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,3868990,-26
event,6,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,4369032,-26
event,7,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,4868991,-26
event,8,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,5369023,-27
event,9,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,5868977,-26
event,10,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,6369016,-26
event,11,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,6868980,-26
event,12,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,7369033,-32
event,13,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,7869013,-27
event,14,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,8368581,-26
event,15,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,8869010,-26
event,16,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,9368629,-26
event,17,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,9869043,-26
event,18,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,10368631,-26
event,19,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,10869010,-26
event,20,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,11369075,-26
event,21,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,11869020,-23
event,22,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,12369041,-25
event,23,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,12869020,-28
