type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_500ms_quiet_telemetry_v2,1857325,5.087500,5.177500,45.825951,232.061066,-25,0,0,-1
power_sample,2,W2_wifi_periodic_500ms_quiet_telemetry_v2,1956411,5.047500,5.215000,65.856483,332.213715,-25,1,1869984,86427
power_sample,3,W2_wifi_periodic_500ms_quiet_telemetry_v2,2056452,4.880000,13.387500,149.105347,727.938904,-26,1,1869984,186468
power_sample,4,W2_wifi_periodic_500ms_quiet_telemetry_v2,2156411,5.037500,5.857500,117.838158,591.145020,-26,1,1869984,286427
power_sample,5,W2_wifi_periodic_500ms_quiet_telemetry_v2,2256459,5.047500,5.235000,66.149612,332.213715,-25,1,1869984,386475
power_sample,6,W2_wifi_periodic_500ms_quiet_telemetry_v2,2356411,5.047500,5.260000,65.661064,332.213715,-25,1,1869984,486427
power_sample,7,W2_wifi_periodic_500ms_quiet_telemetry_v2,2456416,4.998750,13.912499,65.856483,327.328247,-26,2,2368986,87430
power_sample,8,W2_wifi_periodic_500ms_quiet_telemetry_v2,2556434,5.050000,6.435000,66.051910,327.328247,-26,2,2368986,187448
power_sample,9,W2_wifi_periodic_500ms_quiet_telemetry_v2,2656466,5.047500,5.197500,65.563362,332.213715,-25,2,2368986,287480
power_sample,10,W2_wifi_periodic_500ms_quiet_telemetry_v2,2756459,5.048750,5.252500,65.758774,332.213715,-25,2,2368986,387473
power_sample,11,W2_wifi_periodic_500ms_quiet_telemetry_v2,2856417,5.048750,5.992500,66.247322,337.099213,-26,2,2368986,487431
power_sample,12,W2_wifi_periodic_500ms_quiet_telemetry_v2,2956446,5.048750,5.197500,65.563362,332.213715,-26,3,2868988,87458
power_sample,13,W2_wifi_periodic_500ms_quiet_telemetry_v2,3056459,4.883750,13.642500,149.105347,727.938904,-26,3,2868988,187471
power_sample,14,W2_wifi_periodic_500ms_quiet_telemetry_v2,3156408,5.008750,5.802500,145.392365,727.938904,-26,3,2868988,287420
power_sample,15,W2_wifi_periodic_500ms_quiet_telemetry_v2,3256466,5.048750,6.567500,66.149612,332.213715,-26,3,2868988,387478
power_sample,16,W2_wifi_periodic_500ms_quiet_telemetry_v2,3356424,5.048750,5.237500,65.758774,332.213715,-25,3,2868988,487436
power_sample,17,W2_wifi_periodic_500ms_quiet_telemetry_v2,3456408,4.886250,13.485000,144.415253,703.511414,-26,4,3368994,87414
power_sample,18,W2_wifi_periodic_500ms_quiet_telemetry_v2,3556446,5.048750,6.265000,66.051910,315.114502,-26,4,3368994,187452
power_sample,19,W2_wifi_periodic_500ms_quiet_telemetry_v2,3656480,5.047500,5.152500,65.856483,332.213715,-26,4,3368994,287486
power_sample,20,W2_wifi_periodic_500ms_quiet_telemetry_v2,3756466,5.047500,5.057500,66.149612,332.213715,-26,4,3368994,387472
power_sample,21,W2_wifi_periodic_500ms_quiet_telemetry_v2,3856417,5.047500,5.780000,66.051910,332.213715,-26,4,3368994,487423
power_sample,22,W2_wifi_periodic_500ms_quiet_telemetry_v2,3956407,5.047500,6.590000,65.856483,332.213715,-26,5,3868990,87417
power_sample,23,W2_wifi_periodic_500ms_quiet_telemetry_v2,4056490,4.885000,13.542500,149.593887,732.824463,-26,5,3868990,187500
