type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,2270007,-27
event,2,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,2769003,-25
event,3,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,3269042,-25
event,4,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,3769080,-25
event,5,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,4269111,-27
event,6,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,4769057,-25
event,7,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,5269032,-27
event,8,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,5769069,-27
event,9,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,6269046,-27
event,10,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,6769048,-27
event,11,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,7269140,-26
event,12,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,7769018,-25
event,13,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,8269074,-27
event,14,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,8769082,-27
event,15,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,9269023,-26
event,16,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,9769084,-24
event,17,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,10269042,-23
event,18,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,10769055,-29
event,19,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,11269080,-28
event,20,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,11769053,-28
event,21,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,12269045,-26
event,22,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,12769119,-25
event,23,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,13269121,-27
event,24,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,13769058,-37
event,25,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,14269073,-37
event,26,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,14769052,-29
event,27,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,15269092,-29
event,28,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,15769108,-26
event,29,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,16269088,-29
event,30,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,16769070,-29
event,31,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,17269056,-27
event,32,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,17769048,-29
event,33,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,18269047,-36
event,34,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,18769131,-36
event,35,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,19269115,-28
event,36,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,19769145,-28
event,37,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,20269121,-28
event,38,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,20768638,-35
event,39,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,21269072,-30
event,40,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,21768700,-30
event,41,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,22269094,-36
event,42,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,22768700,-28
event,43,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,23269056,-28
event,44,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,23769053,-28
event,45,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,24269091,-30
event,46,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,24769077,-30
event,47,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,25269054,-35
event,48,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,25769103,-29
event,49,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,26269042,-28
event,50,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,26769042,-30
event,51,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,27269106,-28
event,52,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,27769102,-28
event,53,W2_wifi_periodic_500ms_quiet_telemetry_v2,periodic,28269092,-29
