type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_500ms_quiet_telemetry_v2,2257337,5.082500,5.162500,46.119083,236.946564,-27,0,0,-1
power_sample,2,W2_wifi_periodic_500ms_quiet_telemetry_v2,2356534,4.885000,13.497499,149.593887,732.824463,-27,1,2270007,86527
power_sample,3,W2_wifi_periodic_500ms_quiet_telemetry_v2,2456428,5.047500,5.550000,66.247322,337.099213,-28,1,2270007,186421
power_sample,4,W2_wifi_periodic_500ms_quiet_telemetry_v2,2556504,5.047500,6.515000,65.758774,332.213715,-26,1,2270007,286497
power_sample,5,W2_wifi_periodic_500ms_quiet_telemetry_v2,2656503,5.047500,5.137500,66.051910,337.099213,-25,1,2270007,386496
power_sample,6,W2_wifi_periodic_500ms_quiet_telemetry_v2,2756423,5.047500,5.047500,65.856483,332.213715,-25,1,2270007,486416
power_sample,7,W2_wifi_periodic_500ms_quiet_telemetry_v2,2856511,5.048750,6.027500,65.758774,332.213715,-27,2,2769003,87508
power_sample,8,W2_wifi_periodic_500ms_quiet_telemetry_v2,2956527,4.887500,7.462500,148.909912,696.183228,-26,2,2769003,187524
power_sample,9,W2_wifi_periodic_500ms_quiet_telemetry_v2,3056449,4.885000,13.087500,149.300751,727.938904,-26,2,2769003,287446
power_sample,10,W2_wifi_periodic_500ms_quiet_telemetry_v2,3156443,5.048750,5.697500,65.758774,332.213715,-25,2,2769003,387440
power_sample,11,W2_wifi_periodic_500ms_quiet_telemetry_v2,3256457,5.047500,6.492500,65.367935,327.328247,-25,2,2769003,487454
power_sample,12,W2_wifi_periodic_500ms_quiet_telemetry_v2,3356518,5.048750,5.222500,65.954193,332.213715,-26,3,3269042,87476
power_sample,13,W2_wifi_periodic_500ms_quiet_telemetry_v2,3456477,5.047500,5.280000,65.758774,332.213715,-27,3,3269042,187435
power_sample,14,W2_wifi_periodic_500ms_quiet_telemetry_v2,3556458,5.048750,6.035000,65.367935,327.328247,-27,3,3269042,287416
power_sample,15,W2_wifi_periodic_500ms_quiet_telemetry_v2,3656489,4.880000,13.594999,149.691589,732.824463,-27,3,3269042,387447
power_sample,16,W2_wifi_periodic_500ms_quiet_telemetry_v2,3756504,5.051250,5.297500,65.758774,332.213715,-25,3,3269042,487462
power_sample,17,W2_wifi_periodic_500ms_quiet_telemetry_v2,3856489,5.047500,5.840000,65.465645,332.213715,-26,4,3769080,87409
power_sample,18,W2_wifi_periodic_500ms_quiet_telemetry_v2,3956458,4.898750,11.870000,140.506866,600.916016,-26,4,3769080,187378
