pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1776405587143826000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,1,periodic,7000044,-38,,,,,,,0,0.3.0
1776405594140918000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,2,periodic,14000030,-39,,,,,,,0,0.3.0
1776405601139012000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,3,periodic,21000079,-28,,,,,,,0,0.3.0
1776405608139786000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,4,periodic,28000079,-28,,,,,,,0,0.3.0
1776405615140745000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,5,periodic,35000053,-28,,,,,,,0,0.3.0
1776405622138857000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,6,periodic,42000079,-28,,,,,,,0,0.3.0
1776405629139174000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,7,periodic,49000079,-29,,,,,,,0,0.3.0
1776405636146813000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,8,periodic,56000009,-35,,,,,,,0,0.3.0
1776405643139600000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,9,periodic,63000053,-28,,,,,,,0,0.3.0
1776405650139637000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,10,periodic,70000089,-29,,,,,,,0,0.3.0
1776405658090539000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,11,periodic,77000008,-29,,,,,,,0,0.3.0
1776405664139597000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,12,periodic,84000044,-36,,,,,,,0,0.3.0
1776405671143322000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,13,periodic,91000017,-28,,,,,,,0,0.3.0
1776405678139890000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,14,periodic,98000067,-36,,,,,,,0,0.3.0
1776405685148648000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,15,periodic,105000053,-28,,,,,,,0,0.3.0
1776405692140238000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,16,periodic,112000019,-29,,,,,,,0,0.3.0
