type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_7s_quiet_ctrl_v2,1861329,5.093750,4.910000,44.360302,224.732819,-35,0,0,-1
power_sample,2,W2_wifi_periodic_7s_quiet_ctrl_v2,1960501,5.050000,5.685000,64.293121,324.885498,-28,0,0,-1
power_sample,3,W2_wifi_periodic_7s_quiet_ctrl_v2,2060463,4.878750,14.580000,139.138916,715.725159,-28,0,0,-1
power_sample,4,W2_wifi_periodic_7s_quiet_ctrl_v2,2160410,5.051250,5.095000,64.293121,324.885498,-33,0,0,-1
power_sample,5,W2_wifi_periodic_7s_quiet_ctrl_v2,2260485,5.051250,5.302500,64.293121,324.885498,-28,0,0,-1
power_sample,6,W2_wifi_periodic_7s_quiet_ctrl_v2,2360456,5.051250,7.047500,64.195419,349.312958,-25,0,0,-1
power_sample,7,W2_wifi_periodic_7s_quiet_ctrl_v2,2460469,5.050000,5.135000,64.293121,324.885498,-25,0,0,-1
power_sample,8,W2_wifi_periodic_7s_quiet_ctrl_v2,2560439,5.053750,5.085000,64.293121,324.885498,-25,0,0,-1
power_sample,9,W2_wifi_periodic_7s_quiet_ctrl_v2,2660469,5.051250,5.662500,64.293121,324.885498,-28,0,0,-1
power_sample,10,W2_wifi_periodic_7s_quiet_ctrl_v2,2760410,5.051250,6.427500,64.293121,327.328247,-25,0,0,-1
power_sample,11,W2_wifi_periodic_7s_quiet_ctrl_v2,2860444,5.051250,5.160000,64.293121,324.885498,-29,0,0,-1
power_sample,12,W2_wifi_periodic_7s_quiet_ctrl_v2,2960495,5.051250,5.415000,64.293121,324.885498,-28,0,0,-1
power_sample,13,W2_wifi_periodic_7s_quiet_ctrl_v2,3060456,4.867500,14.577499,143.047318,715.725159,-35,0,0,-1
power_sample,14,W2_wifi_periodic_7s_quiet_ctrl_v2,3160423,5.051250,5.005000,64.586258,327.328247,-26,0,0,-1
power_sample,15,W2_wifi_periodic_7s_quiet_ctrl_v2,3260469,5.050000,4.980000,64.390839,324.885498,-28,0,0,-1
power_sample,16,W2_wifi_periodic_7s_quiet_ctrl_v2,3360463,4.952500,13.870000,64.293121,320.000000,-28,0,0,-1
power_sample,17,W2_wifi_periodic_7s_quiet_ctrl_v2,3460421,5.050000,5.175000,64.488548,327.328247,-26,0,0,-1
power_sample,18,W2_wifi_periodic_7s_quiet_ctrl_v2,3560495,5.055000,5.072500,64.293121,324.885498,-28,0,0,-1
power_sample,19,W2_wifi_periodic_7s_quiet_ctrl_v2,3660494,5.051250,5.640000,64.293121,324.885498,-26,0,0,-1
power_sample,20,W2_wifi_periodic_7s_quiet_ctrl_v2,3760445,5.050000,6.342500,64.390839,320.000000,-27,0,0,-1
power_sample,21,W2_wifi_periodic_7s_quiet_ctrl_v2,3860485,5.051250,5.095000,64.293121,324.885498,-26,0,0,-1
power_sample,22,W2_wifi_periodic_7s_quiet_ctrl_v2,3960439,5.050000,5.110000,64.390839,324.885498,-29,0,0,-1
power_sample,23,W2_wifi_periodic_7s_quiet_ctrl_v2,4060469,4.877500,14.307500,147.835098,701.068726,-29,0,0,-1
power_sample,24,W2_wifi_periodic_7s_quiet_ctrl_v2,4160470,5.050000,5.142500,64.390839,327.328247,-26,0,0,-1
power_sample,25,W2_wifi_periodic_7s_quiet_ctrl_v2,4260456,5.052500,5.167500,64.195419,324.885498,-29,0,0,-1
power_sample,26,W2_wifi_periodic_7s_quiet_ctrl_v2,4360457,4.882500,13.547500,147.835098,720.610657,-29,0,0,-1
power_sample,27,W2_wifi_periodic_7s_quiet_ctrl_v2,4460469,5.051250,6.437500,64.390839,327.328247,-27,0,0,-1
power_sample,28,W2_wifi_periodic_7s_quiet_ctrl_v2,4560439,5.051250,5.157500,64.390839,324.885498,-29,0,0,-1
power_sample,29,W2_wifi_periodic_7s_quiet_ctrl_v2,4660456,5.051250,5.347500,64.390839,324.885498,-26,0,0,-1
power_sample,30,W2_wifi_periodic_7s_quiet_ctrl_v2,4760486,5.050000,6.145000,64.293121,312.671753,-26,0,0,-1
power_sample,31,W2_wifi_periodic_7s_quiet_ctrl_v2,4860437,5.051250,5.152500,64.488548,327.328247,-26,0,0,-1
power_sample,32,W2_wifi_periodic_7s_quiet_ctrl_v2,4960495,5.051250,4.930000,64.293121,324.885498,-29,0,0,-1
power_sample,33,W2_wifi_periodic_7s_quiet_ctrl_v2,5060469,5.051250,5.737500,64.390839,324.885498,-27,0,0,-1
power_sample,34,W2_wifi_periodic_7s_quiet_ctrl_v2,5160410,5.051250,6.440000,64.390839,327.328247,-29,0,0,-1
power_sample,35,W2_wifi_periodic_7s_quiet_ctrl_v2,5260485,5.051250,5.110000,64.390839,324.885498,-26,0,0,-1
power_sample,36,W2_wifi_periodic_7s_quiet_ctrl_v2,5360511,4.895000,13.035000,146.564865,715.725159,-27,0,0,-1
power_sample,37,W2_wifi_periodic_7s_quiet_ctrl_v2,5460421,5.052500,6.195000,64.390839,315.114502,-27,0,0,-1
power_sample,38,W2_wifi_periodic_7s_quiet_ctrl_v2,5560470,5.050000,5.017500,64.390839,324.885498,-35,0,0,-1
power_sample,39,W2_wifi_periodic_7s_quiet_ctrl_v2,5660409,5.050000,4.957500,64.390839,324.885498,-29,0,0,-1
power_sample,40,W2_wifi_periodic_7s_quiet_ctrl_v2,5760445,5.051250,5.820000,64.390839,324.885498,-27,0,0,-1
power_sample,41,W2_wifi_periodic_7s_quiet_ctrl_v2,5860485,5.050000,5.105000,64.586258,327.328247,-27,0,0,-1
power_sample,42,W2_wifi_periodic_7s_quiet_ctrl_v2,5960410,5.056250,5.072500,64.390839,324.885498,-29,0,0,-1
power_sample,43,W2_wifi_periodic_7s_quiet_ctrl_v2,6060494,5.051250,5.722500,64.390839,324.885498,-27,0,0,-1
power_sample,44,W2_wifi_periodic_7s_quiet_ctrl_v2,6160486,5.050000,6.437500,64.390839,327.328247,-29,0,0,-1
power_sample,45,W2_wifi_periodic_7s_quiet_ctrl_v2,6260469,5.051250,5.112500,64.390839,324.885498,-29,0,0,-1
power_sample,46,W2_wifi_periodic_7s_quiet_ctrl_v2,6360437,4.918750,5.182500,139.627472,688.854919,-27,0,0,-1
