type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,10000084,-46
event,2,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,20000072,-46
event,3,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,30000013,-46
event,4,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,40000013,-26
event,5,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,50000048,-35
event,6,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,60000023,-30
event,7,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,70000094,-29
event,8,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,80000010,-30
event,9,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,90000072,-30
event,10,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,100000072,-30
event,11,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,110000023,-30
event,12,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,120000013,-30
event,13,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,130000057,-30
event,14,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,140000023,-29
event,15,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,150000072,-30
event,16,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,160000034,-30
event,17,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,170000013,-30
event,18,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,180000048,-30
event,19,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,190000084,-30
event,20,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,200000084,-29
event,21,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,210000013,-30
event,22,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,220000013,-29
event,23,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,230000057,-30
event,24,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,240000084,-29
event,25,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,250000084,-29
event,26,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,260000094,-29
event,27,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,270000067,-30
event,28,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,280000023,-30
event,29,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,290000084,-29
event,30,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,300000057,-30
event,31,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,310000049,-30
event,32,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,320000077,-29
event,33,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,330000049,-30
event,34,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,340000072,-29
event,35,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,350000049,-30
event,36,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,360000072,-30
event,37,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,370000064,-29
event,38,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,380000049,-35
event,39,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,390000035,-30
event,40,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,400000035,-30
event,41,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,410000057,-29
event,42,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,420000013,-30
event,43,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,430000094,-30
event,44,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,440000035,-30
event,45,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,450000023,-30
event,46,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,460000049,-29
event,47,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,470000057,-35
event,48,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,480000013,-30
event,49,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,490000057,-30
event,50,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,500000035,-30
event,51,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,510000042,-29
event,52,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,520000013,-30
event,53,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,530000049,-29
event,54,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,540000094,-35
event,55,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,550000057,-30
event,56,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,560000077,-29
event,57,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,570000013,-30
event,58,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,580000094,-30
event,59,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,590000094,-30
event,60,W2_wifi_periodic_10s_quiet_telemetry_v2,periodic,600000023,-30
