type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_4s_quiet_telemetry_v2,1914342,5.087500,5.312500,45.532822,232.061066,-41,0,0,-1
power_sample,2,W2_wifi_periodic_4s_quiet_telemetry_v2,2013439,5.027500,5.097500,65.270226,327.328247,-46,0,0,-1
power_sample,3,W2_wifi_periodic_4s_quiet_telemetry_v2,2113423,5.045000,5.155000,65.074806,327.328247,-42,0,0,-1
power_sample,4,W2_wifi_periodic_4s_quiet_telemetry_v2,2213443,5.043750,5.955000,64.977097,327.328247,-41,0,0,-1
power_sample,5,W2_wifi_periodic_4s_quiet_telemetry_v2,2313442,5.045000,5.185000,64.977097,332.213715,-46,0,0,-1
power_sample,6,W2_wifi_periodic_4s_quiet_telemetry_v2,2413506,5.047500,5.277500,64.977097,327.328247,-41,0,0,-1
power_sample,7,W2_wifi_periodic_4s_quiet_telemetry_v2,2513430,5.046250,5.727500,64.977097,327.328247,-47,0,0,-1
power_sample,8,W2_wifi_periodic_4s_quiet_telemetry_v2,2613435,5.045000,6.505000,64.977097,327.328247,-46,0,0,-1
power_sample,9,W2_wifi_periodic_4s_quiet_telemetry_v2,2713434,5.046250,5.235000,65.074806,327.328247,-48,0,0,-1
power_sample,10,W2_wifi_periodic_4s_quiet_telemetry_v2,2813491,4.880000,8.702499,143.926712,701.068726,-41,0,0,-1
power_sample,11,W2_wifi_periodic_4s_quiet_telemetry_v2,2913506,5.045000,6.182500,64.879387,312.671753,-46,0,0,-1
power_sample,12,W2_wifi_periodic_4s_quiet_telemetry_v2,3013431,5.046250,5.252500,64.977097,327.328247,-42,0,0,-1
power_sample,13,W2_wifi_periodic_4s_quiet_telemetry_v2,3113459,5.046250,5.237500,65.074806,327.328247,-41,0,0,-1
power_sample,14,W2_wifi_periodic_4s_quiet_telemetry_v2,3213424,5.046250,5.802500,64.977097,327.328247,-41,0,0,-1
power_sample,15,W2_wifi_periodic_4s_quiet_telemetry_v2,3313443,5.045000,6.517500,64.977097,332.213715,-46,0,0,-1
power_sample,16,W2_wifi_periodic_4s_quiet_telemetry_v2,3413461,5.045000,5.252500,64.977097,327.328247,-46,0,0,-1
power_sample,17,W2_wifi_periodic_4s_quiet_telemetry_v2,3513430,5.045000,5.425000,65.074806,327.328247,-41,0,0,-1
power_sample,18,W2_wifi_periodic_4s_quiet_telemetry_v2,3613419,5.045000,6.177500,64.977097,312.671753,-46,0,0,-1
