type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,8000777,-26
event,2,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,16001179,-26
event,3,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,24001106,-26
event,4,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,32001090,-26
event,5,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,40001139,-26
event,6,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,48001137,-26
event,7,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,56001051,-26
event,8,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,64001144,-26
event,9,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,72001103,-26
event,10,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,80001098,-26
event,11,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,88001073,-25
event,12,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,96001084,-26
event,13,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,104001082,-26
event,14,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,112001102,-26
event,15,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,120001178,-26
event,16,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,128001196,-26
event,17,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,136001135,-24
event,18,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,144001130,-26
event,19,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,152001083,-26
event,20,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,160001065,-26
event,21,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,168001158,-26
event,22,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,176001103,-25
event,23,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,184001150,-25
event,24,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,192001158,-26
event,25,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,200001080,-26
event,26,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,208001118,-26
event,27,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,216001174,-25
event,28,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,224001124,-26
event,29,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,232001198,-26
event,30,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,240001219,-26
event,31,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,248001081,-26
event,32,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,256001082,-26
event,33,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,264001182,-26
event,34,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,272001151,-25
event,35,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,280001168,-26
event,36,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,288001189,-26
event,37,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,296001003,-25
event,38,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,304001103,-26
event,39,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,312001121,-26
event,40,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,320001145,-26
event,41,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,328001179,-26
event,42,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,336001178,-25
event,43,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,344001065,-26
event,44,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,352001136,-26
event,45,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,360001142,-25
event,46,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,368001155,-26
event,47,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,376001159,-25
event,48,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,384001183,-26
event,49,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,392001023,-25
event,50,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,400001162,-26
event,51,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,408001174,-26
event,52,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,416001143,-25
event,53,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,424001143,-26
event,54,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,432001190,-25
event,55,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,440001080,-26
event,56,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,448001114,-27
event,57,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,456001169,-26
event,58,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,464001140,-26
event,59,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,472001204,-26
event,60,W2_wifi_periodic_8s_quiet_ctrl_v2,periodic,480001203,-26
