pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777126198292579000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,1,auto,5120067,-53,,,,,,,0,0.4.0
1777126198312108000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,1,,,,30063,,,,,,0,0.4.0
1777126201296024000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,2,auto,8132056,-53,,,,,,,0,0.4.0
1777126201315362000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,2,,,,22002,,,,,,0,0.4.0
1777126204442334000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,3,auto,11279033,-53,,,,,,,0,0.4.0
1777126204459991000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,3,,,,19054,,,,,,0,0.4.0
1777126207503414000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,4,auto,14331033,-53,,,,,,,0,0.4.0
1777126207518577000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,4,,,,27025,,,,,,0,0.4.0
1777126210308404000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,5,auto,17149018,-53,,,,,,,0,0.4.0
1777126210325394000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,5,,,,16038,,,,,,0,0.4.0
1777126213073074000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,6,auto,19912056,-51,,,,,,,0,0.4.0
1777126213090973000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,6,,,,17019,,,,,,0,0.4.0
1777126216152644000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,7,auto,22991025,-51,,,,,,,0,0.4.0
1777126216166046000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,7,,,,16031,,,,,,0,0.4.0
1777126218938177000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,8,auto,25779033,-52,,,,,,,0,0.4.0
1777126218949555000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,8,,,,13038,,,,,,0,0.4.0
1777126221955583000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,9,auto,28797074,-47,,,,,,,0,0.4.0
1777126221970252000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,9,,,,16254,,,,,,0,0.4.0
1777126225142278000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,10,auto,31984025,-47,,,,,,,0,0.4.0
1777126225153303000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,10,,,,12167,,,,,,0,0.4.0
1777126228065927000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,11,auto,34908081,-48,,,,,,,0,0.4.0
1777126228082014000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,11,,,,11993,,,,,,0,0.4.0
1777126230901010000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,12,auto,37743079,-48,,,,,,,0,0.4.0
1777126230916211000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,12,,,,11996,,,,,,0,0.4.0
1777126234085265000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,13,auto,40925041,-48,,,,,,,0,0.4.0
1777126234097165000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,13,,,,14059,,,,,,0,0.4.0
1777126237082270000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,14,auto,43921074,-48,,,,,,,0,0.4.0
1777126237096639000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,14,,,,18037,,,,,,0,0.4.0
1777126239946141000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,15,auto,46788060,-48,,,,,,,0,0.4.0
1777126239961134000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,15,,,,13014,,,,,,0,0.4.0
1777126242932133000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,16,auto,49774078,-49,,,,,,,0,0.4.0
1777126242943625000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,16,,,,11997,,,,,,0,0.4.0
1777126245700480000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,17,auto,52542081,-48,,,,,,,0,0.4.0
1777126245711482000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,17,,,,11999,,,,,,0,0.4.0
1777126248775859000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,18,auto,55616041,-49,,,,,,,0,0.4.0
1777126248790807000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,18,,,,15302,,,,,,0,0.4.0
1777126252009170000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,19,auto,58851093,-48,,,,,,,0,0.4.0
1777126252020743000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,19,,,,12020,,,,,,0,0.4.0
1777126254819068000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,20,auto,61659025,-50,,,,,,,0,0.4.0
1777126254832191000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,20,,,,14089,,,,,,0,0.4.0
1777126257791425000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,21,auto,64633093,-48,,,,,,,0,0.4.0
1777126257803175000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,21,,,,11982,,,,,,0,0.4.0
1777126260739378000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,22,auto,67581093,-48,,,,,,,0,0.4.0
1777126260762340000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,22,,,,22985,,,,,,0,0.4.0
1777126263929253000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,23,auto,70771089,-48,,,,,,,0,0.4.0
1777126263940934000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,23,,,,11986,,,,,,0,0.4.0
1777126267000971000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,24,auto,73841089,-44,,,,,,,0,0.4.0
1777126267013086000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,24,,,,13989,,,,,,0,0.4.0
1777126270090586000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,25,auto,76930018,-37,,,,,,,0,0.4.0
1777126270101959000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,25,,,,14166,,,,,,0,0.4.0
1777126273266219000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,26,auto,80108013,-29,,,,,,,0,0.4.0
1777126273279453000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,26,,,,12065,,,,,,0,0.4.0
1777126276383762000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,27,auto,83225060,-27,,,,,,,0,0.4.0
1777126276395566000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,27,,,,13271,,,,,,0,0.4.0
1777126279559176000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,28,auto,86401041,-29,,,,,,,0,0.4.0
1777126279571383000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,28,,,,12034,,,,,,0,0.4.0
1777126282605543000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,29,auto,89447080,-28,,,,,,,0,0.4.0
1777126282618276000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,29,,,,12998,,,,,,0,0.4.0
1777126285723440000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,30,auto,92565041,-29,,,,,,,0,0.4.0
1777126285746240000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,30,,,,21034,,,,,,0,0.4.0
1777126288954772000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,31,auto,95796047,-29,,,,,,,0,0.4.0
1777126288966792000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,31,,,,13031,,,,,,0,0.4.0
1777126291756485000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,32,auto,98598068,-29,,,,,,,0,0.4.0
1777126291776234000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,32,,,,12007,,,,,,0,0.4.0
1777126294952176000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,33,auto,101792089,-27,,,,,,,0,0.4.0
1777126294964048000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,33,,,,13985,,,,,,0,0.4.0
1777126298047107000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,34,auto,104887033,-29,,,,,,,0,0.4.0
1777126298060391000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,34,,,,14042,,,,,,0,0.4.0
1777126301094966000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_baseline,1009542261,35,auto,107928089,-29,,,,,,,0,0.4.0
1777126301111089000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_baseline,1009542261,35,,,,22154,,,,,,0,0.4.0
