pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777132609945957000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,12304883,9,auto,27854010,-49,,,,,,,0,0.4.0
1777132609963856000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,12304883,9,,,,14985,,,,,,0,0.4.0
1777132612749453000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,12304883,10,auto,30658010,-49,,,,,,,0,0.4.0
1777132612770286000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,12304883,10,,,,13960,,,,,,0,0.4.0
1777132618380610000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,1,auto,4899036,-51,,,,,,,0,0.4.0
1777132618403627000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,1,,,,19984,,,,,,0,0.4.0
1777132621612550000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,2,auto,8131089,-51,,,,,,,0,0.4.0
1777132621639981000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,2,,,,19885,,,,,,0,0.4.0
1777132624662755000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,3,auto,11180073,-49,,,,,,,0,0.4.0
1777132624677686000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,3,,,,14897,,,,,,0,0.4.0
1777132627623093000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,4,auto,14140014,-48,,,,,,,0,0.4.0
1777132627637003000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,4,,,,15960,,,,,,0,0.4.0
1777132630700247000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,5,auto,17219008,-48,,,,,,,0,0.4.0
1777132630711883000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,5,,,,11962,,,,,,0,0.4.0
1777132633555997000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,6,auto,20076089,-50,,,,,,,0,0.4.0
1777132633566466000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,6,,,,10946,,,,,,0,0.4.0
1777132636531717000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,7,auto,23050056,-48,,,,,,,0,0.4.0
1777132636546782000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,7,,,,13914,,,,,,0,0.4.0
1777132639471039000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,8,auto,25991075,-49,,,,,,,0,0.4.0
1777132639481703000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,8,,,,10909,,,,,,0,0.4.0
1777132642583989000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,9,auto,29104075,-47,,,,,,,0,0.4.0
1777132642603013000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,9,,,,16167,,,,,,0,0.4.0
1777132645377750000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,10,auto,31886070,-48,,,,,,,0,0.4.0
1777132645394458000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,10,,,,25953,,,,,,0,0.4.0
1777132648163626000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,11,auto,34681068,-49,,,,,,,0,0.4.0
1777132648184695000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,11,,,,19922,,,,,,0,0.4.0
