pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777135047042503000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1315871523,11,auto,34576060,-44,,,,,,,0,0.4.0
1777135047068271000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1315871523,11,,,,24980,,,,,,0,0.4.0
1777135049939148000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1315871523,12,auto,37473017,-44,,,,,,,0,0.4.0
1777135049952814000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1315871523,12,,,,13989,,,,,,0,0.4.0
1777135055979173000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,1,auto,4574022,-44,,,,,,,0,0.4.0
1777135055994370000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,1,,,,16021,,,,,,0,0.4.0
1777135059136264000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,2,auto,7719062,-44,,,,,,,0,0.4.0
1777135059149584000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,2,,,,23932,,,,,,0,0.4.0
1777135062131026000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,3,auto,10722090,-45,,,,,,,0,0.4.0
1777135062145171000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,3,,,,16013,,,,,,0,0.4.0
1777135064909656000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,4,auto,13503036,-30,,,,,,,0,0.4.0
1777135064922089000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,4,,,,13958,,,,,,0,0.4.0
1777135067936358000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,5,auto,16528090,-27,,,,,,,0,0.4.0
1777135067949309000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,5,,,,16929,,,,,,0,0.4.0
1777135070863465000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,6,auto,19459050,-26,,,,,,,0,0.4.0
1777135070874010000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,6,,,,10952,,,,,,0,0.4.0
1777135073709977000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,7,auto,22305090,-26,,,,,,,0,0.4.0
1777135073721146000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,7,,,,11901,,,,,,0,0.4.0
1777135078305317000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,8,auto,25543057,-26,,,,,,,0,0.4.0
1777135078318389000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,8,,,,1370937,,,,,,0,0.4.0
1777135080051425000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,9,auto,28644071,-27,,,,,,,0,0.4.0
