pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777135561614447000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_moderate,1956131037,8,auto,26220082,-46,,,,,,,0,0.4.0
1777135561628972000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_moderate,1956131037,8,,,,13018,,,,,,0,0.4.0
1777135564838039000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_moderate,1956131037,9,auto,29441095,-45,,,,,,,0,0.4.0
1777135564849262000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_moderate,1956131037,9,,,,13966,,,,,,0,0.4.0
1777135619167522000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_moderate,1580864918,1,auto,53333041,-50,,,,,,,0,0.4.0
1777135619180920000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_moderate,1580864918,1,,,,25074,,,,,,0,0.4.0
1777135622289759000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_moderate,1580864918,2,auto,56468068,-49,,,,,,,0,0.4.0
1777135622304460000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_moderate,1580864918,2,,,,13991,,,,,,0,0.4.0
1777135625209965000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_moderate,1580864918,3,auto,59377013,-49,,,,,,,0,0.4.0
1777135625222624000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_moderate,1580864918,3,,,,23042,,,,,,0,0.4.0
1777135628105796000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_moderate,1580864918,4,auto,62280041,-51,,,,,,,0,0.4.0
1777135628123908000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_moderate,1580864918,4,,,,22057,,,,,,0,0.4.0
1777135631154286000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_moderate,1580864918,5,auto,65331094,-51,,,,,,,0,0.4.0
1777135631165367000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_moderate,1580864918,5,,,,12960,,,,,,0,0.4.0
1777135634073674000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_moderate,1580864918,6,auto,68250034,-51,,,,,,,0,0.4.0
1777135634087010000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_moderate,1580864918,6,,,,14025,,,,,,0,0.4.0
