command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
1,on,0,1777545934364754000,2026-04-30T13:45:34.469+03:00,200,,0.4.1
2,off,2965,1777545937330487000,2026-04-30T13:45:37.424+03:00,200,,0.4.1
3,on,5835,1777545940204821000,2026-04-30T13:45:40.287+03:00,200,,0.4.1
4,off,9084,1777545943453803000,2026-04-30T13:45:43.532+03:00,200,,0.4.1
5,on,11859,1777545946228825000,2026-04-30T13:45:46.307+03:00,200,,0.4.1
6,off,14787,1777545949156168000,2026-04-30T13:45:49.238+03:00,200,,0.4.1
7,on,17696,1777545952063415000,2026-04-30T13:45:52.143+03:00,200,,0.4.1
8,off,20492,1777545954859521000,2026-04-30T13:45:54.941+03:00,200,,0.4.1
9,on,23390,1777545957756062000,2026-04-30T13:45:57.843+03:00,200,,0.4.1
10,off,26351,1777545960718945000,2026-04-30T13:46:00.799+03:00,200,,0.4.1
11,on,29164,1777545963530961000,2026-04-30T13:46:03.615+03:00,200,,0.4.1
12,off,31950,1777545966317524000,2026-04-30T13:46:06.402+03:00,200,,0.4.1
13,on,35033,1777545969400851000,2026-04-30T13:46:09.504+03:00,200,,0.4.1
14,off,37997,1777545972365471000,2026-04-30T13:46:12.454+03:00,200,,0.4.1
15,on,40987,1777545975353204000,2026-04-30T13:46:15.447+03:00,200,,0.4.1
16,off,43763,1777545978132747000,2026-04-30T13:46:18.216+03:00,200,,0.4.1
17,on,46979,1777545981346582000,2026-04-30T13:46:21.438+03:00,200,,0.4.1
18,off,50193,1777545984560896000,2026-04-30T13:46:24.642+03:00,200,,0.4.1
19,on,53216,1777545987580922000,2026-04-30T13:46:27.681+03:00,200,,0.4.1
20,off,56425,1777545990792899000,2026-04-30T13:46:30.881+03:00,200,,0.4.1
21,on,59218,1777545993583011000,2026-04-30T13:46:33.665+03:00,200,,0.4.1
22,off,62319,1777545996688658000,2026-04-30T13:46:36.770+03:00,200,,0.4.1
23,on,65244,1777545999608979000,2026-04-30T13:46:39.692+03:00,200,,0.4.1
24,off,68001,1777546002370646000,2026-04-30T13:46:42.453+03:00,200,,0.4.1
25,on,71239,1777546005608625000,2026-04-30T13:46:45.691+03:00,200,,0.4.1
26,off,74348,1777546008713795000,2026-04-30T13:46:48.796+03:00,200,,0.4.1
27,on,77373,1777546011737617000,2026-04-30T13:46:51.841+03:00,200,,0.4.1
28,off,80435,1777546014804613000,2026-04-30T13:46:54.913+03:00,200,,0.4.1
29,on,83310,1777546017675676000,2026-04-30T13:46:57.756+03:00,200,,0.4.1
30,off,86279,1777546020646412000,2026-04-30T13:47:00.733+03:00,200,,0.4.1
31,on,89518,1777546023887571000,2026-04-30T13:47:03.968+03:00,200,,0.4.1
32,off,92684,1777546027050530000,2026-04-30T13:47:07.137+03:00,200,,0.4.1
33,on,95434,1777546029800539000,2026-04-30T13:47:09.882+03:00,200,,0.4.1
34,off,98336,1777546032701945000,2026-04-30T13:47:12.786+03:00,200,,0.4.1
35,on,101446,1777546035814474000,2026-04-30T13:47:15.904+03:00,200,,0.4.1
36,off,104306,1777546038671593000,2026-04-30T13:47:18.753+03:00,200,,0.4.1
37,on,107340,1777546041709538000,2026-04-30T13:47:21.790+03:00,200,,0.4.1
38,off,110363,1777546044730038000,2026-04-30T13:47:24.836+03:00,200,,0.4.1
39,on,113503,1777546047867553000,2026-04-30T13:47:27.950+03:00,200,,0.4.1
40,off,116393,1777546050759276000,2026-04-30T13:47:30.843+03:00,200,,0.4.1
41,on,119215,1777546053584519000,2026-04-30T13:47:33.665+03:00,200,,0.4.1
42,off,122280,1777546056646368000,2026-04-30T13:47:36.773+03:00,200,,0.4.1
43,on,125043,1777546059408741000,2026-04-30T13:47:39.488+03:00,200,,0.4.1
44,off,128137,1777546062503430000,2026-04-30T13:47:42.591+03:00,200,,0.4.1
45,on,130944,1777546065312920000,2026-04-30T13:47:45.396+03:00,200,,0.4.1
46,off,133791,1777546068159908000,2026-04-30T13:47:48.245+03:00,200,,0.4.1
47,on,136561,1777546070929553000,2026-04-30T13:47:51.022+03:00,200,,0.4.1
48,off,139323,1777546073692465000,2026-04-30T13:47:53.771+03:00,200,,0.4.1
49,on,142562,1777546076930885000,2026-04-30T13:47:57.025+03:00,200,,0.4.1
50,off,145319,1777546079688426000,2026-04-30T13:47:59.771+03:00,200,,0.4.1
51,on,148350,1777546082718903000,2026-04-30T13:48:02.799+03:00,200,,0.4.1
52,off,151472,1777546085841434000,2026-04-30T13:48:05.921+03:00,200,,0.4.1
53,on,154656,1777546089025379000,2026-04-30T13:48:09.107+03:00,200,,0.4.1
54,off,157646,1777546092014036000,2026-04-30T13:48:12.098+03:00,200,,0.4.1
55,on,160692,1777546095059060000,2026-04-30T13:48:15.139+03:00,200,,0.4.1
56,off,163759,1777546098127785000,2026-04-30T13:48:18.249+03:00,200,,0.4.1
57,on,166629,1777546100996935000,2026-04-30T13:48:21.086+03:00,200,,0.4.1
58,off,169726,1777546104093490000,2026-04-30T13:48:24.176+03:00,200,,0.4.1
59,on,172848,1777546107215219000,2026-04-30T13:48:27.297+03:00,200,,0.4.1
60,off,175848,1777546110217345000,2026-04-30T13:48:30.305+03:00,200,,0.4.1
61,on,178634,1777546113002350000,2026-04-30T13:48:33.086+03:00,200,,0.4.1
62,off,181760,1777546116125892000,2026-04-30T13:48:36.269+03:00,200,,0.4.1
63,on,184791,1777546119159527000,2026-04-30T13:48:39.240+03:00,200,,0.4.1
64,off,187987,1777546122354282000,2026-04-30T13:48:42.434+03:00,200,,0.4.1
65,on,190872,1777546125237446000,2026-04-30T13:48:45.319+03:00,200,,0.4.1
66,off,193743,1777546128109478000,2026-04-30T13:48:48.186+03:00,200,,0.4.1
67,on,196683,1777546131050081000,2026-04-30T13:48:51.133+03:00,200,,0.4.1
68,off,199762,1777546134129318000,2026-04-30T13:48:54.218+03:00,200,,0.4.1
69,on,202561,1777546136925294000,2026-04-30T13:48:57.013+03:00,200,,0.4.1
70,off,205744,1777546140112507000,2026-04-30T13:49:00.192+03:00,200,,0.4.1
71,on,208708,1777546143074790000,2026-04-30T13:49:03.164+03:00,200,,0.4.1
72,off,211555,1777546145924261000,2026-04-30T13:49:06.008+03:00,200,,0.4.1
73,on,214471,1777546148840039000,2026-04-30T13:49:08.922+03:00,200,,0.4.1
74,off,217390,1777546151759255000,2026-04-30T13:49:11.840+03:00,200,,0.4.1
75,on,220381,1777546154749925000,2026-04-30T13:49:14.838+03:00,200,,0.4.1
76,off,223585,1777546157954134000,2026-04-30T13:49:18.037+03:00,200,,0.4.1
77,on,226575,1777546160943946000,2026-04-30T13:49:21.027+03:00,200,,0.4.1
78,off,229683,1777546164050966000,2026-04-30T13:49:24.133+03:00,200,,0.4.1
79,on,232669,1777546167037368000,2026-04-30T13:49:27.129+03:00,200,,0.4.1
80,off,235724,1777546170093215000,2026-04-30T13:49:30.174+03:00,200,,0.4.1
