pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777550800297441000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,on,off,2026-04-30T15:06:40.344260+03:00,01KQF4HDD1TKQ5G9N5PFX8FK3S,01KQF4HDD1TKQ5G9N5PFX8FK3S,0,0.4.3
1777550803216738000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,off,on,2026-04-30T15:06:43.261197+03:00,01KQF4HG84VHYVHHHDK9JVRPAV,01KQF4HG84VHYVHHHDK9JVRPAV,0,0.4.3
1777550806303443000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,on,off,2026-04-30T15:06:46.348690+03:00,01KQF4HK8MTS4A7CWV3NY8Q822,01KQF4HK8MTS4A7CWV3NY8Q822,0,0.4.3
1777550809293399000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,off,on,2026-04-30T15:06:49.337580+03:00,01KQF4HP5VX886GYC7QP5Q3HFP,01KQF4HP5VX886GYC7QP5Q3HFP,0,0.4.3
1777550812173936000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,on,off,2026-04-30T15:06:52.223897+03:00,01KQF4HS00CH0BDVPAB669AHTT,01KQF4HS00CH0BDVPAB669AHTT,0,0.4.3
1777550815006899000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,off,on,2026-04-30T15:06:55.053071+03:00,01KQF4HVR89S2V64W59ZY7XE9E,01KQF4HVR89S2V64W59ZY7XE9E,0,0.4.3
1777550817830832000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,on,off,2026-04-30T15:06:57.871034+03:00,01KQF4HYGGT4D3F69R87S2T2YJ,01KQF4HYGGT4D3F69R87S2T2YJ,0,0.4.3
1777550820764980000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,off,on,2026-04-30T15:07:00.815110+03:00,01KQF4J1CGATMW6802VFPQGT66,01KQF4J1CGATMW6802VFPQGT66,0,0.4.3
1777550823754866000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,on,off,2026-04-30T15:07:03.805235+03:00,01KQF4J49YX4A9TB24DSD6TVP0,01KQF4J49YX4A9TB24DSD6TVP0,0,0.4.3
1777550826700906000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,off,on,2026-04-30T15:07:06.747584+03:00,01KQF4J75RRV1TRX20H03053T9,01KQF4J75RRV1TRX20H03053T9,0,0.4.3
1777550829683030000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,on,off,2026-04-30T15:07:09.728586+03:00,01KQF4JA33XWXNRMKTMH0FS81W,01KQF4JA33XWXNRMKTMH0FS81W,0,0.4.3
1777550832935402000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,off,on,2026-04-30T15:07:12.976184+03:00,01KQF4JD8HGXPHMBZB08S6S7TJ,01KQF4JD8HGXPHMBZB08S6S7TJ,0,0.4.3
1777550835836484000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,on,off,2026-04-30T15:07:15.884768+03:00,01KQF4JG3CPXW8ZRVKY069XZA1,01KQF4JG3CPXW8ZRVKY069XZA1,0,0.4.3
1777550838846321000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,off,on,2026-04-30T15:07:18.888898+03:00,01KQF4JK19N39ZBMRENDS20YA7,01KQF4JK19N39ZBMRENDS20YA7,0,0.4.3
1777550841975127000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,on,off,2026-04-30T15:07:22.026140+03:00,01KQF4JP37CX2XN2HCYFCY27HJ,01KQF4JP37CX2XN2HCYFCY27HJ,0,0.4.3
1777550844908649000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_light,,0,state_changed,0,,,off,on,2026-04-30T15:07:24.958447+03:00,01KQF4JRYWQX992TWK9JA9BE1V,01KQF4JRYWQX992TWK9JA9BE1V,0,0.4.3
