pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777554453015769000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T16:07:33.052228+03:00,01KQF80WFZPQYYPZ099AWFFPTA,01KQF80WFZPQYYPZ099AWFFPTA,0,0.4.4
1777554456009483000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T16:07:36.045568+03:00,01KQF80ZD94ESK8G5EDA8CYSBY,01KQF80ZD94ESK8G5EDA8CYSBY,0,0.4.4
1777554459068169000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T16:07:39.107175+03:00,01KQF812CX001FRTJE1PWYP42Z,01KQF812CX001FRTJE1PWYP42Z,0,0.4.4
1777554462009379000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T16:07:42.036707+03:00,01KQF8158BE5E6H7MKAMNS8R5R,01KQF8158BE5E6H7MKAMNS8R5R,0,0.4.4
1777554465180501000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T16:07:45.208287+03:00,01KQF818BMKSJA79NE15ARYA3G,01KQF818BMKSJA79NE15ARYA3G,0,0.4.4
1777554468142245000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T16:07:48.173346+03:00,01KQF81B798G6EXR3QQWD2HA91,01KQF81B798G6EXR3QQWD2HA91,0,0.4.4
1777554470872511000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T16:07:50.911496+03:00,01KQF81DXMB3HNBHTBPKVGRSJM,01KQF81DXMB3HNBHTBPKVGRSJM,0,0.4.4
1777554474094392000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T16:07:54.121261+03:00,01KQF81H24V1P2598GKY588X7W,01KQF81H24V1P2598GKY588X7W,0,0.4.4
1777554477196288000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T16:07:57.233623+03:00,01KQF81M2SGRDPD3PSB2NF39WJ,01KQF81M2SGRDPD3PSB2NF39WJ,0,0.4.4
1777554480088221000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T16:08:00.127575+03:00,01KQF81PXR7KQQFJNS78P3DR0D,01KQF81PXR7KQQFJNS78P3DR0D,0,0.4.4
1777554482906461000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T16:08:02.943210+03:00,01KQF81SNP0CHS6VF0038WCJ69,01KQF81SNP0CHS6VF0038WCJ69,0,0.4.4
1777554485647265000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T16:08:05.684010+03:00,01KQF81WBHTZ9F32YZP9X25ZWQ,01KQF81WBHTZ9F32YZP9X25ZWQ,0,0.4.4
1777554488458660000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T16:08:08.497228+03:00,01KQF81Z3G0YECR5EJBY1BDX88,01KQF81Z3G0YECR5EJBY1BDX88,0,0.4.4
1777554491262028000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T16:08:11.301175+03:00,01KQF821V0712A8TRTP9EZA3JE,01KQF821V0712A8TRTP9EZA3JE,0,0.4.4
1777554494276287000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T16:08:14.315661+03:00,01KQF824S75P0GDRAFWVMRT158,01KQF824S75P0GDRAFWVMRT158,0,0.4.4
1777554497222983000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T16:08:17.250237+03:00,01KQF827N0HD3F34KPBZ8NASQ3,01KQF827N0HD3F34KPBZ8NASQ3,0,0.4.4
1777554500369694000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T16:08:20.406380+03:00,01KQF82AQHWSBWHJEWY0XWEV8D,01KQF82AQHWSBWHJEWY0XWEV8D,0,0.4.4
