pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777551571675019000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T15:19:31.717958+03:00,01KQF58YPB03T8E4PBSFQ6XX5A,01KQF58YPB03T8E4PBSFQ6XX5A,0,0.4.3
1777551574656541000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T15:19:34.698642+03:00,01KQF591KHSS8MNKHF02P23DAN,01KQF591KHSS8MNKHF02P23DAN,0,0.4.3
1777551577714118000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T15:19:37.760435+03:00,01KQF594K71MRYTYZW8FCB0PDM,01KQF594K71MRYTYZW8FCB0PDM,0,0.4.3
1777551580661933000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T15:19:40.697053+03:00,01KQF597ET627GQC1EX3K0N3FT,01KQF597ET627GQC1EX3K0N3FT,0,0.4.3
1777551586104790000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T15:19:46.151676+03:00,01KQF59AHYNB7FTE0YEMEBZJYG,01KQF59AHYNB7FTE0YEMEBZJYG,0,0.4.3
1777551586773675000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T15:19:46.814322+03:00,01KQF59DDJAEYXRC3C4V345BJ9,01KQF59DDJAEYXRC3C4V345BJ9,0,0.4.3
1777551596077843000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T15:19:56.116519+03:00,01KQF59PJB2SFNG3CAXE99PW31,01KQF59PJB2SFNG3CAXE99PW31,0,0.4.3
1777551596156084000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T15:19:56.204370+03:00,01KQF59PKEY4CD59873YF3XY3B,01KQF59PKEY4CD59873YF3XY3B,0,0.4.3
1777551596252413000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,on,off,2026-04-30T15:19:56.293796+03:00,01KQF59PP28Y6NXFMFFZCATQWR,01KQF59PP28Y6NXFMFFZCATQWR,0,0.4.3
1777551598752997000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_moderate,,0,state_changed,0,,,off,on,2026-04-30T15:19:58.798303+03:00,01KQF59S422M20YG12Z156NT5K,01KQF59S422M20YG12Z156NT5K,0,0.4.3
