command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
1,off,0,1777551571603893000,2026-04-30T15:19:31.675+03:00,200,,0.4.3
2,on,2977,1777551574582364000,2026-04-30T15:19:34.658+03:00,200,,0.4.3
3,off,6037,1777551577645329000,2026-04-30T15:19:37.718+03:00,200,,0.4.3
4,on,8966,1777551580574939000,2026-04-30T15:19:40.660+03:00,200,,0.4.3
5,off,12142,1777551583746826000,2026-04-30T15:19:46.108+03:00,200,,0.4.3
6,on,15069,1777551586675664000,2026-04-30T15:19:46.775+03:00,200,,0.4.3
7,off,17839,1777551589444471000,2026-04-30T15:19:56.079+03:00,200,,0.4.3
8,on,21046,1777551596080721000,2026-04-30T15:19:56.159+03:00,200,,0.4.3
9,off,24138,1777551596159406000,2026-04-30T15:19:56.252+03:00,200,,0.4.3
10,on,27058,1777551598663170000,2026-04-30T15:19:58.756+03:00,200,,0.4.3
11,off,29870,1777551601478506000,2026-04-30T15:20:06.697+03:00,200,,0.4.3
12,on,32620,1777551606698332000,2026-04-30T15:20:06.782+03:00,200,,0.4.3
13,off,35434,1777551607038109000,2026-04-30T15:20:12.275+03:00,200,,0.4.3
14,on,38234,1777551612276128000,2026-04-30T15:20:12.368+03:00,200,,0.4.3
15,off,41247,1777551612853472000,2026-04-30T15:20:18.181+03:00,200,,0.4.3
16,on,44185,1777551618182638000,2026-04-30T15:20:18.266+03:00,200,,0.4.3
17,off,47337,1777551618944684000,2026-04-30T15:20:24.280+03:00,200,,0.4.3
18,on,50177,1777551624281218000,2026-04-30T15:20:24.375+03:00,200,,0.4.3
19,off,53141,1777551624747646000,2026-04-30T15:20:24.835+03:00,200,,0.4.3
20,on,56267,1777551627875013000,2026-04-30T15:20:27.963+03:00,200,,0.4.3
21,off,59073,1777551630680438000,2026-04-30T15:20:35.905+03:00,200,,0.4.3
22,on,62286,1777551635906785000,2026-04-30T15:20:36.005+03:00,200,,0.4.3
23,off,65260,1777551636865722000,2026-04-30T15:20:42.089+03:00,200,,0.4.3
24,on,68134,1777551642090854000,2026-04-30T15:20:42.187+03:00,200,,0.4.3
25,off,71365,1777551642973591000,2026-04-30T15:20:48.334+03:00,200,,0.4.3
26,on,74156,1777551648335210000,2026-04-30T15:20:48.420+03:00,200,,0.4.3
27,off,77340,1777551648947030000,2026-04-30T15:20:54.166+03:00,200,,0.4.3
28,on,80358,1777551654167320000,2026-04-30T15:20:54.260+03:00,200,,0.4.3
29,off,83289,1777551654897808000,2026-04-30T15:21:00.168+03:00,200,,0.4.3
30,on,86322,1777551660169612000,2026-04-30T15:21:00.250+03:00,200,,0.4.3
31,off,89256,1777551660860312000,2026-04-30T15:21:06.211+03:00,200,,0.4.3
32,on,92176,1777551666212241000,2026-04-30T15:21:06.293+03:00,200,,0.4.3
