pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777552197348075000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:29:57.394258+03:00,01KQF5W1PDZ6N636EBR4HS8BGH,01KQF5W1PDZ6N636EBR4HS8BGH,0,0.4.3
1777552200468810000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:00.517566+03:00,01KQF5W4R723C77TC818D3NREW,01KQF5W4R723C77TC818D3NREW,0,0.4.3
1777552203535989000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:03.587984+03:00,01KQF5W7QSAS2KKK21NAJTS0CS,01KQF5W7QSAS2KKK21NAJTS0CS,0,0.4.3
1777552206688985000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:06.729042+03:00,01KQF5WAT5935C4NKJPJKA10DY,01KQF5WAT5935C4NKJPJKA10DY,0,0.4.3
1777552209776952000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:09.812576+03:00,01KQF5WDT0RSWT4QTM8EKXMKNR,01KQF5WDT0RSWT4QTM8EKXMKNR,0,0.4.3
1777552212678391000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:12.730228+03:00,01KQF5WGNHC8EE6MJ2P04XN7RP,01KQF5WGNHC8EE6MJ2P04XN7RP,0,0.4.3
1777552215484226000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:15.535517+03:00,01KQF5WKDEQ0CVCQNGNEEP33CK,01KQF5WKDEQ0CVCQNGNEEP33CK,0,0.4.3
1777552218283123000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:18.335136+03:00,01KQF5WP4PEH99PYEC4J7GTB5R,01KQF5WP4PEH99PYEC4J7GTB5R,0,0.4.3
1777552221228157000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:21.279896+03:00,01KQF5WS0MD3993QT5CCFJ92B7,01KQF5WS0MD3993QT5CCFJ92B7,0,0.4.3
1777552224070583000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:24.113066+03:00,01KQF5WVSBR3DR580VQSTQJ0VM,01KQF5WVSBR3DR580VQSTQJ0VM,0,0.4.3
1777552226998433000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:27.046904+03:00,01KQF5WYN4MJEENWRDBYC5CXP6,01KQF5WYN4MJEENWRDBYC5CXP6,0,0.4.3
1777552230176133000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:30.217241+03:00,01KQF5X1Q6G07ZTG16K2R9S88X,01KQF5X1Q6G07ZTG16K2R9S88X,0,0.4.3
1777552233220418000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:33.260224+03:00,01KQF5X4PG86AWPDQ65WY99375,01KQF5X4PG86AWPDQ65WY99375,0,0.4.3
1777552235989047000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:36.028473+03:00,01KQF5X7DPQMGGYGEV2425WVG7,01KQF5X7DPQMGGYGEV2425WVG7,0,0.4.3
1777552239168528000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:39.217673+03:00,01KQF5XAHBFNCWK8NH1SEK5C2A,01KQF5XAHBFNCWK8NH1SEK5C2A,0,0.4.3
1777552242253665000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:42.296271+03:00,01KQF5XDGC90H6E1FM7DMW99W7,01KQF5XDGC90H6E1FM7DMW99W7,0,0.4.3
1777552245295174000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:45.347103+03:00,01KQF5XGFE3FD0VZ1W74C2786J,01KQF5XGFE3FD0VZ1W74C2786J,0,0.4.3
1777552248250978000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:48.292274+03:00,01KQF5XKD0VFN6GP621T8VG05K,01KQF5XKD0VFN6GP621T8VG05K,0,0.4.3
1777552251134333000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:51.186325+03:00,01KQF5XP7F669RZGTD5VRWC45A,01KQF5XP7F669RZGTD5VRWC45A,0,0.4.3
1777552253999127000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:54.051383+03:00,01KQF5XS0T3XVZ850R1SQYM065,01KQF5XS0T3XVZ850R1SQYM065,0,0.4.3
1777552257093285000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:30:57.142952+03:00,01KQF5XW1NB3229Z8Y7CYFYVYE,01KQF5XW1NB3229Z8Y7CYFYVYE,0,0.4.3
1777552259891866000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:30:59.942154+03:00,01KQF5XYRW4ZM7D560VKTGDDFZ,01KQF5XYRW4ZM7D560VKTGDDFZ,0,0.4.3
1777552262752088000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:31:02.790428+03:00,01KQF5Y1HZZWGQ8TARHCRZAMTQ,01KQF5Y1HZZWGQ8TARHCRZAMTQ,0,0.4.3
1777552265498834000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:31:05.551159+03:00,01KQF5Y48G4QXPFDNQ3VT5R417,01KQF5Y48G4QXPFDNQ3VT5R417,0,0.4.3
1777552268310653000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:31:08.356621+03:00,01KQF5Y70559ZTAZDCVFCTEE4Q,01KQF5Y70559ZTAZDCVFCTEE4Q,0,0.4.3
1777552271492413000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:31:11.532532+03:00,01KQF5YA3AJQGZZ6F7FN6C717F,01KQF5YA3AJQGZZ6F7FN6C717F,0,0.4.3
1777552274294873000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:31:14.347167+03:00,01KQF5YCV659TCJVBNE3FFFPR3,01KQF5YCV659TCJVBNE3FFFPR3,0,0.4.3
1777552277277717000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:31:17.319917+03:00,01KQF5YFR3HVEC2NC3RB0Q6ZS7,01KQF5YFR3HVEC2NC3RB0Q6ZS7,0,0.4.3
1777552280243656000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:31:20.295952+03:00,01KQF5YJN37CG009ST2WHEPN9T,01KQF5YJN37CG009ST2WHEPN9T,0,0.4.3
1777552283155535000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:31:23.199569+03:00,01KQF5YNFSSAA2NQ9N949PJX2C,01KQF5YNFSSAA2NQ9N949PJX2C,0,0.4.3
1777552286186743000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,off,on,2026-04-30T15:31:26.226945+03:00,01KQF5YRDYQPGKKBJV1DX1R8A6,01KQF5YRDYQPGKKBJV1DX1R8A6,0,0.4.3
1777552289242308000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy,,0,state_changed,0,,,on,off,2026-04-30T15:31:29.284829+03:00,01KQF5YVDPGTSB8G7YRNDTVFZ2,01KQF5YVDPGTSB8G7YRNDTVFZ2,0,0.4.3
