command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
1,on,0,1777556900858004000,2026-04-30T16:48:20.932+03:00,200,,0.4.4
2,off,3136,1777556903996985000,2026-04-30T16:48:24.073+03:00,200,,0.4.4
3,on,6194,1777556907055684000,2026-04-30T16:48:27.168+03:00,200,,0.4.4
4,off,9333,1777556910192700000,2026-04-30T16:48:30.297+03:00,200,,0.4.4
5,on,12408,1777556913271046000,2026-04-30T16:48:33.420+03:00,200,,0.4.4
6,off,15332,1777556916193148000,2026-04-30T16:48:36.279+03:00,200,,0.4.4
7,on,18140,1777556919001504000,2026-04-30T16:48:39.094+03:00,200,,0.4.4
8,off,20942,1777556921805039000,2026-04-30T16:48:41.889+03:00,200,,0.4.4
9,on,23883,1777556924745422000,2026-04-30T16:48:44.849+03:00,200,,0.4.4
10,off,26716,1777556927574905000,2026-04-30T16:48:47.662+03:00,200,,0.4.4
11,on,29661,1777556930524020000,2026-04-30T16:48:50.606+03:00,200,,0.4.4
12,off,32794,1777556933654160000,2026-04-30T16:48:53.745+03:00,200,,0.4.4
13,on,35843,1777556936706009000,2026-04-30T16:48:56.812+03:00,200,,0.4.4
14,off,38637,1777556939500009000,2026-04-30T16:48:59.583+03:00,200,,0.4.4
15,on,41819,1777556942680614000,2026-04-30T16:49:02.769+03:00,200,,0.4.4
16,off,44870,1777556945732055000,2026-04-30T16:49:05.833+03:00,200,,0.4.4
17,on,47911,1777556948769515000,2026-04-30T16:49:08.889+03:00,200,,0.4.4
18,off,50900,1777556951760331000,2026-04-30T16:49:11.851+03:00,200,,0.4.4
19,on,53792,1777556954653798000,2026-04-30T16:49:14.740+03:00,200,,0.4.4
20,off,56656,1777556957515266000,2026-04-30T16:49:17.602+03:00,200,,0.4.4
21,on,59746,1777556960607763000,2026-04-30T16:49:20.700+03:00,200,,0.4.4
22,off,62535,1777556963396566000,2026-04-30T16:49:23.489+03:00,200,,0.4.4
23,on,65388,1777556966249658000,2026-04-30T16:49:26.349+03:00,200,,0.4.4
24,off,68166,1777556969028953000,2026-04-30T16:49:29.120+03:00,200,,0.4.4
25,on,70965,1777556971823632000,2026-04-30T16:49:31.920+03:00,200,,0.4.4
26,off,74146,1777556975007370000,2026-04-30T16:49:35.085+03:00,200,,0.4.4
27,on,76960,1777556977822933000,2026-04-30T16:49:37.913+03:00,200,,0.4.4
28,off,79930,1777556980790261000,2026-04-30T16:49:40.897+03:00,200,,0.4.4
29,on,82900,1777556983762951000,2026-04-30T16:49:43.859+03:00,200,,0.4.4
30,off,85811,1777556986673963000,2026-04-30T16:49:46.771+03:00,200,,0.4.4
31,on,88820,1777556989681904000,2026-04-30T16:49:49.797+03:00,200,,0.4.4
32,off,91877,1777556992739926000,2026-04-30T16:49:52.853+03:00,200,,0.4.4
33,on,94895,1777556995754709000,2026-04-30T16:49:55.836+03:00,200,,0.4.4
34,off,98055,1777556998915216000,2026-04-30T16:49:58.998+03:00,200,,0.4.4
35,on,101004,1777557001866919000,2026-04-30T16:50:01.952+03:00,200,,0.4.4
36,off,103806,1777557004665179000,2026-04-30T16:50:04.756+03:00,200,,0.4.4
37,on,106632,1777557007494885000,2026-04-30T16:50:07.582+03:00,200,,0.4.4
38,off,109400,1777557010262904000,2026-04-30T16:50:10.340+03:00,200,,0.4.4
39,on,112420,1777557013278033000,2026-04-30T16:50:13.387+03:00,200,,0.4.4
40,off,115611,1777557016472400000,2026-04-30T16:50:16.554+03:00,200,,0.4.4
41,on,118788,1777557019648484000,2026-04-30T16:50:19.733+03:00,200,,0.4.4
42,off,121770,1777557022632897000,2026-04-30T16:50:22.715+03:00,200,,0.4.4
43,on,124814,1777557025676875000,2026-04-30T16:50:25.767+03:00,200,,0.4.4
44,off,127841,1777557028703883000,2026-04-30T16:50:28.833+03:00,200,,0.4.4
45,on,130674,1777557031532246000,2026-04-30T16:50:31.625+03:00,200,,0.4.4
46,off,133891,1777557034753870000,2026-04-30T16:50:34.828+03:00,200,,0.4.4
47,on,136672,1777557037534462000,2026-04-30T16:50:37.617+03:00,200,,0.4.4
48,off,139505,1777557040365049000,2026-04-30T16:50:40.452+03:00,200,,0.4.4
49,on,142409,1777557043271845000,2026-04-30T16:50:43.356+03:00,200,,0.4.4
50,off,145163,1777557046021533000,2026-04-30T16:50:46.110+03:00,200,,0.4.4
51,on,148326,1777557049188532000,2026-04-30T16:50:49.281+03:00,200,,0.4.4
52,off,151347,1777557052205690000,2026-04-30T16:50:52.321+03:00,200,,0.4.4
53,on,154331,1777557055193838000,2026-04-30T16:50:55.279+03:00,200,,0.4.4
54,off,157194,1777557058052454000,2026-04-30T16:50:58.146+03:00,200,,0.4.4
55,on,160376,1777557061238816000,2026-04-30T16:51:01.324+03:00,200,,0.4.4
56,off,163556,1777557064417872000,2026-04-30T16:51:04.512+03:00,200,,0.4.4
57,on,166398,1777557067260821000,2026-04-30T16:51:07.341+03:00,200,,0.4.4
58,off,169597,1777557070456419000,2026-04-30T16:51:10.550+03:00,200,,0.4.4
59,on,172534,1777557073393224000,2026-04-30T16:51:13.491+03:00,200,,0.4.4
60,off,175703,1777557076562497000,2026-04-30T16:51:16.656+03:00,200,,0.4.4
61,on,178542,1777557079404801000,2026-04-30T16:51:19.500+03:00,200,,0.4.4
62,off,181619,1777557082481563000,2026-04-30T16:51:22.563+03:00,200,,0.4.4
63,on,184417,1777557085275505000,2026-04-30T16:51:25.367+03:00,200,,0.4.4
64,off,187413,1777557088275775000,2026-04-30T16:51:28.354+03:00,200,,0.4.4
65,on,190411,1777557091272209000,2026-04-30T16:51:31.355+03:00,200,,0.4.4
66,off,193294,1777557094154066000,2026-04-30T16:51:34.250+03:00,200,,0.4.4
67,on,196142,1777557097004781000,2026-04-30T16:51:37.112+03:00,200,,0.4.4
68,off,199097,1777557099959773000,2026-04-30T16:51:40.051+03:00,200,,0.4.4
69,on,202288,1777557103150787000,2026-04-30T16:51:43.248+03:00,200,,0.4.4
70,off,205399,1777557106257148000,2026-04-30T16:51:46.375+03:00,200,,0.4.4
71,on,208307,1777557109166439000,2026-04-30T16:51:49.249+03:00,200,,0.4.4
72,off,211184,1777557112042739000,2026-04-30T16:51:52.141+03:00,200,,0.4.4
73,on,214379,1777557115238774000,2026-04-30T16:51:55.327+03:00,200,,0.4.4
74,off,217314,1777557118175777000,2026-04-30T16:51:58.255+03:00,200,,0.4.4
75,on,220292,1777557121154751000,2026-04-30T16:52:01.235+03:00,200,,0.4.4
76,off,223358,1777557124220747000,2026-04-30T16:52:04.319+03:00,200,,0.4.4
77,on,226472,1777557127332463000,2026-04-30T16:52:07.440+03:00,200,,0.4.4
78,off,229394,1777557130255083000,2026-04-30T16:52:10.348+03:00,200,,0.4.4
79,on,232395,1777557133257710000,2026-04-30T16:52:13.342+03:00,200,,0.4.4
80,off,235586,1777557136448697000,2026-04-30T16:52:16.536+03:00,200,,0.4.4
81,on,238596,1777557139456347000,2026-04-30T16:52:24.688+03:00,200,,0.4.4
