command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
1,on,0,1777560299495440000,2026-04-30T17:44:59.577+03:00,200,,0.4.5
2,off,2977,1777560302477501000,2026-04-30T17:45:02.565+03:00,200,,0.4.5
3,on,6037,1777560305534387000,2026-04-30T17:45:05.621+03:00,200,,0.4.5
4,off,8966,1777560308466509000,2026-04-30T17:45:08.545+03:00,200,,0.4.5
5,on,12142,1777560311639129000,2026-04-30T17:45:11.725+03:00,200,,0.4.5
6,off,15069,1777560314569566000,2026-04-30T17:45:14.660+03:00,200,,0.4.5
7,on,17839,1777560317339493000,2026-04-30T17:45:17.428+03:00,200,,0.4.5
8,off,21046,1777560320543924000,2026-04-30T17:45:20.635+03:00,200,,0.4.5
9,on,24138,1777560323638464000,2026-04-30T17:45:23.771+03:00,200,,0.4.5
10,off,27058,1777560326554882000,2026-04-30T17:45:26.645+03:00,200,,0.4.5
11,on,29870,1777560329369263000,2026-04-30T17:45:29.454+03:00,200,,0.4.5
12,off,32620,1777560332120466000,2026-04-30T17:45:32.213+03:00,200,,0.4.5
13,on,35434,1777560334934020000,2026-04-30T17:45:35.022+03:00,200,,0.4.5
14,off,38234,1777560337734429000,2026-04-30T17:45:37.831+03:00,200,,0.4.5
15,on,41247,1777560340747452000,2026-04-30T17:45:40.836+03:00,200,,0.4.5
16,off,44185,1777560343685433000,2026-04-30T17:45:43.768+03:00,200,,0.4.5
17,on,47337,1777560346833412000,2026-04-30T17:45:46.916+03:00,200,,0.4.5
18,off,50177,1777560349675900000,2026-04-30T17:45:49.757+03:00,200,,0.4.5
19,on,53141,1777560352640246000,2026-04-30T17:45:52.732+03:00,200,,0.4.5
20,off,56267,1777560355762614000,2026-04-30T17:45:55.851+03:00,200,,0.4.5
21,on,59073,1777560358571894000,2026-04-30T17:45:58.655+03:00,200,,0.4.5
22,off,62286,1777560361783925000,2026-04-30T17:46:01.868+03:00,200,,0.4.5
23,on,65260,1777560364760416000,2026-04-30T17:46:04.848+03:00,200,,0.4.5
24,off,68134,1777560367633447000,2026-04-30T17:46:07.727+03:00,200,,0.4.5
25,on,71365,1777560370865417000,2026-04-30T17:46:10.954+03:00,200,,0.4.5
26,off,74156,1777560373652992000,2026-04-30T17:46:13.744+03:00,200,,0.4.5
27,on,77340,1777560376839408000,2026-04-30T17:46:16.929+03:00,200,,0.4.5
28,off,80358,1777560379858380000,2026-04-30T17:46:19.962+03:00,200,,0.4.5
29,on,83289,1777560382785564000,2026-04-30T17:46:22.872+03:00,200,,0.4.5
30,off,86322,1777560385820014000,2026-04-30T17:46:25.905+03:00,200,,0.4.5
31,on,89256,1777560388752936000,2026-04-30T17:46:28.846+03:00,200,,0.4.5
32,off,92176,1777560391675465000,2026-04-30T17:46:31.756+03:00,200,,0.4.5
33,on,95099,1777560394596671000,2026-04-30T17:46:34.690+03:00,200,,0.4.5
34,off,97949,1777560397448255000,2026-04-30T17:46:37.537+03:00,200,,0.4.5
35,on,100705,1777560400204136000,2026-04-30T17:46:40.300+03:00,200,,0.4.5
36,off,103679,1777560403178997000,2026-04-30T17:46:43.277+03:00,200,,0.4.5
37,on,106902,1777560406400407000,2026-04-30T17:46:46.491+03:00,200,,0.4.5
38,off,110043,1777560409539412000,2026-04-30T17:46:49.628+03:00,200,,0.4.5
39,on,112922,1777560412417904000,2026-04-30T17:46:52.502+03:00,200,,0.4.5
40,off,116112,1777560415611516000,2026-04-30T17:46:55.691+03:00,200,,0.4.5
41,on,119270,1777560418769011000,2026-04-30T17:46:58.864+03:00,200,,0.4.5
42,off,122190,1777560421690326000,2026-04-30T17:47:01.783+03:00,200,,0.4.5
43,on,125368,1777560424868322000,2026-04-30T17:47:04.950+03:00,200,,0.4.5
44,off,128121,1777560427621329000,2026-04-30T17:47:07.704+03:00,200,,0.4.5
45,on,131070,1777560430570356000,2026-04-30T17:47:10.666+03:00,200,,0.4.5
46,off,134251,1777560433747816000,2026-04-30T17:47:13.831+03:00,200,,0.4.5
47,on,137306,1777560436801583000,2026-04-30T17:47:16.915+03:00,200,,0.4.5
48,off,140316,1777560439816167000,2026-04-30T17:47:19.945+03:00,200,,0.4.5
49,on,143355,1777560442854383000,2026-04-30T17:47:22.973+03:00,200,,0.4.5
50,off,146302,1777560445799518000,2026-04-30T17:47:25.897+03:00,200,,0.4.5
51,on,149169,1777560448668857000,2026-04-30T17:47:28.760+03:00,200,,0.4.5
52,off,152107,1777560451604193000,2026-04-30T17:47:31.685+03:00,200,,0.4.5
53,on,155099,1777560454596449000,2026-04-30T17:47:34.680+03:00,200,,0.4.5
54,off,158288,1777560457788368000,2026-04-30T17:47:37.873+03:00,200,,0.4.5
55,on,161160,1777560460655372000,2026-04-30T17:47:40.748+03:00,200,,0.4.5
56,off,164257,1777560463757282000,2026-04-30T17:47:43.849+03:00,200,,0.4.5
