pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777562252524427000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,off,on,2026-04-30T18:17:32.610514+03:00,01KQFFEX7WDZSZ8DA63SF3387M,01KQFFEX7WDZSZ8DA63SF3387M,0,0.4.5
1777562255484627000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,on,off,2026-04-30T18:17:35.576774+03:00,01KQFFF04N9EJ139M924WDPT31,01KQFFF04N9EJ139M924WDPT31,0,0.4.5
1777562258352859000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,off,on,2026-04-30T18:17:38.445779+03:00,01KQFFF2YFRKG930T4D1F444EK,01KQFFF2YFRKG930T4D1F444EK,0,0.4.5
1777562261599097000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,on,off,2026-04-30T18:17:41.689963+03:00,01KQFFF63V48Q9WB1PTJHB0Y6P,01KQFFF63V48Q9WB1PTJHB0Y6P,0,0.4.5
1777562264390132000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,off,on,2026-04-30T18:17:44.476438+03:00,01KQFFF8TQWH88VBFQG4XTX000,01KQFFF8TQWH88VBFQG4XTX000,0,0.4.5
1777562267305813000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,on,off,2026-04-30T18:17:47.394818+03:00,01KQFFFBP2HQAW3JDZ877YQ178,01KQFFFBP2HQAW3JDZ877YQ178,0,0.4.5
1777562270227206000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,off,on,2026-04-30T18:17:50.319238+03:00,01KQFFFEH3HPAM6YJBP78ASJRQ,01KQFFFEH3HPAM6YJBP78ASJRQ,0,0.4.5
1777562273021336000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,on,off,2026-04-30T18:17:53.110425+03:00,01KQFFFH8E3X4MWS2Q0M48JC94,01KQFFFH8E3X4MWS2Q0M48JC94,0,0.4.5
1777562275910732000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,off,on,2026-04-30T18:17:56.002998+03:00,01KQFFFM2ZBCYVV68XX55B7F9H,01KQFFFM2ZBCYVV68XX55B7F9H,0,0.4.5
1777562278886861000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline,,0,state_changed,0,,,on,off,2026-04-30T18:17:58.969014+03:00,01KQFFFPZK7PJP0VPBGGY66E93,01KQFFFPZK7PJP0VPBGGY66E93,0,0.4.5
