command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
1,on,0,1777564101971307000,2026-04-30T18:48:22.064+03:00,200,,0.4.5
2,off,2965,1777564104940875000,2026-04-30T18:48:25.033+03:00,200,,0.4.5
3,on,5835,1777564107811355000,2026-04-30T18:48:27.889+03:00,200,,0.4.5
4,off,9084,1777564111060356000,2026-04-30T18:48:31.571+03:00,200,,0.4.5
5,on,11859,1777564113834578000,2026-04-30T18:48:33.912+03:00,200,,0.4.5
6,off,14787,1777564116763394000,2026-04-30T18:48:36.850+03:00,200,,0.4.5
7,on,17696,1777564119668579000,2026-04-30T18:48:39.753+03:00,200,,0.4.5
8,off,20492,1777564122468330000,2026-04-30T18:48:42.558+03:00,200,,0.4.5
9,on,23390,1777564125364968000,2026-04-30T18:48:45.462+03:00,200,,0.4.5
10,off,26351,1777564128324270000,2026-04-30T18:48:48.404+03:00,200,,0.4.5
11,on,29164,1777564131137047000,2026-04-30T18:48:51.220+03:00,200,,0.4.5
12,off,31950,1777564133921435000,2026-04-30T18:48:54.010+03:00,200,,0.4.5
13,on,35033,1777564137004945000,2026-04-30T18:48:57.136+03:00,200,,0.4.5
14,off,37997,1777564139969510000,2026-04-30T18:49:00.058+03:00,200,,0.4.5
15,on,40987,1777564142960877000,2026-04-30T18:49:03.045+03:00,200,,0.4.5
16,off,43763,1777564145739310000,2026-04-30T18:49:05.839+03:00,200,,0.4.5
17,on,46979,1777564148955304000,2026-04-30T18:49:09.038+03:00,200,,0.4.5
18,off,50193,1777564152169304000,2026-04-30T18:49:12.264+03:00,200,,0.4.5
19,on,53216,1777564155188010000,2026-04-30T18:49:15.298+03:00,200,,0.4.5
20,off,56425,1777564158401280000,2026-04-30T18:49:18.482+03:00,200,,0.4.5
21,on,59218,1777564161190995000,2026-04-30T18:49:21.277+03:00,200,,0.4.5
22,off,62319,1777564164294234000,2026-04-30T18:49:24.393+03:00,200,,0.4.5
23,on,65244,1777564167220252000,2026-04-30T18:49:27.305+03:00,200,,0.4.5
24,off,68001,1777564169977279000,2026-04-30T18:49:30.058+03:00,200,,0.4.5
25,on,71239,1777564173212564000,2026-04-30T18:49:33.297+03:00,200,,0.4.5
26,off,74348,1777564176324263000,2026-04-30T18:49:36.413+03:00,200,,0.4.5
27,on,77373,1777564179349272000,2026-04-30T18:49:39.453+03:00,200,,0.4.5
28,off,80435,1777564182411300000,2026-04-30T18:49:42.511+03:00,200,,0.4.5
29,on,83310,1777564185284764000,2026-04-30T18:49:45.365+03:00,200,,0.4.5
30,off,86279,1777564188250858000,2026-04-30T18:49:48.333+03:00,200,,0.4.5
31,on,89518,1777564191491437000,2026-04-30T18:49:51.591+03:00,200,,0.4.5
32,off,92684,1777564194655830000,2026-04-30T18:49:54.746+03:00,200,,0.4.5
33,on,95434,1777564197407162000,2026-04-30T18:49:57.505+03:00,200,,0.4.5
34,off,98336,1777564200308143000,2026-04-30T18:50:00.401+03:00,200,,0.4.5
35,on,101446,1777564203419702000,2026-04-30T18:50:03.506+03:00,200,,0.4.5
36,off,104306,1777564206278123000,2026-04-30T18:50:06.373+03:00,200,,0.4.5
37,on,107340,1777564209315463000,2026-04-30T18:50:09.399+03:00,200,,0.4.5
38,off,110363,1777564212335819000,2026-04-30T18:50:12.443+03:00,200,,0.4.5
39,on,113503,1777564215479221000,2026-04-30T18:50:15.577+03:00,200,,0.4.5
40,off,116393,1777564218364636000,2026-04-30T18:50:18.449+03:00,200,,0.4.5
41,on,119215,1777564221187708000,2026-04-30T18:50:21.283+03:00,200,,0.4.5
42,off,122280,1777564224253853000,2026-04-30T18:50:24.408+03:00,200,,0.4.5
43,on,125043,1777564227015714000,2026-04-30T18:50:27.108+03:00,200,,0.4.5
44,off,128137,1777564230111673000,2026-04-30T18:50:30.198+03:00,200,,0.4.5
45,on,130944,1777564232920186000,2026-04-30T18:50:33.008+03:00,200,,0.4.5
46,off,133791,1777564235767183000,2026-04-30T18:50:35.848+03:00,200,,0.4.5
47,on,136561,1777564238532542000,2026-04-30T18:50:38.618+03:00,200,,0.4.5
48,off,139323,1777564241298771000,2026-04-30T18:50:41.380+03:00,200,,0.4.5
49,on,142562,1777564244538173000,2026-04-30T18:50:44.621+03:00,200,,0.4.5
50,off,145319,1777564247295169000,2026-04-30T18:50:47.377+03:00,200,,0.4.5
51,on,148350,1777564250324074000,2026-04-30T18:50:50.404+03:00,200,,0.4.5
52,off,151472,1777564253448156000,2026-04-30T18:50:53.538+03:00,200,,0.4.5
53,on,154656,1777564256631679000,2026-04-30T18:50:56.716+03:00,200,,0.4.5
54,off,157646,1777564259622143000,2026-04-30T18:50:59.707+03:00,200,,0.4.5
55,on,160692,1777564262665279000,2026-04-30T18:51:02.749+03:00,200,,0.4.5
56,off,163759,1777564265735128000,2026-04-30T18:51:05.869+03:00,200,,0.4.5
57,on,166629,1777564268601329000,2026-04-30T18:51:08.688+03:00,200,,0.4.5
58,off,169726,1777564271698710000,2026-04-30T18:51:11.799+03:00,200,,0.4.5
59,on,172848,1777564274820894000,2026-04-30T18:51:14.902+03:00,200,,0.4.5
60,off,175848,1777564277824120000,2026-04-30T18:51:17.920+03:00,200,,0.4.5
61,on,178634,1777564280605860000,2026-04-30T18:51:20.707+03:00,200,,0.4.5
62,off,181760,1777564283736102000,2026-04-30T18:51:23.824+03:00,200,,0.4.5
63,on,184791,1777564286766396000,2026-04-30T18:51:26.878+03:00,200,,0.4.5
64,off,187987,1777564289963113000,2026-04-30T18:51:30.046+03:00,200,,0.4.5
65,on,190872,1777564292845480000,2026-04-30T18:51:32.923+03:00,200,,0.4.5
66,off,193743,1777564295716568000,2026-04-30T18:51:35.806+03:00,200,,0.4.5
67,on,196683,1777564298654135000,2026-04-30T18:51:38.738+03:00,200,,0.4.5
68,off,199762,1777564301733937000,2026-04-30T18:51:41.821+03:00,200,,0.4.5
69,on,202561,1777564304535977000,2026-04-30T18:51:44.624+03:00,200,,0.4.5
70,off,205744,1777564307715416000,2026-04-30T18:51:47.800+03:00,200,,0.4.5
71,on,208708,1777564310680369000,2026-04-30T18:51:50.764+03:00,200,,0.4.5
72,off,211555,1777564313531101000,2026-04-30T18:51:53.618+03:00,200,,0.4.5
73,on,214471,1777564316447055000,2026-04-30T18:51:56.541+03:00,200,,0.4.5
74,off,217390,1777564319365195000,2026-04-30T18:51:59.448+03:00,200,,0.4.5
75,on,220381,1777564322357053000,2026-04-30T18:52:02.494+03:00,200,,0.4.5
76,off,223585,1777564325561033000,2026-04-30T18:52:05.655+03:00,200,,0.4.5
77,on,226575,1777564328548522000,2026-04-30T18:52:08.649+03:00,200,,0.4.5
78,off,229683,1777564331655578000,2026-04-30T18:52:11.739+03:00,200,,0.4.5
79,on,232669,1777564334644616000,2026-04-30T18:52:14.735+03:00,200,,0.4.5
80,off,235724,1777564337700034000,2026-04-30T18:52:17.783+03:00,200,,0.4.5
81,on,238477,1777564340452546000,2026-04-30T18:52:20.548+03:00,200,,0.4.5
82,off,241524,1777564343500040000,2026-04-30T18:52:23.588+03:00,200,,0.4.5
83,on,244674,1777564346646226000,2026-04-30T18:52:26.737+03:00,200,,0.4.5
84,off,247726,1777564349699986000,2026-04-30T18:52:29.814+03:00,200,,0.4.5
85,on,250882,1777564352856735000,2026-04-30T18:52:32.953+03:00,200,,0.4.5
86,off,253772,1777564355745928000,2026-04-30T18:52:35.830+03:00,200,,0.4.5
87,on,256887,1777564358861330000,2026-04-30T18:52:38.945+03:00,200,,0.4.5
88,off,259830,1777564361801905000,2026-04-30T18:52:41.899+03:00,200,,0.4.5
89,on,262615,1777564364588355000,2026-04-30T18:52:44.683+03:00,200,,0.4.5
