command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
1,on,0,1777564612670466000,2026-04-30T18:56:52.754+03:00,200,,0.4.5
2,off,2907,1777564615582388000,2026-04-30T18:56:55.667+03:00,200,,0.4.5
3,on,5995,1777564618667074000,2026-04-30T18:56:58.747+03:00,200,,0.4.5
4,off,8978,1777564621652912000,2026-04-30T18:57:01.737+03:00,200,,0.4.5
5,on,11864,1777564624538252000,2026-04-30T18:57:04.622+03:00,200,,0.4.5
6,off,14688,1777564627360224000,2026-04-30T18:57:07.452+03:00,200,,0.4.5
7,on,17509,1777564630181233000,2026-04-30T18:57:10.268+03:00,200,,0.4.5
8,off,20453,1777564633128529000,2026-04-30T18:57:13.223+03:00,200,,0.4.5
9,on,23446,1777564636121494000,2026-04-30T18:57:16.202+03:00,200,,0.4.5
10,off,26384,1777564639056707000,2026-04-30T18:57:19.147+03:00,200,,0.4.5
11,on,29368,1777564642040957000,2026-04-30T18:57:22.124+03:00,200,,0.4.5
12,off,32615,1777564645288929000,2026-04-30T18:57:25.379+03:00,200,,0.4.5
13,on,35513,1777564648188357000,2026-04-30T18:57:28.289+03:00,200,,0.4.5
14,off,38526,1777564651201342000,2026-04-30T18:57:31.290+03:00,200,,0.4.5
15,on,41664,1777564654338849000,2026-04-30T18:57:34.422+03:00,200,,0.4.5
16,off,44593,1777564657266660000,2026-04-30T18:57:37.359+03:00,200,,0.4.5
17,on,47621,1777564660294654000,2026-04-30T18:57:40.374+03:00,200,,0.4.5
18,off,50691,1777564663363948000,2026-04-30T18:57:43.507+03:00,200,,0.4.5
19,on,53769,1777564666444471000,2026-04-30T18:57:46.560+03:00,200,,0.4.5
20,off,56766,1777564669441449000,2026-04-30T18:57:49.524+03:00,200,,0.4.5
21,on,59958,1777564672633437000,2026-04-30T18:57:52.723+03:00,200,,0.4.5
22,off,62910,1777564675585441000,2026-04-30T18:57:55.669+03:00,200,,0.4.5
23,on,66084,1777564678755358000,2026-04-30T18:57:58.838+03:00,200,,0.4.5
24,off,69061,1777564681736026000,2026-04-30T18:58:01.824+03:00,200,,0.4.5
25,on,72259,1777564684934422000,2026-04-30T18:58:05.020+03:00,200,,0.4.5
26,off,75043,1777564687718424000,2026-04-30T18:58:07.803+03:00,200,,0.4.5
27,on,78267,1777564690937842000,2026-04-30T18:58:11.020+03:00,200,,0.4.5
28,off,81329,1777564694004475000,2026-04-30T18:58:14.143+03:00,200,,0.4.5
29,on,84456,1777564697126621000,2026-04-30T18:58:17.268+03:00,200,,0.4.5
30,off,87644,1777564700318640000,2026-04-30T18:58:20.416+03:00,200,,0.4.5
31,on,90877,1777564703551140000,2026-04-30T18:58:23.634+03:00,200,,0.4.5
32,off,93729,1777564706400679000,2026-04-30T18:58:26.482+03:00,200,,0.4.5
33,on,96752,1777564709425498000,2026-04-30T18:58:29.512+03:00,200,,0.4.5
34,off,99603,1777564712277572000,2026-04-30T18:58:32.365+03:00,200,,0.4.5
35,on,102603,1777564715275646000,2026-04-30T18:58:35.361+03:00,200,,0.4.5
