pi_rx_time_ns,address,name,rssi,company_id,version,node_num,exp_code,seq,t_local_us,raw_hex,pipeline_version
1777647737585018000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W3BL,1,3962013,02015733424c010000009d743c00,0.4.6
1777647740446989000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W3BL,2,6738003,02015733424c0200000053d06600,0.4.6
1777647743158038000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W3BL,3,9622003,02015733424c03000000f3d19200,0.4.6
1777647746440512000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,4,12536003,02015733424c04000000c348bf00,0.4.6
1777647749173177000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,5,15554003,02015733424c05000000d355ed00,0.4.6
1777647752428807000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-71,4660,2,1,W3BL,6,18669003,02015733424c06000000cbdd1c01,0.4.6
1777647755166130000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-71,4660,2,1,W3BL,7,21495003,02015733424c07000000dbfc4701,0.4.6
1777647757884508000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-71,4660,2,1,W3BL,8,24354003,02015733424c08000000d39c7301,0.4.6
1777647761148970000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,9,27527003,02015733424c090000005b07a401,0.4.6
1777647764440859000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-71,4660,2,1,W3BL,10,30732003,02015733424c0a000000e3eed401,0.4.6
1777647767160432000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,11,33629003,02015733424c0b0000004b230102,0.4.6
1777647770122663000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,12,36455003,02015733424c0c0000005b422c02,0.4.6
1777647773138200000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W3BL,13,39427003,02015733424c0d000000bb9b5902,0.4.6
1777647776149394000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-71,4660,2,1,W3BL,14,42616003,02015733424c0e000000c3448a02,0.4.6
1777647779462749000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W3BL,15,45697003,02015733424c0f000000eb47b902,0.4.6
1777647782160780000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,16,48447003,02015733424c100000001b3ee302,0.4.6
1777647785143786000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W3BL,17,51609003,02015733424c11000000ab7d1303,0.4.6
1777647791148275000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,19,57574003,02015733424c1300000073826e03,0.4.6
1777647794155642000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W3BL,20,60341003,02015733424c140000000bbb9803,0.4.6
