pi_rx_time_ns,address,name,rssi,company_id,version,node_num,exp_code,seq,t_local_us,raw_hex,pipeline_version
1777727604112298000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W3BL,1,4197012,02015733424c01000000940a4000,0.4.6
1777727607396606000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W3BL,2,7177004,02015733424c020000002c836d00,0.4.6
1777727610054399000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,3,10101004,02015733424c030000000c219a00,0.4.6
1777727612789988000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-68,4660,2,1,W3BL,4,12924003,02015733424c040000006334c500,0.4.6
1777727616051726000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-73,4660,2,1,W3BL,5,16052004,02015733424c0500000024eff400,0.4.6
1777727619062675000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W3BL,6,19156003,02015733424c06000000234c2401,0.4.6
1777727622355790000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,7,22349003,02015733424c07000000cb045501,0.4.6
1777727625092755000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,8,25266003,02015733424c0800000053878101,0.4.6
1777727628083198000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,9,28307003,02015733424c090000003beeaf01,0.4.6
1777727631074907000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,10,31167003,02015733424c0a0000001b92db01,0.4.6
1777727634066953000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,11,34199003,02015733424c0b000000dbd50902,0.4.6
1777727637077798000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,12,37074003,02015733424c0c00000053b43502,0.4.6
1777727640062614000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,13,40193003,02015733424c0d000000eb4b6502,0.4.6
1777727643356081000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,14,43354004,02015733424c0e00000094879502,0.4.6
