pi_rx_time_ns,address,name,rssi,company_id,version,node_num,exp_code,seq,t_local_us,raw_hex,pipeline_version
1777738513962138000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W3BL,1,4415012,02015733424c01000000245e4300,0.4.6
1777738516968474000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,2,7198003,02015733424c0200000033d56d00,0.4.6
1777738519947294000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,3,10253003,02015733424c03000000cb729c00,0.4.6
1777738522976243000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,4,13335003,02015733424c04000000db79cb00,0.4.6
1777738525961996000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,5,16191003,02015733424c050000001b0ef700,0.4.6
1777738528859899000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W3BL,6,19092003,02015733424c0600000023522301,0.4.6
1777738531583475000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W3BL,7,21981004,02015733424c070000004c674f01,0.4.6
1777738534570640000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W3BL,8,24982003,02015733424c08000000f3317d01,0.4.6
1777738540568622000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,10,30928004,02015733424c0a00000084ecd701,0.4.6
1777738543891295000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,11,34073003,02015733424c0b000000abe90702,0.4.6
1777738546592239000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,12,37043003,02015733424c0c0000003b3b3502,0.4.6
1777738549572426000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,13,39891003,02015733424c0d0000003bb06002,0.4.6
1777738552588777000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,14,42908003,02015733424c0e00000063b98e02,0.4.6
1777738555293757000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,15,45702003,02015733424c0f000000735bb902,0.4.6
1777738558562233000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,16,48924003,02015733424c100000006385ea02,0.4.6
1777738561572013000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,17,52022003,02015733424c11000000f3ca1903,0.4.6
1777738564565603000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W3BL,18,54793003,02015733424c120000002b134403,0.4.6
1777738567287011000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,19,57557003,02015733424c130000000b406e03,0.4.6
1777738569958122000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,20,60408003,02015733424c14000000c3c09903,0.4.6
1777738572993746000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,21,63447003,02015733424c15000000db1fc803,0.4.6
1777738576304308000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,22,66525003,02015733424c160000004b17f703,0.4.6
1777738579281598000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,23,69732003,02015733424c17000000a3062804,0.4.6
1777738582291265000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,24,72603003,02015733424c180000007bd55304,0.4.6
1777738585270791000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,25,75720003,02015733424c1900000043658304,0.4.6
1777738588563376000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,26,78879003,02015733424c1a0000001b99b304,0.4.6
1777738591282165000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,27,81646003,02015733424c1b000000b3d1dd04,0.4.6
1777738594272164000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,28,84592003,02015733424c1c00000083c50a05,0.4.6
1777738597272962000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,29,87678003,02015733424c1d00000033dc3905,0.4.6
1777738600560783000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,30,90780003,02015733424c1e00000063316905,0.4.6
1777738603555333000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,31,93865003,02015733424c1f0000002b449805,0.4.6
1777738606882867000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,32,97067003,02015733424c20000000fb1fc905,0.4.6
1777738609861354000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,33,100312003,02015733424c21000000c3a3fa05,0.4.6
1777738612847102000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,34,103129003,02015733424c22000000ab9f2506,0.4.6
1777738615843619000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,35,106064003,02015733424c2300000083685206,0.4.6
1777738618585719000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W3BL,36,108863003,02015733424c240000001b1e7d06,0.4.6
1777738621545958000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W3BL,37,111766003,02015733424c25000000f369a906,0.4.6
1777738624280066000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,38,114732003,02015733424c26000000e3abd606,0.4.6
1777738627297101000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,39,117748004,02015733424c2700000024b10407,0.4.6
1777738630309173000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,40,120761003,02015733424c28000000abaa3207,0.4.6
1777738633463472000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W3BL,41,123872004,02015733424c2900000004236207,0.4.6
1777738636462128000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,42,126819003,02015733424c2a000000bb1a8f07,0.4.6
1777738639484710000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,43,129934003,02015733424c2b000000b3a2be07,0.4.6
1777738642782707000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,44,133144003,02015733424c2c000000c39def07,0.4.6
1777738645753828000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W3BL,45,136163003,02015733424c2d000000bbae1d08,0.4.6
1777738648748781000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W3BL,46,139012003,02015733424c2e000000a3274908,0.4.6
