pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777805366367411000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:43:16.478519+03:00,01KQPPYVSXD6RFWG0YC0ZS8SAG,01KQPPYVSXD6RFWG0YC0ZS8SAG,0,0.4.7
1777805369479277000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:43:19.594081+03:00,01KQPPYYT8VSXH63MG74BAF748,01KQPPYYT8VSXH63MG74BAF748,0,0.4.7
1777805372529934000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:43:22.645471+03:00,01KQPPZ1THT5RKRKWWXRV85HP6,01KQPPZ1THT5RKRKWWXRV85HP6,0,0.4.7
1777805375633040000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:43:25.745610+03:00,01KQPPZ4VWY8N4YEH12Z04S876,01KQPPZ4VWY8N4YEH12Z04S876,0,0.4.7
1777805378503359000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:43:28.607602+03:00,01KQPPZ7N0V8CZMK5CFQ2FQXB3,01KQPPZ7N0V8CZMK5CFQ2FQXB3,0,0.4.7
1777805381710280000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:43:31.825355+03:00,01KQPPZASKPZ8KZ2FXWBVNNMED,01KQPPZASKPZ8KZ2FXWBVNNMED,0,0.4.7
1777805384877047000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:43:34.991884+03:00,01KQPPZDWG6Y0KM2R8XHDMXJ0X,01KQPPZDWG6Y0KM2R8XHDMXJ0X,0,0.4.7
1777805387866969000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:43:37.982206+03:00,01KQPPZGSZGENY101H5S2WSSSG,01KQPPZGSZGENY101H5S2WSSSG,0,0.4.7
1777805391070405000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:43:41.183394+03:00,01KQPPZKXGEEDPHSM0RXVBJN94,01KQPPZKXGEEDPHSM0RXVBJN94,0,0.4.7
1777805394321240000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:43:44.434096+03:00,01KQPPZQ26A2MXKRH8MBV6Y9ZJ,01KQPPZQ26A2MXKRH8MBV6Y9ZJ,0,0.4.7
1777805397316056000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:43:47.427370+03:00,01KQPPZT0EMT8ER6ZGVZGAGE7Z,01KQPPZT0EMT8ER6ZGVZGAGE7Z,0,0.4.7
1777805400576141000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:43:50.687703+03:00,01KQPPZX521GMFZ7C4Y9QH5HSS,01KQPPZX521GMFZ7C4Y9QH5HSS,0,0.4.7
1777805403276006000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:43:53.390840+03:00,01KQPPZZVG8M7WX2YZV9MEH7XG,01KQPPZZVG8M7WX2YZV9MEH7XG,0,0.4.7
1777805406385482000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:43:56.497336+03:00,01KQPQ02WN1WW15RQCH8A5DZCV,01KQPQ02WN1WW15RQCH8A5DZCV,0,0.4.7
1777805409632306000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:43:59.744823+03:00,01KQPQ061FE37F0YH1X6BA2W7Z,01KQPQ061FE37F0YH1X6BA2W7Z,0,0.4.7
1777805412458531000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:44:02.571633+03:00,01KQPQ08T8N2K6MD5N2P6MC08F,01KQPQ08T8N2K6MD5N2P6MC08F,0,0.4.7
1777805415324864000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:44:05.440226+03:00,01KQPQ0BM2ENB2XCVVBTMCPPSN,01KQPQ0BM2ENB2XCVVBTMCPPSN,0,0.4.7
1777805418150040000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:44:08.258025+03:00,01KQPQ0EBZW4SNBJCFTMKTT165,01KQPQ0EBZW4SNBJCFTMKTT165,0,0.4.7
1777805421264380000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:44:11.379612+03:00,01KQPQ0HDNKN5BHH9Z39T8MMKZ,01KQPQ0HDNKN5BHH9Z39T8MMKZ,0,0.4.7
1777805424489313000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:44:14.604433+03:00,01KQPQ0MJDWDKH477BM3GB37E9,01KQPQ0MJDWDKH477BM3GB37E9,0,0.4.7
1777805427383539000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:44:17.499256+03:00,01KQPQ0QCX2VE85ESK4SKMWG6J,01KQPQ0QCX2VE85ESK4SKMWG6J,0,0.4.7
1777805430202087000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:44:20.317392+03:00,01KQPQ0T52Y44VQ1HTKTFJYZJB,01KQPQ0T52Y44VQ1HTKTFJYZJB,0,0.4.7
1777805433093068000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:44:23.196335+03:00,01KQPQ0WYYD5WR232T99JWM1ST,01KQPQ0WYYD5WR232T99JWM1ST,0,0.4.7
1777805436293853000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:44:26.398035+03:00,01KQPQ102Z6368AVVPYVG7EFRJ,01KQPQ102Z6368AVVPYVG7EFRJ,0,0.4.7
1777805439133942000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:44:29.249643+03:00,01KQPQ12W89SGVA6HFMZX7H1YK,01KQPQ12W89SGVA6HFMZX7H1YK,0,0.4.7
1777805441960418000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,on,off,2026-05-03T13:44:32.076146+03:00,01KQPQ15M56XVK9NN4AY7S7VQC,01KQPQ15M56XVK9NN4AY7S7VQC,0,0.4.7
1777805445076370000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_baseline_ch1,,0,state_changed,0,,,off,on,2026-05-03T13:44:35.191960+03:00,01KQPQ18NFT1NFFXYPAJQ8GZN1,01KQPQ18NFT1NFFXYPAJQ8GZN1,0,0.4.7
