command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
1,on,0,1777807556150647000,2026-05-03T14:25:56.225+03:00,200,,0.4.7
2,off,3063,1777807559214412000,2026-05-03T14:25:59.340+03:00,200,,0.4.7
3,on,6155,1777807562315715000,2026-05-03T14:26:02.428+03:00,200,,0.4.7
4,off,9272,1777807565432680000,2026-05-03T14:26:05.543+03:00,200,,0.4.7
5,on,12123,1777807568274847000,2026-05-03T14:26:08.364+03:00,200,,0.4.7
6,off,15343,1777807571502704000,2026-05-03T14:26:11.594+03:00,200,,0.4.7
7,on,18503,1777807574654773000,2026-05-03T14:26:14.746+03:00,200,,0.4.7
8,off,21497,1777807577649995000,2026-05-03T14:26:17.739+03:00,200,,0.4.7
9,on,24683,1777807580835474000,2026-05-03T14:26:20.926+03:00,200,,0.4.7
10,off,27906,1777807584064317000,2026-05-03T14:26:24.141+03:00,200,,0.4.7
11,on,30923,1777807587078192000,2026-05-03T14:26:27.182+03:00,200,,0.4.7
12,off,34145,1777807590300274000,2026-05-03T14:26:30.388+03:00,200,,0.4.7
13,on,36906,1777807593063661000,2026-05-03T14:26:33.149+03:00,200,,0.4.7
14,off,40018,1777807596169221000,2026-05-03T14:26:36.246+03:00,200,,0.4.7
15,on,43242,1777807599397566000,2026-05-03T14:26:39.476+03:00,200,,0.4.7
16,off,46083,1777807602243594000,2026-05-03T14:26:42.321+03:00,200,,0.4.7
17,on,48956,1777807605113133000,2026-05-03T14:26:45.199+03:00,200,,0.4.7
18,off,51769,1777807607929080000,2026-05-03T14:26:48.004+03:00,200,,0.4.7
19,on,54896,1777807611056566000,2026-05-03T14:26:51.138+03:00,200,,0.4.7
20,off,58119,1777807614272563000,2026-05-03T14:26:54.350+03:00,200,,0.4.7
21,on,61017,1777807617170602000,2026-05-03T14:26:57.271+03:00,200,,0.4.7
22,off,63838,1777807619997926000,2026-05-03T14:27:00.084+03:00,200,,0.4.7
23,on,66716,1777807622870168000,2026-05-03T14:27:02.954+03:00,200,,0.4.7
24,off,69913,1777807626064455000,2026-05-03T14:27:06.145+03:00,200,,0.4.7
25,on,72772,1777807628930943000,2026-05-03T14:27:09.008+03:00,200,,0.4.7
26,off,75586,1777807631746377000,2026-05-03T14:27:11.829+03:00,200,,0.4.7
27,on,78700,1777807634854461000,2026-05-03T14:27:14.942+03:00,200,,0.4.7
28,off,81874,1777807638029765000,2026-05-03T14:27:18.108+03:00,200,,0.4.7
29,on,85067,1777807641226370000,2026-05-03T14:27:21.307+03:00,200,,0.4.7
30,off,88239,1777807644398156000,2026-05-03T14:27:24.477+03:00,200,,0.4.7
31,on,91276,1777807647436464000,2026-05-03T14:27:27.533+03:00,200,,0.4.7
32,off,94057,1777807650214053000,2026-05-03T14:27:30.292+03:00,200,,0.4.7
33,on,96826,1777807652979662000,2026-05-03T14:27:33.057+03:00,200,,0.4.7
34,off,99621,1777807655781470000,2026-05-03T14:27:35.867+03:00,200,,0.4.7
35,on,102532,1777807658687025000,2026-05-03T14:27:38.769+03:00,200,,0.4.7
36,off,105706,1777807661859892000,2026-05-03T14:27:41.940+03:00,200,,0.4.7
37,on,108923,1777807665082839000,2026-05-03T14:27:45.160+03:00,200,,0.4.7
38,off,111792,1777807667948250000,2026-05-03T14:27:48.033+03:00,200,,0.4.7
39,on,114630,1777807670790413000,2026-05-03T14:27:50.872+03:00,200,,0.4.7
