pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777807923728195000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:25:53.846315+03:00,01KQPSCX7R6B9PBW1RAPJ9ZJW3,01KQPSCX7R6B9PBW1RAPJ9ZJW3,0,0.4.7
1777807926828035000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:25:56.947928+03:00,01KQPSD08MPFS4PKY5S4RE57T1,01KQPSD08MPFS4PKY5S4RE57T1,0,0.4.7
1777807929925214000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:00.052219+03:00,01KQPSD39REBDJWYYZEDTYZ7VW,01KQPSD39REBDJWYYZEDTYZ7VW,0,0.4.7
1777807933133501000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:03.262776+03:00,01KQPSD6E0NZ4RVXNPPNC2VV7B,01KQPSD6E0NZ4RVXNPPNC2VV7B,0,0.4.7
1777807935926671000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:06.056158+03:00,01KQPSD95APAZBMTWZNRMG7GHM,01KQPSD95APAZBMTWZNRMG7GHM,0,0.4.7
1777807938928429000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:09.052478+03:00,01KQPSDC2XS39BRP523KJ0B8D1,01KQPSDC2XS39BRP523KJ0B8D1,0,0.4.7
1777807942069015000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:12.198701+03:00,01KQPSDF583FAG3XW6HC9937CZ,01KQPSDF583FAG3XW6HC9937CZ,0,0.4.7
1777807945044077000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:15.168724+03:00,01KQPSDJ1VEQH8B0MQJXJ6BY2K,01KQPSDJ1VEQH8B0MQJXJ6BY2K,0,0.4.7
1777807947945552000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:18.075014+03:00,01KQPSDMWW9BX6BBHSQM1YN53M,01KQPSDMWW9BX6BBHSQM1YN53M,0,0.4.7
1777807951142954000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:21.261393+03:00,01KQPSDR08KZWS8ZQ12VBQVS1P,01KQPSDR08KZWS8ZQ12VBQVS1P,0,0.4.7
1777807954329629000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:24.449407+03:00,01KQPSDV3YNP45BDET9Y3VANPY,01KQPSDV3YNP45BDET9Y3VANPY,0,0.4.7
1777807957433401000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:27.553143+03:00,01KQPSDY4ZRSEQ3BDPW29SWFZT,01KQPSDY4ZRSEQ3BDPW29SWFZT,0,0.4.7
1777807960345724000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:30.464024+03:00,01KQPSE1016HCQA33KHTKXHD7W,01KQPSE1016HCQA33KHTKXHD7W,0,0.4.7
1777807963304379000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:33.422140+03:00,01KQPSE3WE839T0Y1KEQ3RSV7D,01KQPSE3WE839T0Y1KEQ3RSV7D,0,0.4.7
1777807966481508000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:36.608193+03:00,01KQPSE701Z7P3475C95G747ME,01KQPSE701Z7P3475C95G747ME,0,0.4.7
1777807969553723000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:39.681652+03:00,01KQPSE9YC0GG17AQ6Y4048NR6,01KQPSE9YC0GG17AQ6Y4048NR6,0,0.4.7
1777807972660114000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:42.788496+03:00,01KQPSED0QG40R9VYS6R5ZM8N5,01KQPSED0QG40R9VYS6R5ZM8N5,0,0.4.7
1777807975579282000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:45.708892+03:00,01KQPSEFWFDKZ1RH71Y9FGP2CF,01KQPSEFWFDKZ1RH71Y9FGP2CF,0,0.4.7
1777807978535321000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:48.664838+03:00,01KQPSEJRSJVXTVRYN64KQ3PTH,01KQPSEJRSJVXTVRYN64KQ3PTH,0,0.4.7
1777807981647237000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:51.776925+03:00,01KQPSENS4XEKM5R96CN2RN4TQ,01KQPSENS4XEKM5R96CN2RN4TQ,0,0.4.7
1777807984571916000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:26:54.701501+03:00,01KQPSERNN35B5XAFD6XDMPBAW,01KQPSERNN35B5XAFD6XDMPBAW,0,0.4.7
1777807987391580000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:26:57.519457+03:00,01KQPSEVDHSBM6XPX9CXG6898R,01KQPSEVDHSBM6XPX9CXG6898R,0,0.4.7
1777807990254346000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:00.384026+03:00,01KQPSEY6HT4CTMGG9770YC8PE,01KQPSEY6HT4CTMGG9770YC8PE,0,0.4.7
1777807993246517000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:03.372440+03:00,01KQPSF14A2EKYZQKZEMZPZYGV,01KQPSF14A2EKYZQKZEMZPZYGV,0,0.4.7
1777807996184975000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:06.304963+03:00,01KQPSF4017XRPF87BES9AMGV5,01KQPSF4017XRPF87BES9AMGV5,0,0.4.7
1777807999382659000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:09.512441+03:00,01KQPSF74A94R0N6QXK39HSJM3,01KQPSF74A94R0N6QXK39HSJM3,0,0.4.7
1777808002643881000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:12.769060+03:00,01KQPSFA9XBTY7P9C7S2S48Q13,01KQPSFA9XBTY7P9C7S2S48Q13,0,0.4.7
1777808005746824000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:15.876807+03:00,01KQPSFDB3KNHX8Y39FJCX30AD,01KQPSFDB3KNHX8Y39FJCX30AD,0,0.4.7
1777808008618794000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:18.748448+03:00,01KQPSFG4TKAC0FBDNQ8059ABW,01KQPSFG4TKAC0FBDNQ8059ABW,0,0.4.7
1777808011421409000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:21.548849+03:00,01KQPSFJWHT5B7S897089J0XV1,01KQPSFJWHT5B7S897089J0XV1,0,0.4.7
1777808014381134000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:24.511006+03:00,01KQPSFNS1KJ3DBWZ9PMVK12N2,01KQPSFNS1KJ3DBWZ9PMVK12N2,0,0.4.7
1777808017577175000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:27.696576+03:00,01KQPSFRWGXFDWBD29XWJYG616,01KQPSFRWGXFDWBD29XWJYG616,0,0.4.7
1777808020391385000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:30.516818+03:00,01KQPSFVMD8ZJM5BFFBRC2YPYF,01KQPSFVMD8ZJM5BFFBRC2YPYF,0,0.4.7
1777808023526788000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:33.656628+03:00,01KQPSFYPK85AHQQ683DNT5T0D,01KQPSFYPK85AHQQ683DNT5T0D,0,0.4.7
1777808026758170000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:36.888205+03:00,01KQPSG1VS20FG46WDE7CTSPDQ,01KQPSG1VS20FG46WDE7CTSPDQ,0,0.4.7
1777808029992082000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:40.113109+03:00,01KQPSG50H76VDKXB0BC8M9CBY,01KQPSG50H76VDKXB0BC8M9CBY,0,0.4.7
1777808033129274000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:43.259186+03:00,01KQPSG82RZMPR4322WPFRKMCQ,01KQPSG82RZMPR4322WPFRKMCQ,0,0.4.7
1777808036316268000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:46.446204+03:00,01KQPSGB6GREWZSXPCPGGT75A4,01KQPSGB6GREWZSXPCPGGT75A4,0,0.4.7
1777808039425293000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:49.555175+03:00,01KQPSGE7B9PYTKRD01JDQ36QM,01KQPSGE7B9PYTKRD01JDQ36QM,0,0.4.7
1777808042169539000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:52.299340+03:00,01KQPSGGXCN6ZQA2C956J2FHVK,01KQPSGGXCN6ZQA2C956J2FHVK,0,0.4.7
1777808044995950000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:27:55.125913+03:00,01KQPSGKNQHSA5B0YVEQ19DPT4,01KQPSGKNQHSA5B0YVEQ19DPT4,0,0.4.7
1777808047928158000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:27:58.058276+03:00,01KQPSGPHC6ZZAGN717T7XYF7S,01KQPSGPHC6ZZAGN717T7XYF7S,0,0.4.7
1777808050893201000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:28:01.020013+03:00,01KQPSGSDW2520VPSE3BGCM7GM,01KQPSGSDW2520VPSE3BGCM7GM,0,0.4.7
1777808053850240000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:28:03.980240+03:00,01KQPSGWAEQEMFXPZZFXBRFNMJ,01KQPSGWAEQEMFXPZZFXBRFNMJ,0,0.4.7
1777808056787874000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:28:06.916156+03:00,01KQPSGZ687SASANWW20YWSA9M,01KQPSGZ687SASANWW20YWSA9M,0,0.4.7
1777808059831819000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:28:09.948021+03:00,01KQPSH24NC3NX2SYSR4222H4N,01KQPSH24NC3NX2SYSR4222H4N,0,0.4.7
1777808062982321000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:28:13.112494+03:00,01KQPSH57HJQPKNNDZG05WGJXA,01KQPSH57HJQPKNNDZG05WGJXA,0,0.4.7
1777808065984809000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:28:16.109571+03:00,01KQPSH856AWN8CNDH67DBT8D9,01KQPSH856AWN8CNDH67DBT8D9,0,0.4.7
1777808069235332000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:28:19.365347+03:00,01KQPSHBATN1RCWYQ1TRENK1W4,01KQPSHBATN1RCWYQ1TRENK1W4,0,0.4.7
1777808072121564000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:28:22.251312+03:00,01KQPSHE53HMCNPFPY23A6S2QG,01KQPSHE53HMCNPFPY23A6S2QG,0,0.4.7
1777808075321606000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:28:25.451291+03:00,01KQPSHH9FHVYAHCJ8WPR2CRG1,01KQPSHH9FHVYAHCJ8WPR2CRG1,0,0.4.7
1777808078334631000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:28:28.455261+03:00,01KQPSHM778DJGFTVSQ79BMRKP,01KQPSHM778DJGFTVSQ79BMRKP,0,0.4.7
1777808081232736000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:28:31.348403+03:00,01KQPSHQ1NZ64MHZQPTC8YPBSK,01KQPSHQ1NZ64MHZQPTC8YPBSK,0,0.4.7
1777808083991666000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,on,off,2026-05-03T14:28:34.121955+03:00,01KQPSHSR9ZKJSWBG8V6J10H17,01KQPSHSR9ZKJSWBG8V6J10H17,0,0.4.7
1777808086942404000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W3_zigbee_auto_heavy_ch1,,0,state_changed,0,,,off,on,2026-05-03T14:28:37.067773+03:00,01KQPSHWME3M1T032R4CA3Y0CP,01KQPSHWME3M1T032R4CA3Y0CP,0,0.4.7
