command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
1,on,0,1777809873189302000,2026-05-03T15:04:33.262+03:00,200,,0.4.7
2,off,3177,1777809876374502000,2026-05-03T15:04:36.449+03:00,200,,0.4.7
3,on,6231,1777809879422697000,2026-05-03T15:04:39.522+03:00,200,,0.4.7
4,off,8987,1777809882179717000,2026-05-03T15:04:42.262+03:00,200,,0.4.7
5,on,11969,1777809885164067000,2026-05-03T15:04:45.240+03:00,200,,0.4.7
6,off,14873,1777809888062488000,2026-05-03T15:04:48.152+03:00,200,,0.4.7
7,on,17973,1777809891172327000,2026-05-03T15:04:51.259+03:00,200,,0.4.7
8,off,21017,1777809894207953000,2026-05-03T15:04:54.301+03:00,200,,0.4.7
9,on,24169,1777809897364879000,2026-05-03T15:04:57.448+03:00,200,,0.4.7
10,off,26949,1777809900144870000,2026-05-03T15:05:00.231+03:00,200,,0.4.7
11,on,29959,1777809903153540000,2026-05-03T15:05:03.229+03:00,200,,0.4.7
12,off,32808,1777809906000433000,2026-05-03T15:05:06.083+03:00,200,,0.4.7
13,on,35583,1777809908775401000,2026-05-03T15:05:08.853+03:00,200,,0.4.7
14,off,38681,1777809911875305000,2026-05-03T15:05:11.974+03:00,200,,0.4.7
15,on,41509,1777809914707220000,2026-05-03T15:05:14.802+03:00,200,,0.4.7
16,off,44527,1777809917725375000,2026-05-03T15:05:17.806+03:00,200,,0.4.7
17,on,47280,1777809920469489000,2026-05-03T15:05:20.558+03:00,200,,0.4.7
18,off,50308,1777809923505939000,2026-05-03T15:05:23.593+03:00,200,,0.4.7
19,on,53253,1777809926445009000,2026-05-03T15:05:26.529+03:00,200,,0.4.7
20,off,56317,1777809929516186000,2026-05-03T15:05:29.592+03:00,200,,0.4.7
21,on,59270,1777809932466915000,2026-05-03T15:05:32.552+03:00,200,,0.4.7
22,off,62310,1777809935507522000,2026-05-03T15:05:35.606+03:00,200,,0.4.7
23,on,65065,1777809938264144000,2026-05-03T15:05:38.342+03:00,200,,0.4.7
24,off,67844,1777809941033552000,2026-05-03T15:05:41.112+03:00,200,,0.4.7
25,on,70975,1777809944174113000,2026-05-03T15:05:44.263+03:00,200,,0.4.7
26,off,73891,1777809947086956000,2026-05-03T15:05:47.183+03:00,200,,0.4.7
27,on,77122,1777809950318894000,2026-05-03T15:05:50.396+03:00,200,,0.4.7
28,off,80051,1777809953242557000,2026-05-03T15:05:53.332+03:00,200,,0.4.7
29,on,83249,1777809956443743000,2026-05-03T15:05:56.520+03:00,200,,0.4.7
30,off,86051,1777809959245456000,2026-05-03T15:05:59.325+03:00,200,,0.4.7
