type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3119827214,-46
event,2,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3121815417,-48
event,3,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3123815417,-42
event,4,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3125815761,-47
event,5,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3127815821,-48
event,6,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3129815804,-47
event,7,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3131815758,-46
event,8,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3133815733,-45
event,9,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3135815833,-47
event,10,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3137815835,-46
event,11,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3139815785,-47
event,12,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3141815825,-41
event,13,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3143815826,-42
event,14,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3145815807,-48
event,15,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3147815754,-47
event,16,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3149815828,-45
event,17,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3151815834,-44
event,18,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3153815805,-47
event,19,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3155815811,-43
event,20,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3157815810,-46
event,21,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3159815810,-49
event,22,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3161815773,-47
event,23,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3163815788,-47
event,24,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3165815769,-48
event,25,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3167815829,-44
event,26,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3169815401,-45
event,27,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3171815384,-48
event,28,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3173815784,-46
event,29,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3175815818,-47
event,30,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3177815839,-44
event,31,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3179815836,-47
event,32,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3181815805,-46
event,33,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3183815817,-46
event,34,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3185815758,-46
event,35,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3187815792,-44
event,36,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3189815791,-48
event,37,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3191815755,-43
event,38,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3193815770,-48
event,39,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3195815814,-45
event,40,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3197815810,-45
event,41,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3199815795,-44
event,42,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3201815826,-46
event,43,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3203815809,-48
event,44,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3205815835,-48
event,45,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3207815846,-44
event,46,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3209815789,-45
event,47,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3211815851,-44
event,48,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3213815812,-46
event,49,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3215815843,-48
event,50,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3217815343,-48
event,51,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3219815433,-40
event,52,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3221815824,-48
event,53,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3223815779,-39
event,54,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3225815818,-47
event,55,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3227815796,-45
event,56,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3229815798,-45
event,57,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3231815759,-46
event,58,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3233815748,-45
event,59,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3235815798,-45
event,60,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3237815791,-45
event,61,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3239815834,-48
event,62,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3241815802,-47
event,63,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3243815754,-45
event,64,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3245815812,-48
event,65,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3247815772,-43
event,66,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3249815841,-45
event,67,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3251815815,-43
event,68,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3253815791,-48
event,69,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3255815849,-41
event,70,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3257815777,-48
event,71,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3259815771,-45
event,72,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3261815839,-48
event,73,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3263815818,-46
event,74,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3265815418,-44
event,75,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3267816206,-48
event,76,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3269815761,-49
event,77,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3271815788,-38
event,78,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3273815803,-45
event,79,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3275815775,-48
event,80,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3277815739,-43
event,81,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3279815829,-45
event,82,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3281815758,-40
event,83,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3283815719,-46
event,84,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3285815826,-40
event,85,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3287815827,-40
event,86,W2_wifi_periodic_2s_quiet_telemetry_v2_rep3,periodic,3289815791,-47
