type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,47163134,4.970000,13.240000,155.163345,771.908386,-48,0,0,-1
power_sample,2,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,47262479,5.236250,5.597500,63.804573,332.213715,-46,1,47186465,76014
power_sample,3,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,47362453,5.213750,6.402500,63.706867,337.099213,-38,1,47186465,175988
power_sample,4,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,47462494,5.185000,5.097500,64.195419,332.213715,-43,1,47186465,276029
power_sample,5,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,47562525,5.005000,12.509999,140.409149,703.511414,-45,1,47186465,376060
power_sample,6,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,47662489,5.222500,6.217500,63.804573,327.328247,-46,1,47186465,476024
power_sample,7,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,47762449,5.213750,4.862500,63.902290,332.213715,-42,2,47675063,87386
power_sample,8,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,47862437,5.213750,4.887500,63.804573,332.213715,-46,2,47675063,187374
power_sample,9,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,47962470,5.227500,5.785000,63.902290,332.213715,-46,2,47675063,287407
power_sample,10,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48062458,5.210000,5.042500,63.804573,337.099213,-47,2,47675063,387395
power_sample,11,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48162429,5.217500,4.990000,63.804573,332.213715,-45,2,47675063,487366
power_sample,12,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48262473,5.231250,5.617500,63.804573,332.213715,-50,3,48174629,87844
power_sample,13,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48362476,5.232500,6.390000,63.804573,337.099213,-45,3,48174629,187847
power_sample,14,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48462443,5.210000,5.027500,63.804573,332.213715,-49,3,48174629,287814
power_sample,15,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48562516,5.006250,12.452499,137.477859,688.854919,-43,3,48174629,387887
power_sample,16,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48662476,5.218750,6.027500,63.804573,315.114502,-41,3,48174629,487847
power_sample,17,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48762516,5.220000,4.952500,63.706867,332.213715,-36,4,48675077,87439
power_sample,18,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48862457,5.213750,4.995000,63.706867,332.213715,-37,4,48675077,187380
power_sample,19,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,48962437,5.215000,5.595000,63.706867,332.213715,-37,4,48675077,287360
power_sample,20,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49062443,5.212500,6.387500,63.706867,337.099213,-34,4,48675077,387366
power_sample,21,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49162429,5.207500,5.095000,63.999996,332.213715,-42,4,48675077,487352
power_sample,22,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49262474,5.227500,5.375000,63.804573,332.213715,-36,5,49174629,87845
power_sample,23,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49362489,5.216250,6.280000,63.706867,327.328247,-44,5,49174629,187860
power_sample,24,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49462443,5.212500,4.880000,63.902290,332.213715,-45,5,49174629,287814
power_sample,25,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49562457,5.175000,5.002500,129.172516,669.312927,-40,5,49174629,387828
power_sample,26,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49662503,5.197500,5.915000,63.804573,307.786255,-36,5,49174629,487874
power_sample,27,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49762458,5.221250,4.957500,63.706867,332.213715,-35,6,49675113,87345
power_sample,28,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49862501,5.200000,12.790000,63.706867,332.213715,-35,6,49675113,187388
power_sample,29,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,49962476,5.220000,5.632500,63.706867,332.213715,-37,6,49675113,287363
power_sample,30,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50062503,5.217500,6.382500,63.706867,337.099213,-39,6,49675113,387390
power_sample,31,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50162453,5.212500,5.015000,63.804573,332.213715,-38,6,49675113,487340
power_sample,32,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50262485,5.201250,5.272500,63.804573,332.213715,-44,7,50175043,87442
power_sample,33,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50362511,5.216250,6.110000,63.706867,320.000000,-37,7,50175043,187468
power_sample,34,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50462503,5.213750,4.855000,63.706867,332.213715,-36,7,50175043,287460
power_sample,35,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50562449,5.221250,4.860000,63.902290,332.213715,-39,7,50175043,387406
power_sample,36,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50662494,5.210000,5.720000,63.804573,332.213715,-40,7,50175043,487451
power_sample,37,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50762440,5.191250,5.067500,63.609161,332.213715,-36,8,50675099,87341
power_sample,38,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50862511,5.031250,12.642500,115.493126,581.374023,-46,8,50675099,187412
power_sample,39,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,50962458,5.220000,5.360000,63.706867,332.213715,-44,8,50675099,287359
power_sample,40,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51062470,5.216250,6.282500,63.706867,327.328247,-44,8,50675099,387371
power_sample,41,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51162480,5.212500,4.982500,63.706867,332.213715,-36,8,50675099,487381
power_sample,42,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51262516,5.225000,5.130000,63.706867,332.213715,-44,9,51175078,87438
power_sample,43,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51362437,5.208750,5.822500,63.706867,332.213715,-37,9,51175078,187359
power_sample,44,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51462489,5.212500,5.047500,63.706867,332.213715,-37,9,51175078,287411
power_sample,45,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51562511,5.238750,5.017500,63.804573,337.099213,-37,9,51175078,387433
power_sample,46,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51662503,5.213750,5.582500,63.706867,332.213715,-38,9,51175078,487425
power_sample,47,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51762440,5.213750,6.370000,63.609161,332.213715,-38,10,51675112,87328
power_sample,48,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51862490,5.020000,12.650000,140.311447,703.511414,-37,10,51675112,187378
power_sample,49,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,51962459,5.252500,5.310000,63.804573,337.099213,-37,10,51675112,287347
power_sample,50,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,52062480,5.213750,6.112500,63.706867,320.000000,-45,10,51675112,387368
power_sample,51,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,52162480,5.192500,4.827500,63.804573,332.213715,-41,10,51675112,487368
power_sample,52,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,52262516,5.226250,4.967500,63.706867,332.213715,-37,11,52175072,87444
power_sample,53,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,52362453,5.213750,5.710000,63.999996,332.213715,-38,11,52175072,187381
power_sample,54,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,52462503,5.207500,4.947500,63.706867,332.213715,-44,11,52175072,287431
power_sample,55,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,52562449,5.237500,4.967500,63.804573,332.213715,-45,11,52175072,387377
power_sample,56,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,52662503,5.217500,5.580000,63.706867,332.213715,-45,11,52175072,487431
power_sample,57,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep3,52762440,5.212500,6.292500,63.706867,327.328247,-37,12,52675108,87332
