type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3935766864,4.970000,12.679999,147.932816,745.038147,-42,0,0,-1
power_sample,2,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3935866573,5.021250,12.804999,142.070221,715.725159,-42,1,3935790152,76421
power_sample,3,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3935966452,5.172500,5.420000,65.465645,339.541962,-37,1,3935790152,176300
power_sample,4,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936066470,5.236250,6.252500,65.172516,327.328247,-42,1,3935790152,276318
power_sample,5,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936166497,5.021250,4.955000,67.908394,356.641205,-34,1,3935790152,376345
power_sample,6,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936266452,5.198750,4.980000,65.270226,339.541962,-39,1,3935790152,476300
power_sample,7,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936366514,5.225000,5.875000,65.465645,339.541962,-36,2,3936279057,87457
power_sample,8,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936466458,5.023750,12.947499,73.673279,713.282410,-35,2,3936279057,187401
power_sample,9,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936566470,5.211250,5.105000,65.367935,339.541962,-45,2,3936279057,287413
power_sample,10,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936666470,5.203750,5.627500,65.270226,339.541962,-42,2,3936279057,387413
power_sample,11,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936766504,5.206250,6.537500,65.074806,344.427460,-45,2,3936279057,487447
power_sample,12,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936866504,5.231250,5.115000,65.465645,344.427460,-40,3,3936779109,87395
power_sample,13,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3936966507,5.210000,5.315000,65.270226,339.541962,-40,3,3936779109,187398
power_sample,14,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937066433,5.205000,6.027500,65.074806,339.541962,-45,3,3936779109,287324
power_sample,15,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937166478,5.242500,5.187500,65.367935,344.427460,-40,3,3936779109,387369
power_sample,16,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937266504,5.208750,5.127500,65.270226,339.541962,-41,3,3936779109,487395
power_sample,17,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937366513,5.228750,5.742500,65.074806,339.541962,-36,4,3937279109,87404
power_sample,18,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937466529,4.993750,10.275000,141.288544,708.396912,-37,4,3937279109,187420
power_sample,19,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937566488,5.008750,5.225000,98.589310,512.977051,-45,4,3937279109,287379
power_sample,20,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937666488,5.205000,5.492500,65.074806,339.541962,-37,4,3937279109,387379
power_sample,21,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937766452,5.207500,6.237500,64.879387,327.328247,-42,4,3937279109,487343
power_sample,22,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937866523,5.021250,12.719999,141.972519,715.725159,-35,5,3937778661,87862
power_sample,23,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3937966437,5.212500,5.007500,65.270226,339.541962,-43,5,3937778661,187776
power_sample,24,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938066488,5.208750,5.927500,65.270226,339.541962,-43,5,3937778661,287827
power_sample,25,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938166437,5.003750,12.915000,142.167923,715.725159,-43,5,3937778661,387776
power_sample,26,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938266488,5.215000,5.170000,65.172516,339.541962,-36,5,3937778661,487827
power_sample,27,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938366524,5.228750,5.760000,64.977097,339.541962,-36,6,3938279065,87459
power_sample,28,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938466527,5.007500,14.280000,138.748077,715.725159,-44,6,3938279065,187462
power_sample,29,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938566470,5.198750,5.127500,65.367935,344.427460,-44,6,3938279065,287405
power_sample,30,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938666470,5.215000,5.305000,64.781670,337.099213,-36,6,3938279065,387405
power_sample,31,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938766480,5.203750,6.120000,64.781670,320.000000,-36,6,3938279065,487415
power_sample,32,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938866578,5.028750,12.717500,144.806107,727.938904,-44,7,3938778693,87885
power_sample,33,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3938966507,5.223750,5.000000,64.977097,339.541962,-37,7,3938778693,187814
power_sample,34,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939066452,5.207500,5.742500,64.879387,337.099213,-37,7,3938778693,287759
power_sample,35,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939166504,5.007500,12.895000,141.386261,715.725159,-41,7,3938778693,387811
power_sample,36,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939266453,5.228750,5.225000,65.270226,339.541962,-44,7,3938778693,487760
power_sample,37,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939366530,5.210000,5.587500,64.879387,337.099213,-36,8,3939279025,87505
power_sample,38,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939466443,4.968750,13.945000,139.725174,701.068726,-37,8,3939279025,187418
power_sample,39,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939566452,5.147500,4.997500,65.172516,344.427460,-36,8,3939279025,287427
power_sample,40,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939666433,5.211250,5.062500,64.879387,337.099213,-45,8,3939279025,387408
power_sample,41,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939766452,5.206250,9.687500,64.683968,337.099213,-40,8,3939279025,487427
power_sample,42,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939866595,5.005000,12.862499,141.777100,713.282410,-42,9,3939778661,87934
power_sample,43,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3939966507,5.212500,5.210000,64.879387,337.099213,-45,9,3939778661,187846
power_sample,44,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940066433,5.203750,5.697500,64.586258,337.099213,-36,9,3939778661,287772
power_sample,45,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940166441,5.230000,6.490000,64.586258,339.541962,-44,9,3939778661,387780
power_sample,46,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940266470,5.208750,5.135000,64.781670,337.099213,-41,9,3939778661,487809
power_sample,47,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940366504,5.226250,5.387500,64.586258,337.099213,-37,10,3940279084,87420
power_sample,48,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940466476,4.993750,13.987499,135.816788,703.511414,-44,10,3940279084,187392
power_sample,49,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940566452,5.212500,5.167500,64.781670,339.541962,-39,10,3940279084,287368
power_sample,50,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940666470,5.207500,4.970000,64.586258,337.099213,-36,10,3940279084,387386
power_sample,51,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940766452,5.041250,13.467500,68.592361,344.427460,-36,10,3940279084,487368
power_sample,52,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940866583,5.231250,5.070000,64.488548,339.541962,-41,11,3940779056,87527
power_sample,53,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3940966488,5.201250,5.110000,64.781670,337.099213,-37,11,3940779056,187432
power_sample,54,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941066504,5.215000,5.615000,64.586258,337.099213,-44,11,3940779056,287448
power_sample,55,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941166457,5.212500,6.325000,64.488548,332.213715,-45,11,3940779056,387401
power_sample,56,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941266488,5.212500,5.092500,64.586258,337.099213,-38,11,3940779056,487432
power_sample,57,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941366541,5.023750,12.927500,141.190826,708.396912,-38,12,3941279095,87446
power_sample,58,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941466499,5.222500,6.022500,64.586258,315.114502,-41,12,3941279095,187404
power_sample,59,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941566504,5.206250,5.182500,64.586258,337.099213,-43,12,3941279095,287409
power_sample,60,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941666488,5.211250,5.175000,64.488548,337.099213,-35,12,3941279095,387393
power_sample,61,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941766487,4.995000,13.224999,141.190826,703.511414,-37,12,3941279095,487392
power_sample,62,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941866553,5.237500,5.185000,64.293121,339.541962,-36,13,3941779105,87448
power_sample,63,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3941966452,5.207500,5.127500,64.488548,337.099213,-37,13,3941779105,187347
power_sample,64,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3942066470,5.183750,5.380000,64.488548,337.099213,-37,13,3941779105,287365
power_sample,65,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3942166453,5.233750,6.165000,64.488548,324.885498,-42,13,3941779105,387348
power_sample,66,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3942266488,5.210000,4.950000,64.488548,337.099213,-44,13,3941779105,487383
power_sample,67,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3942366524,5.228750,5.042500,64.488548,337.099213,-40,14,3942279093,87431
power_sample,68,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3942466514,5.243750,5.842500,64.781670,339.541962,-37,14,3942279093,187421
power_sample,69,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3942566452,5.210000,5.155000,64.390839,337.099213,-37,14,3942279093,287359
power_sample,70,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3942666504,5.197500,5.095000,64.390839,337.099213,-44,14,3942279093,387411
power_sample,71,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3942766523,5.006250,13.267500,138.748077,696.183228,-44,14,3942279093,487430
power_sample,72,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep4,3942866562,5.231250,6.420000,64.488548,337.099213,-44,15,3942779130,87432
