type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1909131291,-44
event,2,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1917119819,-47
event,3,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1925119810,-50
event,4,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1933119399,-49
event,5,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1941119789,-46
event,6,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1949119798,-52
event,7,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1957119801,-47
event,8,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1965119841,-51
event,9,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1973119829,-47
event,10,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1981119342,-50
event,11,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1989119822,-50
event,12,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,1997119769,-41
event,13,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2005119836,-49
event,14,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2013119796,-51
event,15,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2021119840,-51
event,16,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2029119342,-46
event,17,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2037119816,-40
event,18,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2045119846,-50
event,19,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2053119818,-45
event,20,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2061119840,-51
event,21,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2069119796,-50
event,22,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2077119400,-40
event,23,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2085119834,-37
event,24,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2093119821,-42
event,25,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2101119856,-50
event,26,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2109119776,-47
event,27,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2117119799,-46
event,28,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2125119383,-40
event,29,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2133119770,-49
event,30,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2141119837,-48
event,31,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2149119797,-46
event,32,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2157119781,-51
event,33,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2165119849,-50
event,34,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2173119382,-49
event,35,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2181119846,-46
event,36,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2189119819,-45
event,37,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2197119854,-47
event,38,W2_wifi_periodic_8s_quiet_ctrl_v2_rep4,periodic,2205119801,-40
