type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,47299084,5.081250,12.655000,120.964874,608.244263,-40,0,0,-1
power_sample,2,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,47398570,5.015000,12.695000,136.012207,681.526733,-47,1,47311362,87208
power_sample,3,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,47498479,4.987500,12.862499,142.070221,708.396912,-43,1,47311362,187117
power_sample,4,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,47598462,5.212500,5.800000,64.781670,337.099213,-40,1,47311362,287100
power_sample,5,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,47698456,5.205000,5.087500,64.488548,337.099213,-40,1,47311362,387094
power_sample,6,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,47798490,5.221250,5.115000,113.343506,591.145020,-40,1,47311362,487128
power_sample,7,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,47898477,4.998750,13.422500,142.363358,713.282410,-46,1,47311362,587115
power_sample,8,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,47998439,5.208750,6.382500,64.586258,337.099213,-40,1,47311362,687077
power_sample,9,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48098473,5.022500,12.742499,141.483963,713.282410,-45,1,47311362,787111
power_sample,10,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48198483,5.222500,5.255000,64.488548,337.099213,-45,1,47311362,887121
power_sample,11,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48298494,5.206250,6.082500,64.488548,320.000000,-46,1,47311362,987132
power_sample,12,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48398466,5.210000,5.132500,64.586258,337.099213,-42,1,47311362,1087104
power_sample,13,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48498497,5.001250,12.724999,140.800003,703.511414,-37,1,47311362,1187135
power_sample,14,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48598480,5.208750,5.665000,64.488548,337.099213,-46,1,47311362,1287118
power_sample,15,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48698477,5.203750,6.450000,64.488548,337.099213,-40,1,47311362,1387115
power_sample,16,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48798489,5.206250,5.145000,64.586258,337.099213,-33,1,47311362,1487127
power_sample,17,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48898505,5.216250,5.425000,64.488548,337.099213,-34,1,47311362,1587143
power_sample,18,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,48998497,5.197500,6.277500,64.488548,327.328247,-31,1,47311362,1687135
power_sample,19,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49098442,5.025000,12.627500,141.288544,713.282410,-31,1,47311362,1787080
power_sample,20,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49198513,5.223750,5.065000,64.586258,337.099213,-31,1,47311362,1887151
power_sample,21,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49298511,5.206250,5.912500,64.683968,337.099213,-33,1,47311362,1987149
power_sample,22,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49398466,5.211250,5.050000,64.586258,337.099213,-35,1,47311362,2087104
power_sample,23,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49498495,5.083750,5.125000,140.506866,713.282410,-36,1,47311362,2187133
power_sample,24,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49598513,5.007500,13.380000,141.483963,708.396912,-38,1,47311362,2287151
power_sample,25,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49698442,5.225000,6.410000,64.683968,337.099213,-38,1,47311362,2387080
power_sample,26,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49798440,5.202500,9.295000,64.586258,337.099213,-38,1,47311362,2487078
power_sample,27,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49898442,5.018750,12.847500,141.093124,708.396912,-35,1,47311362,2587080
power_sample,28,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,49998439,5.205000,6.015000,64.586258,315.114502,-38,1,47311362,2687077
power_sample,29,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50098423,5.052500,5.120000,64.781670,339.541962,-37,1,47311362,2787061
power_sample,30,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50198487,5.231250,4.975000,64.586258,337.099213,-37,1,47311362,2887125
power_sample,31,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50298495,5.023750,13.382500,141.386261,708.396912,-38,1,47311362,2987133
power_sample,32,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50398466,5.205000,6.455000,64.586258,337.099213,-40,1,47311362,3087104
power_sample,33,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50498487,5.028750,12.815000,148.030533,745.038147,-37,1,47311362,3187125
power_sample,34,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50598534,5.027500,13.809999,140.311447,703.511414,-40,1,47311362,3287172
power_sample,35,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50698477,5.207500,6.282500,64.683968,327.328247,-36,1,47311362,3387115
power_sample,36,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50798459,5.231250,12.570000,73.477859,371.297729,-39,1,47311362,3487097
power_sample,37,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50898427,5.016250,12.697499,142.265640,713.282410,-36,1,47311362,3587065
power_sample,38,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,50998497,5.203750,5.917500,64.879387,337.099213,-39,1,47311362,3687135
power_sample,39,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51098427,5.206250,5.087500,64.781670,337.099213,-36,1,47311362,3787065
power_sample,40,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51198509,5.227500,5.142500,64.586258,337.099213,-36,1,47311362,3887147
power_sample,41,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51298465,5.237500,5.667500,64.586258,339.541962,-33,1,47311362,3987103
power_sample,42,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51398489,5.203750,6.447500,64.586258,337.099213,-33,1,47311362,4087127
power_sample,43,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51498490,4.998750,5.097500,125.068695,647.328247,-35,1,47311362,4187128
power_sample,44,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51598471,5.025000,12.835000,142.363358,715.725159,-32,1,47311362,4287109
power_sample,45,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51698511,5.203750,6.140000,64.683968,320.000000,-30,1,47311362,4387149
power_sample,46,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51798463,5.103750,12.525000,142.265640,715.725159,-34,1,47311362,4487101
power_sample,47,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51898494,5.211250,4.920000,64.586258,337.099213,-36,1,47311362,4587132
power_sample,48,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,51998466,5.203750,5.672500,64.683968,337.099213,-42,1,47311362,4687104
power_sample,49,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52098487,5.202500,5.135000,64.683968,337.099213,-34,1,47311362,4787125
power_sample,50,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52198509,5.217500,5.075000,64.781670,339.541962,-37,1,47311362,4887147
power_sample,51,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52298462,5.205000,5.407500,64.586258,337.099213,-36,1,47311362,4987100
power_sample,52,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52398475,5.205000,6.290000,64.586258,327.328247,-35,1,47311362,5087113
power_sample,53,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52498427,5.228750,4.887500,64.586258,339.541962,-34,1,47311362,5187065
power_sample,54,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52598466,5.206250,5.040000,64.586258,337.099213,-33,1,47311362,5287104
power_sample,55,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52698477,5.202500,5.897500,64.781670,337.099213,-30,1,47311362,5387115
power_sample,56,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52798479,4.992500,12.764999,142.461060,703.511414,-31,1,47311362,5487117
power_sample,57,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52898487,5.210000,5.130000,64.586258,337.099213,-33,1,47311362,5587125
power_sample,58,W2_wifi_periodic_9s_quiet_telemetry_v2_rep4,52998480,5.205000,5.702500,64.586258,337.099213,-38,1,47311362,5687118
