type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,332313269,-47
event,2,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,341302036,-40
event,3,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,350302020,-46
event,4,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,359301664,-39
event,5,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,368302072,-38
event,6,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,377302305,-38
event,7,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,386302040,-46
event,8,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,395302079,-48
event,9,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,404302048,-48
event,10,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,413301686,-44
event,11,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,422302011,-44
event,12,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,431301716,-42
event,13,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,440302130,-43
event,14,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,449302058,-47
event,15,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,458302113,-41
event,16,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,467302088,-48
event,17,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,476302093,-46
event,18,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,485302113,-47
event,19,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,494302072,-41
event,20,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,503301715,-34
event,21,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,512302072,-48
event,22,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,521302054,-42
event,23,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,530302099,-41
event,24,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,539302049,-42
event,25,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,548302097,-44
event,26,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,557302080,-45
event,27,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,566302095,-47
event,28,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,575302118,-41
event,29,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,584302123,-45
event,30,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,593302118,-43
event,31,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,602302090,-42
event,32,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,611302111,-46
event,33,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,620302100,-46
event,34,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,periodic,629302031,-43
