type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,332289938,4.978750,13.397500,155.651901,776.793884,-39,0,0,-1
power_sample,2,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,332389462,5.207500,5.910000,64.781670,337.099213,-47,1,332313269,76193
power_sample,3,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,332489509,5.006250,12.835000,141.972519,713.282410,-45,1,332313269,176240
power_sample,4,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,332589435,5.233750,5.087500,64.977097,339.541962,-45,1,332313269,276166
power_sample,5,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,332689438,5.207500,5.657500,64.781670,337.099213,-48,1,332313269,376169
power_sample,6,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,332789438,5.202500,6.465000,64.586258,339.541962,-42,1,332313269,476169
power_sample,7,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,332889488,4.998750,12.480000,138.161819,691.297729,-40,1,332313269,576219
power_sample,8,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,332989456,5.207500,5.172500,64.781670,337.099213,-41,1,332313269,676187
power_sample,9,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333089427,5.231250,5.997500,64.781670,339.541962,-39,1,332313269,776158
power_sample,10,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333189457,5.202500,12.540000,65.074806,337.099213,-37,1,332313269,876188
power_sample,11,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333289456,5.215000,5.230000,64.879387,339.541962,-46,1,332313269,976187
power_sample,12,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333389473,5.206250,5.775000,64.781670,337.099213,-43,1,332313269,1076204
power_sample,13,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333489473,5.203750,6.515000,64.586258,339.541962,-42,1,332313269,1176204
power_sample,14,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333589474,5.211250,5.177500,64.977097,339.541962,-43,1,332313269,1276205
power_sample,15,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333689509,5.206250,5.452500,64.879387,337.099213,-42,1,332313269,1376240
power_sample,16,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333789438,5.203750,6.155000,64.683968,324.885498,-40,1,332313269,1476169
power_sample,17,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333889438,5.155000,5.207500,65.270226,339.541962,-46,1,332313269,1576169
power_sample,18,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,333989438,5.208750,5.162500,64.977097,339.541962,-46,1,332313269,1676169
power_sample,19,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334089438,5.203750,5.747500,64.879387,337.099213,-41,1,332313269,1776169
power_sample,20,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334189512,5.205000,12.730000,64.683968,703.511414,-42,1,332313269,1876243
power_sample,21,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334289438,5.215000,5.215000,65.074806,339.541962,-45,1,332313269,1976169
power_sample,22,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334389438,5.203750,5.462500,64.879387,337.099213,-42,1,332313269,2076169
power_sample,23,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334489509,5.203750,6.350000,64.683968,332.213715,-41,1,332313269,2176240
power_sample,24,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334589456,5.220000,5.012500,65.074806,339.541962,-43,1,332313269,2276187
power_sample,25,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334689473,5.206250,5.012500,64.879387,337.099213,-44,1,332313269,2376204
power_sample,26,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334789490,5.205000,5.880000,64.977097,339.541962,-46,1,332313269,2476221
power_sample,27,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334889498,5.215000,5.140000,64.781670,344.427460,-41,1,332313269,2576229
power_sample,28,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,334989456,5.208750,5.155000,64.977097,339.541962,-42,1,332313269,2676187
power_sample,29,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335089443,5.203750,5.492500,64.781670,337.099213,-38,1,332313269,2776174
power_sample,30,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335189490,5.001250,14.099999,114.418312,708.396912,-43,1,332313269,2876221
power_sample,31,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335289509,5.208750,5.125000,65.074806,339.541962,-44,1,332313269,2976240
power_sample,32,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335389509,5.203750,5.160000,64.879387,337.099213,-42,1,332313269,3076240
power_sample,33,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335489456,5.203750,5.915000,64.781670,337.099213,-45,1,332313269,3176187
power_sample,34,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335589483,5.216250,5.130000,65.074806,339.541962,-42,1,332313269,3276214
power_sample,35,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335689490,5.210000,5.190000,64.977097,339.541962,-41,1,332313269,3376221
power_sample,36,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335789438,5.205000,5.675000,64.781670,337.099213,-46,1,332313269,3476169
power_sample,37,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335889440,5.222500,6.485000,64.586258,339.541962,-42,1,332313269,3576171
power_sample,38,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,335989509,5.210000,5.152500,64.977097,339.541962,-44,1,332313269,3676240
power_sample,39,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336089438,5.203750,5.165000,64.781670,337.099213,-46,1,332313269,3776169
power_sample,40,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336189522,4.988750,13.682500,142.167923,688.854919,-35,1,332313269,3876253
power_sample,41,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336289441,5.215000,5.147500,65.074806,339.541962,-42,1,332313269,3976172
power_sample,42,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336389438,5.208750,5.237500,64.879387,337.099213,-45,1,332313269,4076169
power_sample,43,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336489473,5.205000,5.772500,64.781670,337.099213,-45,1,332313269,4176204
power_sample,44,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336589490,5.222500,6.515000,64.586258,339.541962,-42,1,332313269,4276221
power_sample,45,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336689509,5.206250,5.217500,64.977097,339.541962,-46,1,332313269,4376240
power_sample,46,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336789438,5.201250,5.327500,64.781670,337.099213,-39,1,332313269,4476169
power_sample,47,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336889440,5.201250,6.175000,64.781670,324.885498,-41,1,332313269,4576171
power_sample,48,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,336989509,5.213750,5.007500,64.977097,339.541962,-43,1,332313269,4676240
power_sample,49,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337089462,5.205000,5.065000,64.879387,337.099213,-43,1,332313269,4776193
power_sample,50,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337189435,4.997500,12.965000,138.748077,691.297729,-39,1,332313269,4876166
power_sample,51,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337289473,5.211250,5.210000,64.586258,339.541962,-38,1,332313269,4976204
power_sample,52,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337389473,5.203750,5.205000,64.977097,339.541962,-42,1,332313269,5076204
power_sample,53,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337489528,5.207500,5.490000,64.781670,337.099213,-44,1,332313269,5176259
power_sample,54,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337589483,5.217500,6.305000,64.586258,332.213715,-45,1,332313269,5276214
power_sample,55,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337689509,5.206250,5.000000,64.879387,339.541962,-45,1,332313269,5376240
power_sample,56,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337789438,5.206250,4.970000,64.683968,337.099213,-45,1,332313269,5476169
power_sample,57,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337889438,5.221250,5.825000,64.781670,339.541962,-45,1,332313269,5576169
power_sample,58,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,337989509,5.180000,5.107500,64.488548,339.541962,-43,1,332313269,5676240
power_sample,59,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,338089456,5.223750,5.135000,64.781670,339.541962,-45,1,332313269,5776187
power_sample,60,W2_wifi_periodic_9s_quiet_ctrl_v2_rep4,338189466,5.186250,5.532500,117.740456,613.129761,-43,1,332313269,5876197
