type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1304415414,-45
event,2,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1304903695,-46
event,3,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1305404101,-34
event,4,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1305903675,-35
event,5,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1306404071,-40
event,6,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1306904036,-45
event,7,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1307404045,-47
event,8,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1307904079,-39
event,9,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1308404073,-34
event,10,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1308904055,-44
event,11,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1309404085,-44
event,12,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1309904093,-42
event,13,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1310404116,-42
event,14,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1310904103,-34
event,15,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1311404120,-40
event,16,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1311904088,-33
event,17,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1312404044,-43
event,18,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1312904068,-42
event,19,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1313404105,-42
event,20,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1313904108,-42
event,21,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1314404103,-34
event,22,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1314904074,-43
event,23,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1315404072,-39
event,24,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1315904093,-39
event,25,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1316404116,-34
event,26,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1316904085,-40
event,27,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1317404120,-45
event,28,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1317904026,-46
event,29,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1318404044,-44
event,30,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1318904032,-38
event,31,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1319403709,-34
event,32,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1319904117,-46
event,33,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1320404075,-46
event,34,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1320904114,-41
event,35,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1321404052,-42
event,36,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1321904033,-35
event,37,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1322404105,-47
event,38,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1322904032,-36
event,39,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1323404071,-44
event,40,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1323904033,-44
event,41,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1324404048,-40
event,42,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1324904068,-40
event,43,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1325404050,-35
event,44,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1325904046,-44
event,45,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1326404062,-34
event,46,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1326904068,-37
event,47,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1327403714,-43
event,48,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1327904085,-42
event,49,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1328403663,-43
event,50,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1328904051,-35
event,51,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1329403641,-35
event,52,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1329904070,-45
event,53,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1330404187,-38
event,54,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1330904069,-38
event,55,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1331404040,-39
event,56,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1331904071,-42
event,57,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1332404114,-36
event,58,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1332904121,-34
event,59,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1333404062,-35
event,60,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1333904070,-37
event,61,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1334403846,-43
event,62,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1334904048,-38
event,63,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1335403684,-43
event,64,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1335904101,-47
event,65,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1336404033,-44
event,66,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1336904102,-42
event,67,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1337404106,-33
event,68,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1337904047,-43
event,69,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1338404077,-41
event,70,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1338904050,-42
event,71,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1339404129,-43
event,72,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1339904090,-44
event,73,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1340404072,-45
event,74,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1340904105,-42
event,75,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1341404052,-43
event,76,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1341904106,-39
event,77,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1342404050,-45
event,78,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1342904106,-44
event,79,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1343404091,-43
event,80,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1343904073,-38
event,81,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1344404071,-44
event,82,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1344904072,-35
event,83,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1345404120,-41
event,84,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1345904050,-45
event,85,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1346404034,-45
event,86,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1346904072,-44
event,87,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1347404073,-44
event,88,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1347904105,-44
event,89,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1348404103,-39
event,90,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1348904049,-43
event,91,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1349403905,-35
event,92,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1349904122,-42
event,93,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1350404102,-44
event,94,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1350903665,-36
event,95,W2_wifi_periodic_500ms_quiet_ctrl_v2_rep5,periodic,1351404072,-36
