type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,289599291,-46
event,2,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,296588128,-45
event,3,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,303588122,-46
event,4,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,310588144,-50
event,5,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,317588146,-45
event,6,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,324588143,-50
event,7,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,331588074,-48
event,8,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,338588108,-48
event,9,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,345588147,-46
event,10,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,352588139,-49
event,11,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,359588069,-45
event,12,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,366588111,-50
event,13,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,373588150,-45
event,14,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,380588100,-47
event,15,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,387588111,-47
event,16,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,394588089,-44
event,17,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,401588128,-48
event,18,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,408588113,-43
event,19,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,415588142,-46
event,20,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,422587721,-51
event,21,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,429588122,-47
event,22,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,436588148,-47
event,23,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,443588098,-48
event,24,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,450588150,-48
event,25,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,457588093,-50
event,26,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,464588101,-50
event,27,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,471587648,-45
event,28,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,478588157,-43
event,29,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,485588143,-50
event,30,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,492588087,-49
event,31,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,499588141,-47
event,32,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,506588130,-44
event,33,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,513588156,-45
event,34,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,520587695,-48
event,35,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,527588070,-44
event,36,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,534588091,-48
event,37,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,541588087,-48
event,38,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,548588153,-41
event,39,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,555588102,-46
event,40,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,562588146,-48
event,41,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,569588077,-44
event,42,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,576588074,-50
event,43,W2_wifi_periodic_7s_quiet_telemetry_v2_rep9,periodic,583588124,-46
